dataset_split,physics_phase,grouping,count,weighted_r2_group_mean
primary_open_floor_fit_authoritative,all,run_id,47317,0.046809953693388806
primary_open_floor_fit_authoritative,all,physics_phase,47317,1.794371925312177e-05
primary_open_floor_fit_authoritative,all,schema_kind,47317,0.0
primary_open_floor_fit_authoritative,all,run_id_plus_phase,47317,0.0682771159067267
primary_open_floor_fit_authoritative,all,schema_plus_phase,47317,1.794371925312177e-05
primary_open_floor_fit_authoritative,entry,run_id,9719,0.05657830221128868
primary_open_floor_fit_authoritative,entry,physics_phase,9719,0.0
primary_open_floor_fit_authoritative,entry,schema_kind,9719,0.0
primary_open_floor_fit_authoritative,entry,run_id_plus_phase,9719,0.05657830221128868
primary_open_floor_fit_authoritative,entry,schema_plus_phase,9719,0.0
primary_open_floor_fit_authoritative,plateau,run_id,26778,0.050068105606345004
primary_open_floor_fit_authoritative,plateau,physics_phase,26778,0.0
primary_open_floor_fit_authoritative,plateau,schema_kind,26778,0.0
primary_open_floor_fit_authoritative,plateau,run_id_plus_phase,26778,0.050068105606345004
primary_open_floor_fit_authoritative,plateau,schema_plus_phase,26778,0.0
primary_open_floor_fit_authoritative,exit,run_id,10820,0.08693050564619376
primary_open_floor_fit_authoritative,exit,physics_phase,10820,0.0
primary_open_floor_fit_authoritative,exit,schema_kind,10820,0.0
primary_open_floor_fit_authoritative,exit,run_id_plus_phase,10820,0.08693050564619376
primary_open_floor_fit_authoritative,exit,schema_plus_phase,10820,0.0
open_floor_fit_downweighted,all,run_id,31165,0.08373994916010119
open_floor_fit_downweighted,all,physics_phase,31165,0.021350940351502645
open_floor_fit_downweighted,all,schema_kind,31165,0.03886462507207811
open_floor_fit_downweighted,all,run_id_plus_phase,31165,0.11774215235663865
open_floor_fit_downweighted,all,schema_plus_phase,31165,0.0607983390658412
open_floor_fit_downweighted,entry,run_id,8341,0.13311286920744647
open_floor_fit_downweighted,entry,physics_phase,8341,1.1102230246251565e-16
open_floor_fit_downweighted,entry,schema_kind,8341,0.044847177537612914
open_floor_fit_downweighted,entry,run_id_plus_phase,8341,0.13311286920744647
open_floor_fit_downweighted,entry,schema_plus_phase,8341,0.044847177537612914
open_floor_fit_downweighted,plateau,run_id,14651,0.06818474288010523
open_floor_fit_downweighted,plateau,physics_phase,14651,0.0
open_floor_fit_downweighted,plateau,schema_kind,14651,0.03450654558606736
open_floor_fit_downweighted,plateau,run_id_plus_phase,14651,0.06818474288010523
open_floor_fit_downweighted,plateau,schema_plus_phase,14651,0.03450654558606736
open_floor_fit_downweighted,exit,run_id,8173,0.0911102989561503
