dataset_split,physics_phase,candidate,count,run_count,weighted_r2_in_sample,weighted_mae_after_fit_nm,weighted_rmse_after_fit_nm,features
primary_open_floor_fit_authoritative,all,yaw_loss_aggregate,47317,15,-0.0482267239640537,0.024780573401486275,0.03683798770058179,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
primary_open_floor_fit_authoritative,all,patch_force_contact_features,47317,15,0.7798219085460244,0.011882441518236836,0.01688322219685899,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
primary_open_floor_fit_authoritative,all,artifact_transition_schema_run_proxy,47317,15,0.006433687760249773,0.024384667384842976,0.03586465964259092,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
primary_open_floor_fit_authoritative,entry,yaw_loss_aggregate,9719,15,0.05795681593887381,0.030288366161873158,0.04272656858690301,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
primary_open_floor_fit_authoritative,entry,patch_force_contact_features,9719,15,0.777919545116309,0.01493302140457088,0.02074520729891383,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
primary_open_floor_fit_authoritative,entry,artifact_transition_schema_run_proxy,9719,15,0.01984818967443569,0.03193846411186164,0.04358221340661633,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
primary_open_floor_fit_authoritative,plateau,yaw_loss_aggregate,26778,15,-2.4535609711268855,0.02185361158130174,0.04999376680521015,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
primary_open_floor_fit_authoritative,plateau,patch_force_contact_features,26778,15,0.7886674098636153,0.008916811406212139,0.012367033414490497,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
primary_open_floor_fit_authoritative,plateau,artifact_transition_schema_run_proxy,26778,15,-0.12974479408466655,0.016440687370680575,0.02859383920655543,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
primary_open_floor_fit_authoritative,exit,yaw_loss_aggregate,10820,15,0.05294605701985211,0.03280058074132807,0.04528234097757597,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
