dataset_split,physics_phase,feature,count,winsorized_run_balanced_corr_to_residual_opposes_yaw
primary_open_floor_fit_authoritative,all,abs_measured_yaw_accel_radps2,47317,-0.03640983280288652
primary_open_floor_fit_authoritative,all,abs_yaw_rate_radps,47317,-0.13840841301060508
primary_open_floor_fit_authoritative,all,avg_abs_vrel_f_mps,47317,0.029209580684453774
primary_open_floor_fit_authoritative,all,avg_abs_vrel_r_mps,47317,-0.13840841312649252
primary_open_floor_fit_authoritative,all,current_proxy_abs_raw_over_unit_command_prior,47317,0.11784660824780788
primary_open_floor_fit_authoritative,all,front_rear_normal_delta_n,47317,0.0
primary_open_floor_fit_authoritative,all,front_rear_vrel_f_abs_delta_mps,47317,0.0
primary_open_floor_fit_authoritative,all,front_rear_vrel_r_abs_delta_mps,47317,0.0
primary_open_floor_fit_authoritative,all,gyro_derivative_spike,47317,0.0
primary_open_floor_fit_authoritative,all,hardware_saturation_evidence,47317,0.025501822805875075
primary_open_floor_fit_authoritative,all,left_right_drive_force_delta_n,47317,0.00827611472384693
primary_open_floor_fit_authoritative,all,left_right_normal_delta_n,47317,0.0
primary_open_floor_fit_authoritative,all,left_right_vrel_f_abs_delta_mps,47317,0.0
primary_open_floor_fit_authoritative,all,left_right_vrel_r_abs_delta_mps,47317,0.0
primary_open_floor_fit_authoritative,all,max_force_limiter_activity,47317,-0.07846983337477677
primary_open_floor_fit_authoritative,all,max_force_preprojection_utilization,47317,-0.08567269537802626
primary_open_floor_fit_authoritative,all,patch_yaw_abs_velocity_basis_m2ps,47317,0.004328761501156658
primary_open_floor_fit_authoritative,all,patch_yaw_force_basis_nm,47317,0.875740437729898
primary_open_floor_fit_authoritative,all,patch_yaw_req_basis_nm,47317,0.7887129452367715
primary_open_floor_fit_authoritative,all,patch_yaw_velocity_basis_m2ps,47317,0.4637840223391578
primary_open_floor_fit_authoritative,all,phase_entry,47317,0.011235973925463306
primary_open_floor_fit_authoritative,all,phase_exit,47317,0.0011413606651941612
primary_open_floor_fit_authoritative,all,phase_progress,47317,0.06293110233459051
primary_open_floor_fit_authoritative,all,vbar_rel_mps,47317,-0.020183870594267118
primary_open_floor_fit_authoritative,all,vbar_yaw_mps,47317,-0.13840841297969503
primary_open_floor_fit_authoritative,entry,abs_measured_yaw_accel_radps2,9719,-0.1080588681069507
primary_open_floor_fit_authoritative,entry,abs_yaw_rate_radps,9719,-0.1782232483835837
primary_open_floor_fit_authoritative,entry,avg_abs_vrel_f_mps,9719,-0.0302986355224735
primary_open_floor_fit_authoritative,entry,avg_abs_vrel_r_mps,9719,-0.17822324839027098
primary_open_floor_fit_authoritative,entry,current_proxy_abs_raw_over_unit_command_prior,9719,0.09242244659906236
primary_open_floor_fit_authoritative,entry,front_rear_normal_delta_n,9719,0.0
primary_open_floor_fit_authoritative,entry,front_rear_vrel_f_abs_delta_mps,9719,0.0
primary_open_floor_fit_authoritative,entry,front_rear_vrel_r_abs_delta_mps,9719,0.0
primary_open_floor_fit_authoritative,entry,gyro_derivative_spike,9719,0.0
primary_open_floor_fit_authoritative,entry,hardware_saturation_evidence,9719,0.04523436618614029
primary_open_floor_fit_authoritative,entry,left_right_drive_force_delta_n,9719,0.008309166171247866
primary_open_floor_fit_authoritative,entry,left_right_normal_delta_n,9719,0.0
