dataset_split,physics_phase,count,fraction_of_split,run_count,stable_contact_fraction,early_late_segment_fraction
primary_open_floor_fit_authoritative,all,47317,1.0,15,0.22296426231586955,0.2333833505928102
primary_open_floor_fit_authoritative,entry,9719,0.20540186402350108,15,0.0,0.6117913365572589
primary_open_floor_fit_authoritative,plateau,26778,0.5659276792696071,15,0.3939801329449548,0.0
primary_open_floor_fit_authoritative,exit,10820,0.22867045670689182,15,0.0,0.4710720887245841
open_floor_fit_downweighted,all,31165,1.0,9,0.15109898925076207,0.24344617359217072
open_floor_fit_downweighted,entry,8341,0.26763998074763357,9,0.0,0.47943891619709866
open_floor_fit_downweighted,plateau,14651,0.4701107011070111,9,0.32141150774691146,0.0
open_floor_fit_downweighted,exit,8173,0.26224931814535535,9,0.0,0.43900648476691545
open_floor_validation_only,all,14542,1.0,9,0.25422912941823683,0.21324439554394167
open_floor_validation_only,entry,2104,0.1446843625361023,9,0.0,0.8326996197718631
open_floor_validation_only,plateau,10533,0.7243157749965616,9,0.3509921200037976,0.0
open_floor_validation_only,exit,1905,0.130999862467336,9,0.0,0.7081364829396325
diag_validation_only,all,11108,1.0,3,0.27556715880446525,0.2894310406913936
diag_validation_only,entry,3215,0.2894310406913936,3,0.0,0.4982892690513219
diag_validation_only,plateau,4712,0.424198775657184,3,0.6496179966044142,0.0
diag_validation_only,exit,3181,0.2863701836514224,3,0.0,0.507073247406476
aux_downweighted_validation,all,14448,1.0,13,0.3516749723145072,0.26598837209302323
aux_downweighted_validation,entry,2710,0.18756921373200444,13,0.0,0.7383763837638376
aux_downweighted_validation,plateau,8708,0.6027131782945736,13,0.5834864492420763,0.0
aux_downweighted_validation,exit,3030,0.20971760797342193,13,0.0,0.6079207920792079
