metric,value,note
total_nonzero_vf_yaw_bins,407,from yaw_torque_expanded_validation/nonzero_vf_torque_bins.csv
strong_cross_run_bins_count_ge250_runs_ge5,199,candidate fit-support bins before family trust weighting
weak_or_single_run_bins,74,must be downweighted or targeted for sweeps
high_abs_forward_ge_0p6_bins,28,coverage exists but is sparse and often run-dominated
high_abs_yaw_ge_8_bins,166,"mostly low-forward scrub/turn coverage, not broad high-speed arcs"
competition_enabled_bins,17,bins crossing support because competition data was present
dataset_all_included_samples,2382049,"moving_yaw=677445, bins=393"
dataset_open_floor_only_samples,1870997,"moving_yaw=531861, bins=374"
dataset_competition_only_samples,511052,"moving_yaw=145584, bins=127"
top_bin_contributor_2026-04-21_00-16-10,43953,sum of bin_run_consistency counts; highlights run dominance risk
top_bin_contributor_2026-04-20_08-38-39,40844,sum of bin_run_consistency counts; highlights run dominance risk
top_bin_contributor_2026-04-21_01-09-34,25229,sum of bin_run_consistency counts; highlights run dominance risk
top_bin_contributor_2026-04-20_12-10-58,23311,sum of bin_run_consistency counts; highlights run dominance risk
top_bin_contributor_diag003,23128,sum of bin_run_consistency counts; highlights run dominance risk
top_bin_contributor_2026-04-21_05-32-06,20105,sum of bin_run_consistency counts; highlights run dominance risk
top_bin_contributor_2026-04-20_02-33-07,19107,sum of bin_run_consistency counts; highlights run dominance risk
top_bin_contributor_2026-04-20_04-54-09,18926,sum of bin_run_consistency counts; highlights run dominance risk
top_bin_contributor_2026-04-21_05-59-46,14172,sum of bin_run_consistency counts; highlights run dominance risk
top_bin_contributor_2026-04-14_04-43-48,13594,sum of bin_run_consistency counts; highlights run dominance risk
