run_id,family,extracted_samples,overall_share,family_share,recommendation,dominance_flag
2026-04-21_00-16-10,decoded_open_floor,44880,0.104536,0.132863,fit_authoritative,dominant
2026-04-20_08-38-39,decoded_open_floor,41332,0.096272,0.122359,fit_downweighted,
2026-04-21_01-09-34,decoded_open_floor,25854,0.060220,0.076538,fit_authoritative,
2026-04-20_12-10-58,decoded_open_floor,24297,0.056593,0.071929,fit_authoritative,
diag003,competition_diag,23242,0.054136,0.504176,validation_only,family_dominant
2026-04-21_05-32-06,decoded_open_floor,20317,0.047323,0.060146,fit_authoritative,
2026-04-20_02-33-07,decoded_open_floor,20244,0.047153,0.059930,fit_downweighted,
2026-04-20_04-54-09,decoded_open_floor,19376,0.045131,0.057361,fit_downweighted,
2026-04-21_05-59-46,decoded_open_floor,14335,0.033390,0.042437,fit_authoritative,
2026-04-14_04-43-48,decoded_open_floor,13830,0.032213,0.040942,fit_authoritative,
2026-04-13_16-42-46,decoded_open_floor,13492,0.031426,0.039942,fit_authoritative,
2026-04-21_02-46-49,decoded_open_floor,13007,0.030296,0.038506,fit_authoritative,
diag000,competition_diag,11499,0.026784,0.249441,validation_only,
2026-04-21_04-14-05,decoded_open_floor,11441,0.026649,0.033870,fit_authoritative,
diag001,competition_diag,11358,0.026455,0.246383,validation_only,
2026-04-12_22-27-00,decoded_open_floor,10880,0.025342,0.032209,fit_authoritative,
2026-04-20_10-22-09,decoded_open_floor,10514,0.024490,0.031126,fit_downweighted,
2026-04-15_02-09-58,decoded_open_floor,8619,0.020076,0.025516,fit_downweighted,
2026-04-14_05-26-35,decoded_open_floor,8530,0.019868,0.025252,fit_authoritative,
2026-04-12_20-14-49,decoded_open_floor,7344,0.017106,0.021741,fit_authoritative,
aux003,competition_aux,6607,0.015389,0.145417,validation_only_downweighted,
aux004,competition_aux,6552,0.015261,0.144206,validation_only_downweighted,
aux002,competition_aux,5487,0.012780,0.120766,validation_only_downweighted,
2026-04-14_02-00-02,decoded_open_floor,5457,0.012711,0.016155,fit_downweighted,
2026-04-21_23-39-12,decoded_open_floor,5043,0.011746,0.014929,fit_authoritative,
2026-04-22_01-06-32,decoded_open_floor,5043,0.011746,0.014929,fit_authoritative,
aux008,competition_aux,4834,0.011260,0.106394,validation_only_downweighted,
aux009,competition_aux,4484,0.010444,0.098690,validation_only_downweighted,
2026-04-14_16-34-17,decoded_open_floor,4204,0.009792,0.012446,fit_downweighted,
aux010,competition_aux,3806,0.008865,0.083768,validation_only_downweighted,
aux001,competition_aux,3632,0.008460,0.079938,validation_only_downweighted,
2026-04-22_12-10-34,decoded_open_floor,3350,0.007803,0.009917,fit_downweighted,
aux000,competition_aux,3047,0.007097,0.067063,validation_only_downweighted,
aux005,competition_aux,2572,0.005991,0.056608,validation_only_downweighted,
aux007,competition_aux,2362,0.005502,0.051986,validation_only_downweighted,
2026-05-04_20-35-47,decoded_open_floor,1815,0.004228,0.005373,fit_downweighted,
aux006,competition_aux,1669,0.003887,0.036734,validation_only_downweighted,
2026-04-10_18-08-20,decoded_open_floor,1407,0.003277,0.004165,fit_authoritative,
2026-04-10_18-33-52,decoded_open_floor,886,0.002064,0.002623,validation_only,
2026-04-11_06-58-25,decoded_open_floor,862,0.002008,0.002552,validation_only,
2026-04-12_06-36-32,decoded_open_floor,432,0.001006,0.001279,validation_only,
2026-04-12_06-44-12,decoded_open_floor,432,0.001006,0.001279,validation_only,
aux012,competition_aux,312,0.000727,0.006867,validation_only_downweighted,
2026-04-16_02-43-36,decoded_open_floor,234,0.000545,0.000693,validation_only,
2026-04-11_21-03-20,decoded_open_floor,174,0.000405,0.000515,validation_only,
2026-05-04_16-57-53,decoded_open_floor,95,0.000221,0.000281,validation_only,
aux011,competition_aux,71,0.000165,0.001563,validation_only_downweighted,
2026-04-20_23-05-07,decoded_open_floor,62,0.000144,0.000184,validation_only,
2026-04-12_05-13-55,decoded_open_floor,4,0.000009,0.000012,validation_only,
2026-04-14_05-40-35,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-14_06-21-48,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-14_06-37-59,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-14_07-02-50,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-14_07-17-42,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-14_07-25-50,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-14_07-40-05,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-14_07-51-39,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-14_07-53-57,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-14_08-14-01,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-14_08-34-57,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-14_08-44-07,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-14_08-58-04,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-14_09-15-42,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-15_01-22-20,decoded_open_floor,0,0.000000,0.000000,exclude,
2026-04-20_11-47-47,decoded_open_floor,0,0.000000,0.000000,exclude,
diag002,competition_diag,0,0.000000,0.000000,exclude,
fwc000,competition_fwc,0,0.000000,0.000000,exclude,
fwc001,competition_fwc,0,0.000000,0.000000,exclude,
fwc002,competition_fwc,0,0.000000,0.000000,exclude,
fwc003,competition_fwc,0,0.000000,0.000000,exclude,
