run_id,family,path,size_bytes,schema_kind,field_count,input_rows_scanned,expanded_input_rows,expanded_extracted_samples,validation_extracted_samples,extracted_samples,existing_status,existing_cutoff_reason,missing_core_fields,missing_trust_fields,timestamp_field,gyro_raw_field,left_velocity_field,right_velocity_field,cmd_angular_present,left_right_command_present,finite_sensor_rows,stationary_bias_rows_sensor_only,bias_estimation_feasible,moving_yaw_sensor_rows_abs_vf_gt_0p02_abs_gyro_gt_0p2,nonzero_feature_sensor_rows_abs_vf_ge_0p05_abs_gyro_ge_0p25,cmd_angular_zero_fraction_moving_yaw,diff_drive_command_zero_fraction_moving_yaw,command_missing_moving_yaw_rows,saturation_flags_present,saturation_nonzero_rows,saturation_nonzero_fraction_all,saturation_nonzero_fraction_moving_yaw,watchdog_flags_present,watchdog_nonzero_rows,clipping_flags_present,clipping_nonzero_rows,imu_status_bad_fraction,gyro_derivative_pairs,gyro_derivative_rms_radps2,gyro_derivative_abs_max_radps2,gyro_derivative_abs_ge_500_radps2_fraction,fan_source,fan_duty_min,fan_duty_max,load_assumption,phase_fields_present,phase_cardinality,phase_procedure_contamination_risk,bad_tail_detectable,final_quiescent_tail_rows,final_quiescent_tail_seconds,recommendation,recommendation_reasons,overall_extracted_share,family_extracted_share
2026-04-10_18-08-20,decoded_open_floor,TestResults\mmlog_decode_2026-04-10_18-08-20\open_floor_main.csv,12129362,decoded_open_floor_full_current,82,20703,20703,2891,1407,1407,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,20703,16242,yes,2331,1533,0.000429,0.000429,0,yes,164,0.007922,0.054054,yes,0,yes,0,0.003623,20702,33.979569,774.933042,0.000386,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:3;phase_id:3;primitive_family:3;primitive_id:3;progress_norm:64;repeat_index:7;section_id:2;speed_bin:1,low,yes,0,0.000000,fit_authoritative,,0.003277,0.004165
2026-04-10_18-33-52,decoded_open_floor,TestResults\mmlog_decode_2026-04-10_18-33-52\open_floor_main.csv,112050451,decoded_open_floor_full_current,82,143869,143869,50324,886,886,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,143869,77401,yes,10044,888,0.004480,0.004381,0,yes,13,0.000090,0.000199,yes,1,yes,0,0.002398,143868,22.759931,427.971462,0.000000,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:3;phase_id:3;primitive_family:3;primitive_id:3;progress_norm:64;repeat_index:64;section_id:3;speed_bin:2,low,yes,0,0.000000,validation_only,low extracted-sample count,0.002064,0.002623
2026-04-11_06-58-25,decoded_open_floor,TestResults\mmlog_decode_2026-04-11_06-58-25\open_floor_main.csv,57301726,decoded_open_floor_full_current,82,84697,84697,42366,862,862,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,84697,31300,yes,2513,957,0.800239,0.817748,0,yes,273,0.003223,0.049741,yes,0,yes,0,0.001830,84696,22.642720,588.420338,0.000024,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:3;phase_id:3;primitive_family:3;primitive_id:3;progress_norm:64;repeat_index:64;section_id:3;speed_bin:2,low,yes,0,0.000000,validation_only,angular command mostly zero during moving-yaw rows; low extracted-sample count,0.002008,0.002552
2026-04-11_21-03-20,decoded_open_floor,TestResults\mmlog_decode_2026-04-11_21-03-20\open_floor_main.csv,196119004,decoded_open_floor_full_current,82,323537,323537,41275,174,174,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,323537,263416,yes,1007,375,0.648461,0.720953,0,yes,527,0.001629,0.247269,yes,0,yes,0,0.000825,323536,14.643068,548.383489,0.000006,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:3;phase_id:4;primitive_family:3;primitive_id:3;progress_norm:64;repeat_index:64;section_id:3;speed_bin:2,low,yes,0,0.000000,validation_only,angular command mostly zero during moving-yaw rows; low extracted-sample count,0.000405,0.000515
2026-04-12_05-13-55,decoded_open_floor,TestResults\mmlog_decode_2026-04-12_05-13-55\open_floor_main.csv,47920599,decoded_open_floor_full_current,82,72412,72412,23450,4,4,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,72412,36139,yes,164,65,0.384146,0.536585,0,yes,210,0.002900,0.530488,yes,0,yes,0,0.003149,72411,18.007832,631.347931,0.000083,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:4;phase_id:5;primitive_family:4;primitive_id:4;progress_norm:64;repeat_index:64;section_id:3;speed_bin:2,low,yes,0,0.000000,validation_only,high moving-yaw saturation fraction; low extracted-sample count,0.000009,0.000012
2026-04-12_06-36-32,decoded_open_floor,TestResults\mmlog_decode_2026-04-12_06-36-32\open_floor_main.csv,45844658,decoded_open_floor_full_current,82,69260,69260,21760,432,432,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,69260,38234,yes,1421,436,0.476425,0.476425,0,yes,4,0.000058,0.000704,yes,0,yes,0,0.001617,69259,14.695547,267.891735,0.000000,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:4;phase_id:6;primitive_family:4;primitive_id:4;progress_norm:64;repeat_index:64;section_id:3;speed_bin:2,low,yes,0,0.000000,validation_only,low extracted-sample count,0.001006,0.001279
2026-04-12_06-44-12,decoded_open_floor,TestResults\mmlog_decode_2026-04-12_06-44-12\open_floor_main.csv,45844658,decoded_open_floor_full_current,82,69260,69260,21760,432,432,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,69260,38234,yes,1421,436,0.476425,0.476425,0,yes,4,0.000058,0.000704,yes,0,yes,0,0.001617,69259,14.695547,267.891735,0.000000,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:4;phase_id:6;primitive_family:4;primitive_id:4;progress_norm:64;repeat_index:64;section_id:3;speed_bin:2,low,yes,0,0.000000,validation_only,low extracted-sample count,0.001006,0.001279
2026-04-12_20-14-49,decoded_open_floor,TestResults\mmlog_decode_2026-04-12_20-14-49\open_floor_main.csv,93299113,decoded_open_floor_full_current,82,124191,124191,68616,7344,7344,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,124191,35372,yes,18029,8286,0.011870,0.013977,0,yes,3415,0.027498,0.052915,yes,0,yes,0,0.001763,124190,55.368281,528.446883,0.000032,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:8;phase_id:9;primitive_family:5;primitive_id:7;progress_norm:64;repeat_index:64;section_id:4;speed_bin:4,low,yes,0,0.000000,fit_authoritative,,0.017106,0.021741
2026-04-12_22-27-00,decoded_open_floor,TestResults\mmlog_decode_2026-04-12_22-27-00\open_floor_main.csv,97189045,decoded_open_floor_full_current,82,129063,129063,75139,10880,10880,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,129063,39947,yes,23042,12252,0.052339,0.053641,0,yes,3339,0.025871,0.049779,yes,0,yes,0,0.002836,129062,59.807972,654.325998,0.000101,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:8;phase_id:9;primitive_family:5;primitive_id:7;progress_norm:64;repeat_index:64;section_id:4;speed_bin:4,low,yes,0,0.000000,fit_authoritative,,0.025342,0.032209
2026-04-13_16-42-46,decoded_open_floor,TestResults\mmlog_decode_2026-04-13_16-42-46\open_floor_main.csv,108734637,decoded_open_floor_full_current,82,141172,141172,88476,13492,13492,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,141172,35424,yes,29543,15653,0.017331,0.019632,0,yes,3092,0.021902,0.076736,yes,0,yes,0,0.009216,141171,58.200900,1243.699562,0.000205,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:10;phase_id:12;primitive_family:6;primitive_id:10;progress_norm:64;repeat_index:64;section_id:5;speed_bin:4,low,yes,0,0.000000,fit_authoritative,,0.031426,0.039942
2026-04-14_02-00-02,decoded_open_floor,TestResults\mmlog_decode_2026-04-14_02-00-02\open_floor_main.csv,83250497,decoded_open_floor_full_current,82,111383,111383,68804,5457,5457,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,111383,29887,yes,12986,8453,0.028261,0.038580,0,yes,4556,0.040904,0.258663,yes,0,yes,0,0.012246,111382,50.206770,1095.068071,0.000467,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:10;phase_id:12;primitive_family:6;primitive_id:9;progress_norm:64;repeat_index:60;section_id:5;speed_bin:4,low,yes,0,0.000000,fit_downweighted,high moving-yaw saturation fraction,0.012711,0.016155
2026-04-14_04-43-48,decoded_open_floor,TestResults\mmlog_decode_2026-04-14_04-43-48\open_floor_main.csv,88374984,decoded_open_floor_full_current,82,116754,116754,76478,13830,13830,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,116754,30052,yes,24206,15915,0.033132,0.035652,0,yes,2383,0.020410,0.078906,yes,0,yes,0,0.012291,116753,50.020960,832.303884,0.000625,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:10;phase_id:12;primitive_family:6;primitive_id:13;progress_norm:64;repeat_index:60;section_id:5;speed_bin:4,low,yes,0,0.000000,fit_authoritative,,0.032213,0.040942
