max_force_preprojection_utilization_bin,vbar_rel_bin_mps,count,run_count,families,mean_residual_additive_yaw_torque_nm,median_residual_additive_yaw_torque_nm,trimmed_mean_residual_additive_yaw_torque_nm,rmse_residual_additive_yaw_torque_nm,mad_residual_additive_yaw_torque_nm,iqr_residual_additive_yaw_torque_nm,mean_opposing_yaw_resistance_nm,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mean_vbar_rel_mps,mean_vbar_lat_mps,mean_vbar_yaw_mps,mean_max_force_preprojection_utilization,limiter_active_fraction,hardware_saturation_fraction
0.00,0.00,457126,65,competition_aux;competition_diag;open_floor;uncertainty_open_floor,-0.000115573,-0.000096256,-0.000146607,0.009002411,0.004549175,0.009099577,0.000690524,0.000108917,0.000549940,0.004651058,0.000784152,0.002382464,0.073541862,0.000000000,0.000000000
0.00,0.10,765,33,competition_aux;open_floor,0.001656829,0.002231875,0.001305900,0.023036951,0.009893535,0.019847426,-0.002364879,-0.000471101,-0.001102949,0.081752090,0.001321246,0.004014297,0.087347509,0.000000000,0.000000000
0.25,0.00,1102093,67,competition_aux;competition_diag;open_floor;uncertainty_open_floor,0.000195330,0.000153778,0.000220576,0.013358555,0.006644795,0.013286367,-0.000807448,-0.000575204,-0.000664897,0.007114567,0.001469699,0.004465338,0.223645205,0.000000000,0.000000000
0.25,0.10,10067,45,competition_aux;competition_diag;open_floor,0.002058346,0.003465937,0.002727674,0.026940663,0.014445534,0.029126369,-0.004124338,-0.003342979,-0.003346485,0.082101044,0.004411101,0.013402101,0.265557178,0.000000000,0.000000000
0.25,0.20,1318,27,competition_aux;open_floor,0.000166311,-0.001528576,-0.000135911,0.035407966,0.022495263,0.045241785,-0.010536024,-0.009577918,-0.010423485,0.182813236,0.003406617,0.010350212,0.283752815,0.000000000,0.006828528
0.25,0.30,162,20,competition_aux;open_floor,-0.004269311,-0.006135072,-0.005648405,0.036727325,0.019181311,0.038080167,-0.008391930,-0.009091611,-0.009256573,0.283318835,0.003098529,0.009414157,0.286750691,0.000000000,0.154320988
0.50,0.00,339072,55,competition_aux;competition_diag;open_floor;uncertainty_open_floor,0.000830609,0.003208702,0.000945072,0.036595301,0.033180794,0.066193661,0.001057403,0.001506401,0.001213901,0.018382635,0.002734211,0.008307262,0.490984612,0.000000000,0.000000000
0.50,0.10,57695,48,competition_aux;competition_diag;open_floor;uncertainty_open_floor,0.011429858,0.029266811,0.013534594,0.047534353,0.034381902,0.082997334,-0.006933025,-0.027550441,-0.008866364,0.064462019,0.002760954,0.008388514,0.542025569,0.000000000,0.000987954
0.50,0.20,4097,33,competition_aux;open_floor,0.002346499,0.000295039,0.002462333,0.046338283,0.039560888,0.079476230,-0.012171304,-0.020240281,-0.012614220,0.190639088,0.004647553,0.014120506,0.506323827,0.000000000,0.026848914
0.50,0.30,545,21,competition_aux;open_floor,-0.006812909,-0.016694394,-0.007687597,0.046395399,0.036746591,0.077434702,-0.021540210,-0.031071848,-0.023506629,0.286045092,0.004505759,0.013689698,0.520915230,0.000000000,0.091743119
0.75,0.00,146513,48,competition_aux;competition_diag;open_floor;uncertainty_open_floor,-0.003875682,-0.006794954,-0.004959820,0.055490263,0.050754349,0.104506029,-0.017789122,-0.023614570,-0.019843636,0.018363431,0.005456067,0.016576987,0.736204777,0.000000000,0.004962017
0.75,0.10,32074,47,competition_aux;competition_diag;open_floor,0.001033684,0.006832136,0.001318779,0.061883877,0.056115829,0.113390419,-0.019758248,-0.035750611,-0.023019495,0.077274398,0.008328784,0.025305066,0.744155624,0.000000000,0.015744840
0.75,0.20,5718,35,competition_aux;open_floor,0.011178827,0.021503637,0.013398709,0.059592161,0.046562181,0.100983954,-0.021078693,-0.033703693,-0.023368279,0.192900190,0.007755876,0.023564417,0.755238324,0.000000000,0.056313396
0.75,0.30,2214,29,competition_aux;open_floor,-0.010647732,-0.031213366,-0.012368604,0.072681252,0.055206899,0.131842457,-0.006071273,-0.012899318,-0.006238045,0.290770540,0.006388048,0.019408593,0.784056221,0.000000000,0.105691057
0.75,0.40,297,19,competition_aux;open_floor,-0.020322627,-0.062051114,-0.026863817,0.082405935,0.031326017,0.137694597,-0.006463492,-0.032939124,-0.007846542,0.379451912,0.004358237,0.013241485,0.767490640,0.000000000,0.265993266
1.00,0.00,65083,45,competition_aux;competition_diag;open_floor;uncertainty_open_floor,0.004780144,0.002131649,0.004867435,0.061632907,0.048083762,0.096168762,-0.010712511,-0.004968380,-0.009742449,0.024862476,0.011005199,0.033436729,0.988291963,0.434122582,0.013029516
1.00,0.10,38807,45,competition_aux;competition_diag;open_floor;uncertainty_open_floor,-0.004255484,-0.007254539,-0.005207728,0.080577198,0.074393796,0.148626774,-0.045278596,-0.059314793,-0.051125407,0.084283242,0.014565144,0.044252789,1.006071218,0.537815343,0.057979231
1.00,0.20,10454,40,competition_aux;competition_diag;open_floor,0.012366094,0.017581355,0.014290525,0.065979305,0.052550912,0.105054573,-0.019365839,-0.027253660,-0.021751738,0.191638702,0.012888366,0.039158290,1.009204757,0.550315669,0.111536254
1.00,0.30,4982,33,competition_aux;open_floor,0.012763249,0.017806844,0.015495295,0.075813083,0.068640912,0.138703103,-0.010410929,-0.009314434,-0.011677326,0.294763536,0.010512780,0.031940629,1.006630722,0.537334404,0.106985147
1.00,0.40,3080,28,competition_aux;open_floor,-0.064140531,-0.101494494,-0.078205096,0.098568995,0.012374669,0.051343721,0.010534457,0.056930110,0.013893420,0.386986419,0.005418959,0.016464243,1.051307698,0.794480519,0.010389610
1.00,0.50,190,14,competition_aux;open_floor,-0.026254267,-0.089204755,-0.033337058,0.098949775,0.025134957,0.192470629,0.013846497,0.074412872,0.017642062,0.485897796,0.004719955,0.014340481,1.029026694,0.647368421,0.000000000
1.25,0.00,39803,42,competition_aux;competition_diag;open_floor,-0.003805960,-0.001489271,-0.004841055,0.054645510,0.030470891,0.060201614,-0.000648986,0.000843933,0.002118323,0.025520638,0.013774262,0.041849880,1.253542660,1.000000000,0.130015325
1.25,0.10,40394,42,competition_aux;competition_diag;open_floor,-0.001916917,-0.004820361,-0.002341114,0.081857354,0.068605237,0.137583833,-0.045632821,-0.054646249,-0.049948508,0.095738881,0.022061480,0.067028656,1.249360679,1.000000000,0.035079467
1.25,0.20,14283,39,competition_aux;competition_diag;open_floor,0.003492555,0.008179090,0.004193005,0.072339878,0.057440184,0.115663409,-0.025127174,-0.035300139,-0.027206797,0.192329092,0.018490339,0.056178578,1.253318668,1.000000000,0.098718757
1.25,0.30,6625,32,competition_aux;competition_diag;open_floor,0.017189393,0.025012296,0.020540298,0.074159967,0.060820263,0.121838584,0.001541319,0.008155079,0.002948787,0.294044270,0.013520678,0.041079425,1.260922370,1.000000000,0.024452830
1.25,0.40,7385,30,competition_aux;open_floor,-0.028268531,-0.087267917,-0.034922102,0.099443176,0.030836480,0.201818398,0.006334497,0.043560099,0.008176776,0.399356200,0.006291408,0.019114975,1.246042064,1.000000000,0.003385240
1.25,0.50,1387,25,competition_aux;open_floor,-0.063257707,-0.109103048,-0.077780447,0.106566330,0.007971111,0.047154998,-0.036008033,-0.106278585,-0.044263429,0.477417338,0.004305476,0.013081184,1.283554644,1.000000000,0.000000000
1.25,0.60,113,8,competition_aux;open_floor,-0.029012704,-0.097568688,-0.035402042,0.105445550,0.021658099,0.208223621,0.000587990,0.064957089,0.001278309,0.585611083,0.006614489,0.020096582,1.272437787,1.000000000,0.000000000
1.50,0.00,14082,39,competition_aux;competition_diag;open_floor,-0.002022938,-0.002946864,-0.002108682,0.069729164,0.041833652,0.083605609,-0.010437034,0.000848957,-0.008133934,0.034542478,0.019189620,0.058303182,1.472078797,1.000000000,0.220778299
1.50,0.10,40443,43,competition_aux;competition_diag;open_floor;uncertainty_open_floor,0.000525067,-0.001741195,0.000591988,0.070409146,0.048373142,0.097320755,-0.020973393,-0.015336854,-0.020369889,0.093620543,0.024953669,0.075815898,1.496899658,1.000000000,0.196746038
1.50,0.20,21533,37,competition_aux;competition_diag;open_floor,-0.002975893,0.001560396,-0.003548135,0.084828076,0.073607450,0.152978115,-0.044180246,-0.059061307,-0.048098107,0.186609656,0.025666919,0.077982942,1.511539834,1.000000000,0.029628942
1.50,0.30,8656,35,competition_aux;competition_diag;open_floor,0.023283486,0.041367629,0.027846673,0.079369414,0.059366637,0.127328577,-0.002239898,0.005115180,-0.001920870,0.299629656,0.014149364,0.042989538,1.499604303,1.000000000,0.033156192
1.50,0.40,4987,32,competition_aux;open_floor,-0.011193443,-0.031602662,-0.013661213,0.094205296,0.081358979,0.194698075,-0.008297709,-0.014973865,-0.009953074,0.396801517,0.007828518,0.023785123,1.489615804,1.000000000,0.002205735
1.50,0.50,5866,26,competition_aux;open_floor,0.018301657,0.089006076,0.022559061,0.107072795,0.033201011,0.216528885,0.017073730,0.088830772,0.021352175,0.501097145,0.005195247,0.015784546,1.522372967,1.000000000,0.000170474
1.50,0.60,614,20,competition_aux;open_floor,-0.071400484,-0.107258674,-0.087648720,0.107197250,0.007899865,0.017891478,0.002851434,0.066649029,0.003831532,0.578335253,0.005776312,0.017549976,1.546632147,1.000000000,0.000000000
1.50,0.70,86,6,competition_aux;open_floor,-0.019585135,-0.100303977,-0.024057023,0.110439298,0.022797392,0.218516151,-0.001554575,0.005789156,-0.001538079,0.679293944,0.006076060,0.018460690,1.555704231,1.000000000,0.000000000
1.75,0.00,8041,35,competition_aux;competition_diag;open_floor;uncertainty_open_floor,-0.002923854,-0.003560540,-0.003216378,0.089277625,0.079889452,0.159956534,-0.009580810,-0.006618727,-0.008818863,0.024335315,0.011394359,0.034619100,1.738034939,1.000000000,0.710608133
1.75,0.10,26575,41,competition_aux;competition_diag;open_floor;uncertainty_open_floor,-0.001889828,-0.001862494,-0.001470870,0.062631461,0.038185965,0.076379556,-0.014565119,-0.002889081,-0.010895110,0.098987456,0.034950867,0.106190051,1.735968651,1.000000000,0.297121355
1.75,0.20,32895,37,competition_aux;competition_diag;open_floor,-0.004758615,-0.002866327,-0.005664213,0.082907937,0.065229388,0.134823564,-0.041451292,-0.046470845,-0.043276297,0.195403770,0.030262482,0.091945488,1.755729448,1.000000000,0.141237270
1.75,0.30,8748,36,competition_aux;competition_diag;open_floor,-0.002285177,-0.002333506,-0.002312563,0.071433436,0.056847118,0.113059697,-0.017908135,-0.018998796,-0.018766753,0.293058089,0.019915485,0.060508552,1.756857826,1.000000000,0.031435757
1.75,0.40,3326,30,competition_aux;competition_diag;open_floor,0.013786441,0.040810397,0.016657771,0.085833137,0.069366814,0.153571642,-0.005883169,-0.014646952,-0.006724160,0.392262833,0.012750821,0.038740394,1.747206729,1.000000000,0.009019844
1.75,0.50,3409,26,competition_aux;open_floor,0.025467548,0.095847347,0.031888186,0.105422089,0.027397887,0.211480883,0.006032969,0.057786344,0.007361816,0.507022657,0.006655214,0.020220314,1.718066812,1.000000000,0.000000000
1.75,0.60,1986,22,competition_aux;open_floor,-0.063286308,-0.106602810,-0.078663434,0.108658002,0.008538513,0.021719145,0.019594310,0.096109346,0.024880665,0.601088313,0.006789038,0.020626906,1.766211894,1.000000000,0.000000000
1.75,0.70,679,9,competition_aux;open_floor,-0.068392869,-0.107332962,-0.083422771,0.109162040,0.007747335,0.017484331,0.039040953,0.101955658,0.048536535,0.678955629,0.004581619,0.013920179,1.790187282,1.000000000,0.000000000
10.00,1.70,111,4,competition_aux,0.099904591,0.101044947,0.100603870,0.102066151,0.011509171,0.023379551,-0.099904591,-0.101044947,-0.100603870,1.692385376,0.289539826,0.879699174,9.998972374,1.000000000,0.000000000
2.00,0.00,1821,29,competition_aux;competition_diag;open_floor;uncertainty_open_floor,0.002980545,0.003353259,0.003998258,0.090701806,0.080851253,0.161797115,-0.069618411,-0.077583389,-0.072243905,0.041076621,0.028079104,0.085311803,1.974529489,1.000000000,0.779791323
2.00,0.10,16368,36,competition_aux;competition_diag;open_floor,-0.000472251,0.000018282,-0.000385548,0.062814768,0.032237136,0.064397288,-0.030637378,-0.017170204,-0.028435954,0.092815659,0.047548371,0.144464627,1.993674905,1.000000000,0.275782014
2.00,0.20,34339,36,competition_aux;competition_diag;open_floor,0.004711192,0.008299725,0.005808378,0.070998381,0.047962728,0.095237545,-0.020427877,-0.002240877,-0.017619980,0.211539997,0.035562567,0.108048558,1.985843476,1.000000000,0.279565509
2.00,0.30,20625,34,competition_aux;competition_diag;open_floor,-0.006727226,-0.009045305,-0.008289088,0.081798536,0.070117420,0.144089807,-0.042799092,-0.055418572,-0.045668827,0.283294796,0.030940160,0.094004455,2.025166680,1.000000000,0.123684848
2.00,0.40,4691,34,competition_aux;competition_diag;open_floor,0.007061503,0.016990979,0.007489520,0.066942005,0.058004968,0.113708568,0.005223780,0.031004637,0.008709718,0.387940721,0.017980427,0.054629329,2.012963557,1.000000000,0.009806012
2.00,0.50,2093,25,competition_aux;open_floor,0.032613933,0.072444348,0.040490656,0.094779976,0.040204068,0.169756679,0.016575654,0.061332480,0.020678440,0.498646209,0.011654905,0.035410710,2.003827551,1.000000000,0.004777831
2.00,0.60,1293,22,competition_aux;open_floor,-0.052012813,-0.104863441,-0.064121980,0.107685254,0.011894449,0.169469682,0.028585684,0.097506848,0.035748329,0.607294019,0.006840051,0.020781897,1.990839791,1.000000000,0.000000000
2.00,0.70,2007,11,competition_aux;open_floor,-0.073004357,-0.108252531,-0.089578917,0.110921624,0.009210580,0.019902387,0.013175681,0.095774713,0.016517465,0.693533460,0.003986163,0.012111027,2.000765602,1.000000000,0.000000000
2.00,0.80,223,7,competition_aux;open_floor,-0.048737610,-0.106488309,-0.059449387,0.112401869,0.011839391,0.214369879,-0.042915855,-0.105994814,-0.051870889,0.778032183,0.003685642,0.011197962,2.028862707,1.000000000,0.000000000
2.25,0.00,328,10,open_floor,0.001136337,-0.010048483,0.001352788,0.110302101,0.110396238,0.225796014,-0.105658654,-0.112680104,-0.109333188,0.047134487,0.045573467,0.138464340,2.170721012,1.000000000,0.926829268
2.25,0.10,11935,28,competition_aux;open_floor,0.001935912,-0.000057495,0.001816983,0.064644089,0.031370512,0.062900121,-0.040426211,-0.026255869,-0.038522637,0.096057450,0.059319381,0.180228092,2.242563943,1.000000000,0.284541265
2.25,0.20,11196,37,competition_aux;competition_diag;open_floor,0.005624677,0.006565605,0.005598848,0.055311163,0.033730120,0.067694327,-0.012941594,0.000477276,-0.008706690,0.204470579,0.048572967,0.147577621,2.231403174,1.000000000,0.285459093
2.25,0.30,35464,34,competition_aux;competition_diag;open_floor,-0.007826245,-0.006098437,-0.009583091,0.084682159,0.076509472,0.157984841,-0.055264083,-0.069757110,-0.060436770,0.299362747,0.037697861,0.114536150,2.248714367,1.000000000,0.308340853
2.25,0.40,7203,34,competition_aux;competition_diag;open_floor,-0.001936599,-0.003311728,-0.001274729,0.058712951,0.048763830,0.097745732,-0.004332570,0.011567871,-0.001076620,0.390444576,0.018564217,0.056403041,2.260619803,1.000000000,0.074968763
2.25,0.50,2049,22,competition_aux;open_floor,-0.000087069,0.002139138,0.001025870,0.069814350,0.060558732,0.121148083,-0.008338603,-0.033045336,-0.009304064,0.484946902,0.012688920,0.038552323,2.258313884,1.000000000,0.013665203
2.25,0.60,1047,20,competition_aux;open_floor,-0.000840927,0.009341063,-0.001326247,0.103516194,0.106390234,0.211898874,0.005954499,0.043793243,0.007518892,0.599532629,0.008413158,0.025561417,2.217556520,1.000000000,0.007640879
2.25,0.70,1342,15,competition_aux;open_floor,-0.065613144,-0.107066440,-0.080450975,0.110340409,0.009808575,0.023083018,0.026462234,0.101701936,0.032480023,0.701967723,0.004213849,0.012802796,2.229404971,1.000000000,0.000745156
2.25,0.80,1123,9,competition_aux;open_floor,-0.061572262,-0.107936552,-0.075768978,0.111307003,0.009800907,0.026655228,-0.006180225,-0.094224940,-0.007372224,0.779241993,0.004194722,0.012744685,2.247273865,1.000000000,0.000000000
2.50,0.10,7525,21,competition_aux;open_floor,0.004403839,0.004135489,0.004955426,0.052209369,0.022583351,0.045294609,-0.031738978,-0.020270125,-0.027821386,0.105968042,0.076790562,0.233310199,2.490501290,1.000000000,0.211694352
2.50,0.20,6702,25,competition_aux;open_floor,0.006941934,0.008494526,0.007611693,0.048907689,0.025734425,0.051344256,-0.012128497,0.000602098,-0.008390838,0.197765673,0.062955985,0.191277063,2.492380238,1.000000000,0.269322590
2.50,0.30,18785,33,competition_aux;competition_diag;open_floor,0.003710032,0.017526150,0.004463163,0.089146785,0.085886695,0.190498379,-0.065387358,-0.094979168,-0.070980577,0.318431563,0.053364466,0.162135474,2.480660100,1.000000000,0.211924408
2.50,0.40,15885,34,competition_aux;competition_diag;open_floor,0.000444905,0.002750674,0.000616676,0.074596930,0.056004560,0.112146336,-0.046965284,-0.051220937,-0.050143644,0.384711486,0.034021165,0.103365369,2.511904199,1.000000000,0.437204910
2.50,0.50,2927,28,competition_aux;competition_diag;open_floor,-0.001806656,0.001351709,0.000072063,0.062673049,0.052735729,0.105301120,-0.028217981,-0.043417017,-0.030268573,0.490015504,0.015688889,0.047667027,2.498113235,1.000000000,0.020498804
2.50,0.60,706,16,competition_aux;competition_diag;open_floor,-0.021849696,-0.052738267,-0.025296395,0.079753552,0.054508032,0.140835327,0.005484576,0.005415048,0.006652247,0.591894615,0.019579096,0.059486512,2.520399410,1.000000000,0.021246459
2.50,0.70,435,15,competition_aux;open_floor,-0.049241387,-0.104610065,-0.060269580,0.108742127,0.014151724,0.191540687,0.020683378,0.093007523,0.025800115,0.697389190,0.006995236,0.021253392,2.478272422,1.000000000,0.004597701
2.50,0.80,586,12,competition_aux;open_floor,-0.011022459,-0.098175219,-0.013760501,0.112234692,0.025868785,0.223548350,-0.032555809,-0.106205062,-0.039705046,0.805479011,0.007842126,0.023826471,2.481034525,1.000000000,0.000000000
2.50,0.90,270,6,competition_aux;open_floor,0.021494201,0.102174161,0.027027196,0.111825824,0.017502052,0.220990343,0.005890092,0.096663491,0.007631196,0.887029906,0.005439395,0.016526332,2.526929732,1.000000000,0.000000000
2.75,0.10,5686,20,competition_aux;open_floor,0.008263723,0.009437296,0.008699237,0.030776775,0.018341049,0.036748630,-0.019479655,-0.018399106,-0.018713960,0.109467686,0.094845192,0.288164977,2.739513931,1.000000000,0.044319381
2.75,0.20,4719,20,competition_aux;open_floor,0.004841932,0.004108138,0.004631888,0.042776490,0.021563731,0.043138853,-0.008736592,0.001342236,-0.004379963,0.200964668,0.081290211,0.246981331,2.736544365,1.000000000,0.189235007
2.75,0.30,6378,31,competition_aux;competition_diag;open_floor,0.017276744,0.020207485,0.018116200,0.057906077,0.027946606,0.057280413,-0.009826392,0.012614047,-0.003711869,0.299398470,0.071643759,0.217672839,2.740336814,1.000000000,0.165412355
2.75,0.40,17923,33,competition_aux;competition_diag;open_floor,0.006126728,0.018274814,0.007501213,0.097210886,0.093703449,0.207355567,-0.083867910,-0.103754029,-0.091503757,0.393772764,0.059479622,0.180714948,2.742839208,1.000000000,0.203091000
2.75,0.50,4729,33,competition_aux;competition_diag;open_floor,-0.001614809,-0.000909889,0.000038068,0.055587846,0.043547744,0.087310686,-0.027851094,-0.036773595,-0.029031360,0.485333631,0.022926764,0.069657619,2.758231858,1.000000000,0.538380207
2.75,0.60,750,16,competition_aux;open_floor,-0.008424522,-0.013183874,-0.006986332,0.068051977,0.060537397,0.116476544,-0.019221435,-0.042981894,-0.023086705,0.587003789,0.020213214,0.061413131,2.748401288,1.000000000,0.018666667
2.75,0.70,265,15,competition_aux;open_floor,-0.057131127,-0.099411287,-0.068118474,0.097537640,0.019238772,0.125943607,0.019899459,0.064739268,0.025322153,0.693370262,0.011219783,0.034088690,2.752197409,1.000000000,0.011320755
2.75,0.80,233,10,competition_aux;open_floor,-0.043915303,-0.105289125,-0.053547441,0.111975861,0.014223548,0.221359072,-0.006345289,-0.094991768,-0.008037556,0.799038728,0.005539339,0.016829989,2.742493355,1.000000000,0.000000000
2.75,0.90,323,6,competition_aux;open_floor,0.047371915,0.104892435,0.059164723,0.111543686,0.011797910,0.212650485,0.003744764,0.092551796,0.005162410,0.900953462,0.006117661,0.018587085,2.736469256,1.000000000,0.000000000
2.75,1.00,168,3,open_floor,-0.048613039,-0.107731598,-0.058204262,0.111191983,0.013233991,0.213654406,-0.072313957,-0.108788857,-0.087114995,0.976787448,0.008401319,0.025525446,2.777125879,1.000000000,0.000000000
3.00,0.10,3974,17,open_floor,0.006990557,0.009364095,0.007608028,0.029837201,0.020465666,0.041343705,-0.022052995,-0.021984069,-0.021887815,0.116822720,0.105276865,0.319859179,2.992214811,1.000000000,0.022898842
3.00,0.20,2578,18,open_floor,0.001136578,-0.000524762,0.000549738,0.030164492,0.018287736,0.036531831,-0.000956843,0.001987471,0.000914051,0.204911064,0.096834050,0.294207656,2.989596148,1.000000000,0.095810706
3.00,0.30,3709,21,competition_aux;competition_diag;open_floor,0.003404835,0.006181627,0.003536900,0.034911570,0.024160778,0.048362326,0.010506453,0.017853122,0.014892605,0.295160204,0.087533757,0.265950888,2.987802078,1.000000000,0.140738744
3.00,0.40,13049,32,competition_aux;competition_diag;open_floor,0.003835616,0.022522663,0.004281174,0.104662818,0.099773919,0.213608799,-0.097644370,-0.106732189,-0.104821176,0.420283312,0.072406374,0.219989864,2.986726148,1.000000000,0.057935474
3.00,0.50,6414,33,competition_aux;competition_diag;open_floor,-0.006260948,-0.010319125,-0.007335805,0.085581145,0.077292871,0.154779705,-0.062451323,-0.074536751,-0.066397729,0.486036383,0.058163664,0.176716717,3.012986952,1.000000000,0.387277830
3.00,0.60,1242,26,competition_aux;competition_diag;open_floor,0.004349692,0.014679725,0.006305454,0.062938336,0.044772204,0.093996447,-0.009212839,-0.017270337,-0.008798840,0.581256398,0.024281075,0.073772379,3.013180208,1.000000000,0.461352657
3.00,0.70,199,14,competition_aux;open_floor,-0.006432121,0.011686525,-0.005997003,0.074202275,0.063782564,0.125505685,-0.004874989,0.009485807,-0.004218890,0.692197971,0.024062562,0.073108477,2.998708600,1.000000000,0.020100503
3.00,0.80,176,11,competition_aux;open_floor,-0.069429312,-0.103875346,-0.083472821,0.104275472,0.013766534,0.037487539,0.024728833,0.091002344,0.029353929,0.812708303,0.007592886,0.023069213,3.009646658,1.000000000,0.011363636
