run_id,family,schema,path,input_rows,normalized_rows,kept_rows,dropped_tail_rows,bias_radps,bias_rows,extracted_samples,sampled_rows_written,max_abs_forward_mps,max_abs_yaw_radps,max_vbar_rel_mps,max_force_utilization,saturated_rows,limiter_active_rows,cutoff_reason,cutoff_tick,cutoff_time_us,limitation
2026-04-10_18-08-20,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-10_18-08-20\open_floor_main.csv,20703,20703,20703,0,-0.000000000,15839,4857,197,0.432375960,8.783020973,0.554307657,3.813765813,164,1973,kept through final sensor-active row,,,
2026-04-10_18-33-52,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-10_18-33-52\open_floor_main.csv,143869,143869,143869,0,-0.000000000,32792,110947,4402,0.235001363,0.985936522,0.208735440,1.857302818,13,92,kept through final sensor-active row,,,
2026-04-11_06-58-25,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-11_06-58-25\open_floor_main.csv,84697,84697,84697,0,-0.003665191,33382,47380,1976,0.489830345,1.251052039,0.235513834,2.216417669,272,560,kept through final sensor-active row,,,
2026-04-11_21-03-20,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-11_21-03-20\open_floor_main.csv,323537,323537,323537,0,-0.003665191,265936,51298,2054,0.459125966,0.825889784,0.289378838,2.227573473,526,584,kept through final sensor-active row,,,
2026-04-12_05-13-55,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-12_05-13-55\open_floor_main.csv,72412,72412,72412,0,-0.003665191,37462,30819,1182,0.377619743,0.632856386,0.276149486,2.259036898,209,234,kept through final sensor-active row,,,
2026-04-12_06-36-32,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-12_06-36-32\open_floor_main.csv,69260,69260,69260,0,-0.003665191,35885,30496,1224,0.243207112,0.514348524,0.112558696,1.515207409,4,14,kept through final sensor-active row,,,
2026-04-12_06-44-12,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-12_06-44-12\open_floor_main.csv,69260,69260,69260,0,-0.003665191,35885,30496,1236,0.243207112,0.514348524,0.112558696,1.515207409,4,14,kept through final sensor-active row,,,
2026-04-12_20-14-49,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-12_20-14-49\open_floor_main.csv,124191,124191,124191,0,-0.003665191,35877,84280,3306,0.730393618,2.288301247,0.330139491,2.232933100,3412,8377,kept through final sensor-active row,,,
2026-04-12_22-27-00,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-12_22-27-00\open_floor_main.csv,129063,129063,129063,0,-0.003665191,36415,90374,3583,0.783143699,3.067765015,0.447568363,2.368431810,3336,10114,kept through final sensor-active row,,,
2026-04-13_16-42-46,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-13_16-42-46\open_floor_main.csv,141172,141172,141172,0,-0.003665191,35579,101048,4024,0.853541732,5.285206097,0.803836753,2.880563419,3084,22128,kept through final sensor-active row,,,
2026-04-14_02-00-02,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_02-00-02\open_floor_main.csv,111383,111383,111383,0,-0.003665191,30526,77516,3137,0.839714944,13.321748513,0.700630422,5.763783576,4536,12943,kept through final sensor-active row,,,
2026-04-14_04-43-48,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_04-43-48\open_floor_main.csv,116754,116754,116754,0,-0.003665191,30761,82879,3275,0.757505089,10.833084839,1.040972369,4.827079373,2369,17071,kept through final sensor-active row,,,
2026-04-14_05-26-35,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_05-26-35\open_floor_main.csv,109155,109155,109155,0,-0.003665191,30913,75029,3106,0.837546706,12.211195725,0.688574363,5.254249941,3217,11889,kept through final sensor-active row,,,
2026-04-14_05-40-35,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_05-40-35\open_floor_main.csv,1559,1559,1559,0,0.002443461,1479,208,12,0.029360664,0.348193167,0.009417199,0.274185858,0,0,kept through final sensor-active row,,,
2026-04-14_06-21-48,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_06-21-48\open_floor_main.csv,2815,2815,2361,454,0.001221730,2680,148,7,0.013981270,0.464257582,0.010895480,0.309222408,0,0,dropped final sensor-quiescent/invalid tail >= 0.25 s,2562,14547447,
2026-04-14_06-37-59,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_06-37-59\open_floor_main.csv,1621,1621,1621,0,-0.004886922,1443,179,6,0.013719937,0.305432621,0.008628626,0.277245176,0,0,kept through final sensor-active row,,,
2026-04-14_07-02-50,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_07-02-50\open_floor_main.csv,6982,6982,6982,0,-0.003665191,6689,159,6,0.016341744,0.382401663,0.008587831,0.285143539,0,0,kept through final sensor-active row,,,
2026-04-14_07-17-42,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_07-17-42\open_floor_main.csv,3473,3473,3473,0,-0.003665191,3123,254,10,0.019118572,0.367740887,0.014651905,0.288928142,0,0,kept through final sensor-active row,,,
2026-04-14_07-25-50,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_07-25-50\open_floor_main.csv,2779,2779,2332,447,-0.004886922,2507,211,14,0.032713830,0.750142458,0.016091878,0.383605381,0,0,dropped final sensor-quiescent/invalid tail >= 0.25 s,2533,15757123,
2026-04-14_07-40-05,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_07-40-05\open_floor_main.csv,3859,3859,3523,336,-0.002443461,3704,133,3,0.016713852,0.262672039,0.006789143,0.259576302,0,0,dropped final sensor-quiescent/invalid tail >= 0.25 s,3724,16976597,
2026-04-14_07-51-39,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_07-51-39\open_floor_main.csv,2779,2779,2332,447,-0.004886922,2507,211,8,0.032713830,0.750142458,0.016091878,0.383605381,0,0,dropped final sensor-quiescent/invalid tail >= 0.25 s,2533,15757123,
2026-04-14_07-53-57,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_07-53-57\open_floor_main.csv,5418,5418,5418,0,-0.003665191,5073,192,5,0.035505919,0.394618941,0.020371670,0.315504337,0,0,kept through final sensor-active row,,,
2026-04-14_08-14-01,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_08-14-01\open_floor_main.csv,5692,5692,5235,457,-0.003665191,5501,155,5,0.029360664,0.651182371,0.026427565,0.401211653,0,0,dropped final sensor-quiescent/invalid tail >= 0.25 s,5436,18606772,
2026-04-14_08-34-57,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_08-34-57\open_floor_main.csv,3347,3347,2905,442,-0.003665191,3067,163,2,0.041104930,0.355523574,0.015536874,0.281409129,0,0,dropped final sensor-quiescent/invalid tail >= 0.25 s,3106,14294680,
2026-04-14_08-44-07,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_08-44-07\open_floor_main.csv,3808,3808,3808,0,-0.003665191,3405,384,15,0.046977060,1.372003299,0.024618361,0.617355752,0,0,kept through final sensor-active row,,,
2026-04-14_08-58-04,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_08-58-04\open_floor_main.csv,5163,5163,5163,0,-0.003665191,4786,332,23,0.020552464,0.540004867,0.018177385,0.332663174,0,0,kept through final sensor-active row,,,
2026-04-14_09-15-42,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-14_09-15-42\open_floor_main.csv,4477,4477,4195,282,-0.003665191,4194,263,10,0.035232796,0.744033831,0.018972760,0.391323396,0,0,dropped final sensor-quiescent/invalid tail >= 0.25 s,4396,19769415,
