name,value
mass_kg,0.14
track_width_m,0.084635
yaw_inertia_kg_m2,0.00022
yaw_denominator_including_wheel_spinup_kg_m2,0.000246510400642
wheel_radius_m,0.01261
drive_wheel_longitudinal_offset_m,0.01475
wheel_bank_inertia_kg_m2,1.177e-06
drive_voltage_v,8.4
drive_resistance_ohms,4.31
torque_constant_nm_per_a,0.00396
speed_constant_radps_per_volt,254.482080447
no_load_current_a,0.0459
gear_ratio,3.29411764706
rolling_friction_torque_nm,0.00372
static_launch_command,0.3
static_friction_max_speed_mps,0.005
front_load_fraction,0.5
longitudinal_tire_stiffness_n,4.12
front_right_contact_force_gain_n_per_mps,18
rear_right_contact_force_gain_n_per_mps,16
fan_downforce_full_duty_n,0.7
sustained_lateral_accel_mps2,18.7307015
