response_lag_samples,gain_ns_per_m,fit_old_rmse_radps,fit_new_rmse_radps,fit_relative_delta_pct,open_floor_new_rmse_radps,all_new_rmse_radps,in_place_new_rmse_radps,moving_new_rmse_radps,validation_new_rmse_radps,validation_relative_delta_pct,competition_new_rmse_radps,competition_relative_delta_pct
0,-14.308412077,0.150058239,0.141836903,-5.478764,0.153698276,0.190486330,0.310593333,0.247974363,0.070452230,2.616909,0.289185963,-20.044564
0,-13.808412077,0.150058239,0.139088200,-7.310521,0.150764492,0.188710466,0.310066253,0.244128155,0.070288663,2.378665,0.289442672,-19.973588
0,-13.308412077,0.150058239,0.136511324,-9.027772,0.147977994,0.187107249,0.309707403,0.240535069,0.070132091,2.150611,0.289886627,-19.850841
0,-12.830551129,0.150058239,0.134218250,-10.555894,0.145460322,0.185740490,0.309522207,0.237348231,0.069989032,1.942240,0.290485131,-19.685364
0,-12.808412077,0.150058239,0.134116180,-10.623915,0.145347252,0.185681151,0.309517370,0.237206609,0.069982561,1.932814,0.290516970,-19.676562
0,-12.330551129,0.150058239,0.132006045,-12.030125,0.142986479,0.184487513,0.309493808,0.234283230,0.069846275,1.734308,0.291292482,-19.462144
0,-12.308412077,0.150058239,0.131912668,-12.092353,0.142880869,0.184436279,0.309496462,0.234154059,0.069840119,1.725340,0.291332489,-19.451083
0,-11.830551129,0.150058239,0.129994797,-13.370437,0.140685263,0.183419300,0.309634575,0.231504586,0.069710648,1.536760,0.292283536,-19.188133
0,-11.808412077,0.150058239,0.129910539,-13.426587,0.140587496,0.183376326,0.309644716,0.231388340,0.069704808,1.528254,0.292331636,-19.174834
0,-11.710650389,0.150058239,0.129543428,-13.671233,0.140160047,0.183190977,0.309693458,0.230882001,0.069679188,1.490938,0.292548300,-19.114930
0,-11.330551129,0.150058239,0.128193964,-14.570526,0.138565276,0.182539095,0.309944277,0.229022722,0.069582191,1.349656,0.293456431,-18.863846
0,-11.308412077,0.150058239,0.128119234,-14.620327,0.138475730,0.182504512,0.309961888,0.228919847,0.069576669,1.341614,0.293512536,-18.848334
