response_lag_samples,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct
0,all_included,2994884,0.212190004,0.184015411,-0.028174593,-13.278002
0,competition_stress,631958,0.361683931,0.313626841,-0.048057090,-13.287040
0,fit_authoritative_open_floor,1182997,0.150058239,0.123026261,-0.027031978,-18.014325
0,fit_downweighted_open_floor,779760,0.174304915,0.158123824,-0.016181091,-9.283210
0,open_floor_only,2362926,0.148593814,0.128884803,-0.019709012,-13.263682
0,validation_only_open_floor,361987,0.068655577,0.068717158,0.000061582,0.089697
2,all_included,2975060,0.206533710,0.178810689,-0.027723021,-13.423000
2,competition_stress,622538,0.360934074,0.313252733,-0.047681341,-13.210540
2,fit_authoritative_open_floor,1176893,0.144705675,0.118536295,-0.026169380,-18.084557
2,fit_downweighted_open_floor,776989,0.157111646,0.140961397,-0.016150249,-10.279473
2,open_floor_only,2352522,0.139536353,0.120279694,-0.019256660,-13.800461
2,validation_only_open_floor,360484,0.068998992,0.070181036,0.001182045,1.713133
4,all_included,2956380,0.201616603,0.171236447,-0.030380156,-15.068281
4,competition_stress,614159,0.357835420,0.310297382,-0.047538039,-13.284889
4,fit_authoritative_open_floor,1170787,0.141863703,0.110393541,-0.031470162,-22.183378
4,fit_downweighted_open_floor,774212,0.144079209,0.121582330,-0.022496879,-15.614244
4,open_floor_only,2342221,0.133164220,0.108459774,-0.024704446,-18.551865
4,validation_only_open_floor,359085,0.066315731,0.066028754,-0.000286978,-0.432744
5,all_included,2947132,0.202176551,0.170615775,-0.031560776,-15.610503
5,competition_stress,610015,0.357099122,0.309483493,-0.047615629,-13.334009
5,fit_authoritative_open_floor,1167748,0.145087836,0.112598395,-0.032489441,-22.392946
5,fit_downweighted_open_floor,772826,0.144659400,0.117679325,-0.026980075,-18.650758
5,open_floor_only,2337117,0.135130102,0.108203575,-0.026926527,-19.926372
5,validation_only_open_floor,358410,0.069237960,0.068803285,-0.000434674,-0.627798
