response_lag_samples,family,motion_class,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct
0,all,in_place_yaw,motion:all:in_place_yaw,493183,0.358457371,0.321436391,-0.037020980,-10.327861
0,all,low_motion_commanded,motion:all:low_motion_commanded,701127,0.159410197,0.141119365,-0.018290832,-11.474066
0,all,mostly_forward,motion:all:mostly_forward,1195941,0.104577079,0.075087473,-0.029489607,-28.198920
0,all,moving_yaw,motion:all:moving_yaw,604633,0.259057883,0.221817865,-0.037240018,-14.375173
0,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,302259,0.205513948,0.194667172,-0.010846776,-5.277878
0,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,516906,0.124240335,0.112658370,-0.011581965,-9.322226
0,open_floor,mostly_forward,motion:open_floor:mostly_forward,1046658,0.099300462,0.070316487,-0.028983975,-29.188157
0,open_floor,moving_yaw,motion:open_floor:moving_yaw,497103,0.206063378,0.179749998,-0.026313380,-12.769557
2,all,in_place_yaw,motion:all:in_place_yaw,489373,0.347361639,0.311434555,-0.035927085,-10.342847
2,all,low_motion_commanded,motion:all:low_motion_commanded,696242,0.160527405,0.143685145,-0.016842260,-10.491829
2,all,mostly_forward,motion:all:mostly_forward,1189030,0.106389239,0.078959250,-0.027429990,-25.782673
2,all,moving_yaw,motion:all:moving_yaw,600415,0.246414101,0.207574041,-0.038840060,-15.762109
2,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,300727,0.184035414,0.176610275,-0.007425139,-4.034625
2,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,515237,0.122952591,0.113585798,-0.009366793,-7.618215
2,open_floor,mostly_forward,motion:open_floor:mostly_forward,1042144,0.100065878,0.073314861,-0.026751017,-26.733406
2,open_floor,moving_yaw,motion:open_floor:moving_yaw,494414,0.187571543,0.158401369,-0.029170174,-15.551492
4,all,in_place_yaw,motion:all:in_place_yaw,485795,0.340567526,0.302171029,-0.038396497,-11.274268
4,all,low_motion_commanded,motion:all:low_motion_commanded,692109,0.156833417,0.138146295,-0.018687122,-11.915268
4,all,mostly_forward,motion:all:mostly_forward,1182321,0.105782553,0.076685755,-0.029096798,-27.506235
4,all,moving_yaw,motion:all:moving_yaw,596155,0.237318122,0.192837199,-0.044480924,-18.743164
4,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,299060,0.167288741,0.152822307,-0.014466434,-8.647584
4,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,513981,0.120157869,0.107786446,-0.012371423,-10.295974
4,open_floor,mostly_forward,motion:open_floor:mostly_forward,1037606,0.099772850,0.070554280,-0.029218569,-29.285091
4,open_floor,moving_yaw,motion:open_floor:moving_yaw,491574,0.177081948,0.138517151,-0.038564797,-21.777938
5,all,in_place_yaw,motion:all:in_place_yaw,484025,0.340463823,0.300759449,-0.039704374,-11.661848
5,all,low_motion_commanded,motion:all:low_motion_commanded,690105,0.157882705,0.138551385,-0.019331320,-12.244102
5,all,mostly_forward,motion:all:mostly_forward,1178994,0.106566264,0.076305667,-0.030260597,-28.396038
5,all,moving_yaw,motion:all:moving_yaw,594008,0.238426598,0.191988208,-0.046438390,-19.477017
5,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,298230,0.169732189,0.150840458,-0.018891730,-11.130317
5,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,513403,0.122727373,0.109239640,-0.013487733,-10.989996
5,open_floor,mostly_forward,motion:open_floor:mostly_forward,1035356,0.100580277,0.069864043,-0.030716234,-30.539023
5,open_floor,moving_yaw,motion:open_floor:moving_yaw,490128,0.179984622,0.138466934,-0.041517689,-23.067353
