response_lag_samples,family,motion_class,dataset,gain_label,gain_ns_per_m,samples,old_rmse_radps,candidate_rmse_radps,delta_rmse_radps,relative_delta_pct
0,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,old_pre_correction,0.000000000,302259,0.205513948,0.205513948,0.000000000,0.000000
0,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,current_production,-6.496619190,302259,0.205513948,0.194667172,-0.010846776,-5.277878
0,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,delay_calibrated_retuned,-8.189143994,302259,0.205513948,0.197339770,-0.008174178,-3.977432
0,open_floor,moving_yaw,motion:open_floor:moving_yaw,old_pre_correction,0.000000000,497103,0.206063378,0.206063378,0.000000000,0.000000
0,open_floor,moving_yaw,motion:open_floor:moving_yaw,current_production,-6.496619190,497103,0.206063378,0.179749998,-0.026313380,-12.769557
0,open_floor,moving_yaw,motion:open_floor:moving_yaw,delay_calibrated_retuned,-8.189143994,497103,0.206063378,0.183777543,-0.022285835,-10.815039
0,open_floor,mostly_forward,motion:open_floor:mostly_forward,old_pre_correction,0.000000000,1046658,0.099300462,0.099300462,0.000000000,0.000000
0,open_floor,mostly_forward,motion:open_floor:mostly_forward,current_production,-6.496619190,1046658,0.099300462,0.070316487,-0.028983975,-29.188157
0,open_floor,mostly_forward,motion:open_floor:mostly_forward,delay_calibrated_retuned,-8.189143994,1046658,0.099300462,0.068664560,-0.030635901,-30.851721
0,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,old_pre_correction,0.000000000,516906,0.124240335,0.124240335,0.000000000,0.000000
0,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,current_production,-6.496619190,516906,0.124240335,0.112658370,-0.011581965,-9.322226
0,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,delay_calibrated_retuned,-8.189143994,516906,0.124240335,0.111019892,-0.013220442,-10.641023
0,all,in_place_yaw,motion:all:in_place_yaw,old_pre_correction,0.000000000,493183,0.358457371,0.358457371,0.000000000,0.000000
0,all,in_place_yaw,motion:all:in_place_yaw,current_production,-6.496619190,493183,0.358457371,0.321436391,-0.037020980,-10.327861
0,all,in_place_yaw,motion:all:in_place_yaw,delay_calibrated_retuned,-8.189143994,493183,0.358457371,0.315700991,-0.042756381,-11.927884
0,all,moving_yaw,motion:all:moving_yaw,old_pre_correction,0.000000000,604633,0.259057883,0.259057883,0.000000000,0.000000
0,all,moving_yaw,motion:all:moving_yaw,current_production,-6.496619190,604633,0.259057883,0.221817865,-0.037240018,-14.375173
0,all,moving_yaw,motion:all:moving_yaw,delay_calibrated_retuned,-8.189143994,604633,0.259057883,0.220752510,-0.038305373,-14.786415
0,all,mostly_forward,motion:all:mostly_forward,old_pre_correction,0.000000000,1195941,0.104577079,0.104577079,0.000000000,0.000000
0,all,mostly_forward,motion:all:mostly_forward,current_production,-6.496619190,1195941,0.104577079,0.075087473,-0.029489607,-28.198920
0,all,mostly_forward,motion:all:mostly_forward,delay_calibrated_retuned,-8.189143994,1195941,0.104577079,0.073114143,-0.031462936,-30.085881
0,all,low_motion_commanded,motion:all:low_motion_commanded,old_pre_correction,0.000000000,701127,0.159410197,0.159410197,0.000000000,0.000000
0,all,low_motion_commanded,motion:all:low_motion_commanded,current_production,-6.496619190,701127,0.159410197,0.141119365,-0.018290832,-11.474066
0,all,low_motion_commanded,motion:all:low_motion_commanded,delay_calibrated_retuned,-8.189143994,701127,0.159410197,0.139145468,-0.020264728,-12.712316
2,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,old_pre_correction,0.000000000,300727,0.184035414,0.184035414,0.000000000,0.000000
2,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,current_production,-6.496619190,300727,0.184035414,0.176610275,-0.007425139,-4.034625
2,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,delay_calibrated_retuned,-8.189143994,300727,0.184035414,0.180762419,-0.003272995,-1.778459
2,open_floor,moving_yaw,motion:open_floor:moving_yaw,old_pre_correction,0.000000000,494414,0.187571543,0.187571543,0.000000000,0.000000
2,open_floor,moving_yaw,motion:open_floor:moving_yaw,current_production,-6.496619190,494414,0.187571543,0.158401369,-0.029170174,-15.551492
2,open_floor,moving_yaw,motion:open_floor:moving_yaw,delay_calibrated_retuned,-8.189143994,494414,0.187571543,0.163001590,-0.024569953,-13.098977
2,open_floor,mostly_forward,motion:open_floor:mostly_forward,old_pre_correction,0.000000000,1042144,0.100065878,0.100065878,0.000000000,0.000000
2,open_floor,mostly_forward,motion:open_floor:mostly_forward,current_production,-6.496619190,1042144,0.100065878,0.073314861,-0.026751017,-26.733406
2,open_floor,mostly_forward,motion:open_floor:mostly_forward,delay_calibrated_retuned,-8.189143994,1042144,0.100065878,0.072219357,-0.027846521,-27.828188
2,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,old_pre_correction,0.000000000,515237,0.122952591,0.122952591,0.000000000,0.000000
2,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,current_production,-6.496619190,515237,0.122952591,0.113585798,-0.009366793,-7.618215
2,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,delay_calibrated_retuned,-8.189143994,515237,0.122952591,0.112575084,-0.010377507,-8.440251
2,all,in_place_yaw,motion:all:in_place_yaw,old_pre_correction,0.000000000,489373,0.347361639,0.347361639,0.000000000,0.000000
2,all,in_place_yaw,motion:all:in_place_yaw,current_production,-6.496619190,489373,0.347361639,0.311434555,-0.035927085,-10.342847
2,all,in_place_yaw,motion:all:in_place_yaw,delay_calibrated_retuned,-8.189143994,489373,0.347361639,0.306109712,-0.041251927,-11.875787
2,all,moving_yaw,motion:all:moving_yaw,old_pre_correction,0.000000000,600415,0.246414101,0.246414101,0.000000000,0.000000
2,all,moving_yaw,motion:all:moving_yaw,current_production,-6.496619190,600415,0.246414101,0.207574041,-0.038840060,-15.762109
2,all,moving_yaw,motion:all:moving_yaw,delay_calibrated_retuned,-8.189143994,600415,0.246414101,0.206598108,-0.039815993,-16.158163
2,all,mostly_forward,motion:all:mostly_forward,old_pre_correction,0.000000000,1189030,0.106389239,0.106389239,0.000000000,0.000000
2,all,mostly_forward,motion:all:mostly_forward,current_production,-6.496619190,1189030,0.106389239,0.078959250,-0.027429990,-25.782673
2,all,mostly_forward,motion:all:mostly_forward,delay_calibrated_retuned,-8.189143994,1189030,0.106389239,0.077424437,-0.028964802,-27.225312
2,all,low_motion_commanded,motion:all:low_motion_commanded,old_pre_correction,0.000000000,696242,0.160527405,0.160527405,0.000000000,0.000000
2,all,low_motion_commanded,motion:all:low_motion_commanded,current_production,-6.496619190,696242,0.160527405,0.143685145,-0.016842260,-10.491829
2,all,low_motion_commanded,motion:all:low_motion_commanded,delay_calibrated_retuned,-8.189143994,696242,0.160527405,0.142085034,-0.018442372,-11.488613
4,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,old_pre_correction,0.000000000,299060,0.167288741,0.167288741,0.000000000,0.000000
4,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,current_production,-6.496619190,299060,0.167288741,0.152822307,-0.014466434,-8.647584
4,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,delay_calibrated_retuned,-8.189143994,299060,0.167288741,0.155994998,-0.011293743,-6.751048
4,open_floor,moving_yaw,motion:open_floor:moving_yaw,old_pre_correction,0.000000000,491574,0.177081948,0.177081948,0.000000000,0.000000
4,open_floor,moving_yaw,motion:open_floor:moving_yaw,current_production,-6.496619190,491574,0.177081948,0.138517151,-0.038564797,-21.777938
4,open_floor,moving_yaw,motion:open_floor:moving_yaw,delay_calibrated_retuned,-8.189143994,491574,0.177081948,0.141863626,-0.035218323,-19.888149
4,open_floor,mostly_forward,motion:open_floor:mostly_forward,old_pre_correction,0.000000000,1037606,0.099772850,0.099772850,0.000000000,0.000000
4,open_floor,mostly_forward,motion:open_floor:mostly_forward,current_production,-6.496619190,1037606,0.099772850,0.070554280,-0.029218569,-29.285091
4,open_floor,mostly_forward,motion:open_floor:mostly_forward,delay_calibrated_retuned,-8.189143994,1037606,0.099772850,0.068765411,-0.031007439,-31.078033
4,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,old_pre_correction,0.000000000,513981,0.120157869,0.120157869,0.000000000,0.000000
4,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,current_production,-6.496619190,513981,0.120157869,0.107786446,-0.012371423,-10.295974
4,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,delay_calibrated_retuned,-8.189143994,513981,0.120157869,0.105982857,-0.014175012,-11.796990
