response_lag_samples,launch_set,gain_label,gain_ns_per_m,samples,old_rmse_radps,candidate_rmse_radps,delta_rmse_radps,relative_delta_pct
0,yaw_launch_intermediate_0p60,old_pre_correction,0.000000000,7000,0.203633159,0.203633159,0.000000000,0.000000
0,yaw_launch_intermediate_0p60,current_production,-6.496619190,7000,0.203633159,0.209384716,0.005751557,2.824470
0,yaw_launch_intermediate_0p60,delay_calibrated_retuned,-8.189143994,7000,0.203633159,0.210976103,0.007342944,3.605967
0,yaw_launch_other,old_pre_correction,0.000000000,8286,0.106988444,0.106988444,0.000000000,0.000000
0,yaw_launch_other,current_production,-6.496619190,8286,0.106988444,0.099850373,-0.007138071,-6.671815
0,yaw_launch_other,delay_calibrated_retuned,-8.189143994,8286,0.106988444,0.098330613,-0.008657831,-8.092305
0,yaw_launch_sustained_0p65_0p70,old_pre_correction,0.000000000,14000,0.142479671,0.142479671,0.000000000,0.000000
0,yaw_launch_sustained_0p65_0p70,current_production,-6.496619190,14000,0.142479671,0.150965709,0.008486038,5.955964
0,yaw_launch_sustained_0p65_0p70,delay_calibrated_retuned,-8.189143994,14000,0.142479671,0.153558236,0.011078565,7.775541
0,yaw_launch_twitch_only_0p50_0p55,old_pre_correction,0.000000000,14000,0.111658517,0.111658517,0.000000000,0.000000
0,yaw_launch_twitch_only_0p50_0p55,current_production,-6.496619190,14000,0.111658517,0.112463220,0.000804703,0.720682
0,yaw_launch_twitch_only_0p50_0p55,delay_calibrated_retuned,-8.189143994,14000,0.111658517,0.112758514,0.001099998,0.985144
2,yaw_launch_intermediate_0p60,old_pre_correction,0.000000000,7000,0.202256963,0.202256963,0.000000000,0.000000
2,yaw_launch_intermediate_0p60,current_production,-6.496619190,7000,0.202256963,0.208597797,0.006340834,3.135039
2,yaw_launch_intermediate_0p60,delay_calibrated_retuned,-8.189143994,7000,0.202256963,0.210337422,0.008080460,3.995145
2,yaw_launch_other,old_pre_correction,0.000000000,8286,0.099337161,0.099337161,0.000000000,0.000000
2,yaw_launch_other,current_production,-6.496619190,8286,0.099337161,0.093197941,-0.006139221,-6.180185
2,yaw_launch_other,delay_calibrated_retuned,-8.189143994,8286,0.099337161,0.091985709,-0.007351452,-7.400505
2,yaw_launch_sustained_0p65_0p70,old_pre_correction,0.000000000,14000,0.138696533,0.138696533,0.000000000,0.000000
2,yaw_launch_sustained_0p65_0p70,current_production,-6.496619190,14000,0.138696533,0.149094727,0.010398194,7.497083
2,yaw_launch_sustained_0p65_0p70,delay_calibrated_retuned,-8.189143994,14000,0.138696533,0.152149896,0.013453363,9.699855
2,yaw_launch_twitch_only_0p50_0p55,old_pre_correction,0.000000000,14000,0.110274233,0.110274233,0.000000000,0.000000
2,yaw_launch_twitch_only_0p50_0p55,current_production,-6.496619190,14000,0.110274233,0.111901946,0.001627714,1.476060
2,yaw_launch_twitch_only_0p50_0p55,delay_calibrated_retuned,-8.189143994,14000,0.110274233,0.112408995,0.002134762,1.935866
4,yaw_launch_intermediate_0p60,old_pre_correction,0.000000000,7000,0.202352971,0.202352971,0.000000000,0.000000
4,yaw_launch_intermediate_0p60,current_production,-6.496619190,7000,0.202352971,0.208920918,0.006567947,3.245787
4,yaw_launch_intermediate_0p60,delay_calibrated_retuned,-8.189143994,7000,0.202352971,0.210717268,0.008364297,4.133518
4,yaw_launch_other,old_pre_correction,0.000000000,8286,0.096440146,0.096440146,0.000000000,0.000000
4,yaw_launch_other,current_production,-6.496619190,8286,0.096440146,0.090455669,-0.005984477,-6.205379
4,yaw_launch_other,delay_calibrated_retuned,-8.189143994,8286,0.096440146,0.089298918,-0.007141228,-7.404829
4,yaw_launch_sustained_0p65_0p70,old_pre_correction,0.000000000,14000,0.139019072,0.139019072,0.000000000,0.000000
