response_lag_samples,dataset,gain_label,gain_ns_per_m,samples,old_rmse_radps,candidate_rmse_radps,delta_rmse_radps,relative_delta_pct
0,fit_authoritative_open_floor,old_pre_correction,0.000000000,1182997,0.150058239,0.150058239,0.000000000,0.000000
0,fit_authoritative_open_floor,current_production,-6.496619190,1182997,0.150058239,0.123026261,-0.027031978,-18.014325
0,fit_authoritative_open_floor,delay_calibrated_retuned,-0.500000000,1182997,0.150058239,0.146893084,-0.003165155,-2.109285
0,fit_downweighted_open_floor,old_pre_correction,0.000000000,779760,0.174304915,0.174304915,0.000000000,0.000000
0,fit_downweighted_open_floor,current_production,-6.496619190,779760,0.174304915,0.158123824,-0.016181091,-9.283210
0,fit_downweighted_open_floor,delay_calibrated_retuned,-0.500000000,779760,0.174304915,0.171555424,-0.002749491,-1.577403
0,validation_only_open_floor,old_pre_correction,0.000000000,361987,0.068655577,0.068655577,0.000000000,0.000000
0,validation_only_open_floor,current_production,-6.496619190,361987,0.068655577,0.068717158,0.000061582,0.089697
0,validation_only_open_floor,delay_calibrated_retuned,-0.500000000,361987,0.068655577,0.068615121,-0.000040456,-0.058926
0,open_floor_only,old_pre_correction,0.000000000,2362926,0.148593814,0.148593814,0.000000000,0.000000
0,open_floor_only,current_production,-6.496619190,2362926,0.148593814,0.128884803,-0.019709012,-13.263682
0,open_floor_only,delay_calibrated_retuned,-0.500000000,2362926,0.148593814,0.145927157,-0.002666657,-1.794595
0,competition_stress,old_pre_correction,0.000000000,631958,0.361683931,0.361683931,0.000000000,0.000000
0,competition_stress,current_production,-6.496619190,631958,0.361683931,0.313626841,-0.048057090,-13.287040
0,competition_stress,delay_calibrated_retuned,-0.500000000,631958,0.361683931,0.357303754,-0.004380176,-1.211051
0,all_included,old_pre_correction,0.000000000,2994884,0.212190004,0.212190004,0.000000000,0.000000
0,all_included,current_production,-6.496619190,2994884,0.212190004,0.184015411,-0.028174593,-13.278002
0,all_included,delay_calibrated_retuned,-0.500000000,2994884,0.212190004,0.209142051,-0.003047953,-1.436426
2,fit_authoritative_open_floor,old_pre_correction,0.000000000,1176893,0.144705675,0.144705675,0.000000000,0.000000
2,fit_authoritative_open_floor,current_production,-6.496619190,1176893,0.144705675,0.118536295,-0.026169380,-18.084557
2,fit_authoritative_open_floor,delay_calibrated_retuned,-0.500000000,1176893,0.144705675,0.141557111,-0.003148564,-2.175840
2,fit_downweighted_open_floor,old_pre_correction,0.000000000,776989,0.157111646,0.157111646,0.000000000,0.000000
2,fit_downweighted_open_floor,current_production,-6.496619190,776989,0.157111646,0.140961397,-0.016150249,-10.279473
2,fit_downweighted_open_floor,delay_calibrated_retuned,-0.500000000,776989,0.157111646,0.154197450,-0.002914196,-1.854856
2,validation_only_open_floor,old_pre_correction,0.000000000,360484,0.068998992,0.068998992,0.000000000,0.000000
2,validation_only_open_floor,current_production,-6.496619190,360484,0.068998992,0.070181036,0.001182045,1.713133
2,validation_only_open_floor,delay_calibrated_retuned,-0.500000000,360484,0.068998992,0.069045719,0.000046728,0.067722
2,open_floor_only,old_pre_correction,0.000000000,2352522,0.139536353,0.139536353,0.000000000,0.000000
2,open_floor_only,current_production,-6.496619190,2352522,0.139536353,0.120279694,-0.019256660,-13.800461
2,open_floor_only,delay_calibrated_retuned,-0.500000000,2352522,0.139536353,0.136825520,-0.002710833,-1.942743
2,competition_stress,old_pre_correction,0.000000000,622538,0.360934074,0.360934074,0.000000000,0.000000
2,competition_stress,current_production,-6.496619190,622538,0.360934074,0.313252733,-0.047681341,-13.210540
2,competition_stress,delay_calibrated_retuned,-0.500000000,622538,0.360934074,0.356582937,-0.004351136,-1.205521
2,all_included,old_pre_correction,0.000000000,2975060,0.206533710,0.206533710,0.000000000,0.000000
2,all_included,current_production,-6.496619190,2975060,0.206533710,0.178810689,-0.027723021,-13.423000
2,all_included,delay_calibrated_retuned,-0.500000000,2975060,0.206533710,0.203495650,-0.003038060,-1.470975
4,fit_authoritative_open_floor,old_pre_correction,0.000000000,1170787,0.141863703,0.141863703,0.000000000,0.000000
4,fit_authoritative_open_floor,current_production,-6.496619190,1170787,0.141863703,0.110393541,-0.031470162,-22.183378
4,fit_authoritative_open_floor,delay_calibrated_retuned,-0.500000000,1170787,0.141863703,0.138360274,-0.003503429,-2.469574
4,fit_downweighted_open_floor,old_pre_correction,0.000000000,774212,0.144079209,0.144079209,0.000000000,0.000000
4,fit_downweighted_open_floor,current_production,-6.496619190,774212,0.144079209,0.121582330,-0.022496879,-15.614244
4,fit_downweighted_open_floor,delay_calibrated_retuned,-0.500000000,774212,0.144079209,0.140578271,-0.003500938,-2.429870
4,validation_only_open_floor,old_pre_correction,0.000000000,359085,0.066315731,0.066315731,0.000000000,0.000000
4,validation_only_open_floor,current_production,-6.496619190,359085,0.066315731,0.066028754,-0.000286978,-0.432744
4,validation_only_open_floor,delay_calibrated_retuned,-0.500000000,359085,0.066315731,0.066246805,-0.000068926,-0.103936
4,open_floor_only,old_pre_correction,0.000000000,2342221,0.133164220,0.133164220,0.000000000,0.000000
4,open_floor_only,current_production,-6.496619190,2342221,0.133164220,0.108459774,-0.024704446,-18.551865
4,open_floor_only,delay_calibrated_retuned,-0.500000000,2342221,0.133164220,0.130036223,-0.003127997,-2.348977
4,competition_stress,old_pre_correction,0.000000000,614159,0.357835420,0.357835420,0.000000000,0.000000
4,competition_stress,current_production,-6.496619190,614159,0.357835420,0.310297382,-0.047538039,-13.284889
4,competition_stress,delay_calibrated_retuned,-0.500000000,614159,0.357835420,0.353492722,-0.004342698,-1.213602
4,all_included,old_pre_correction,0.000000000,2956380,0.201616603,0.201616603,0.000000000,0.000000
4,all_included,current_production,-6.496619190,2956380,0.201616603,0.171236447,-0.030380156,-15.068281
4,all_included,delay_calibrated_retuned,-0.500000000,2956380,0.201616603,0.198381622,-0.003234980,-1.604521
5,fit_authoritative_open_floor,old_pre_correction,0.000000000,1167748,0.145087836,0.145087836,0.000000000,0.000000
5,fit_authoritative_open_floor,current_production,-6.496619190,1167748,0.145087836,0.112598395,-0.032489441,-22.392946
5,fit_authoritative_open_floor,delay_calibrated_retuned,-0.500000000,1167748,0.145087836,0.141547059,-0.003540777,-2.440437
5,fit_downweighted_open_floor,old_pre_correction,0.000000000,772826,0.144659400,0.144659400,0.000000000,0.000000
5,fit_downweighted_open_floor,current_production,-6.496619190,772826,0.144659400,0.117679325,-0.026980075,-18.650758
5,fit_downweighted_open_floor,delay_calibrated_retuned,-0.500000000,772826,0.144659400,0.140872477,-0.003786923,-2.617821
5,validation_only_open_floor,old_pre_correction,0.000000000,358410,0.069237960,0.069237960,0.000000000,0.000000
5,validation_only_open_floor,current_production,-6.496619190,358410,0.069237960,0.068803285,-0.000434674,-0.627798
5,validation_only_open_floor,delay_calibrated_retuned,-0.500000000,358410,0.069237960,0.069159687,-0.000078273,-0.113049
5,open_floor_only,old_pre_correction,0.000000000,2337117,0.135130102,0.135130102,0.000000000,0.000000
5,open_floor_only,current_production,-6.496619190,2337117,0.135130102,0.108203575,-0.026926527,-19.926372
5,open_floor_only,delay_calibrated_retuned,-0.500000000,2337117,0.135130102,0.131879152,-0.003250950,-2.405793
5,competition_stress,old_pre_correction,0.000000000,610015,0.357099122,0.357099122,0.000000000,0.000000
5,competition_stress,current_production,-6.496619190,610015,0.357099122,0.309483493,-0.047615629,-13.334009
5,competition_stress,delay_calibrated_retuned,-0.500000000,610015,0.357099122,0.352752119,-0.004347002,-1.217310
5,all_included,old_pre_correction,0.000000000,2947132,0.202176551,0.202176551,0.000000000,0.000000
5,all_included,current_production,-6.496619190,2947132,0.202176551,0.170615775,-0.031560776,-15.610503
