response_lag_samples,launch_set,gain_label,gain_ns_per_m,samples,old_rmse_radps,candidate_rmse_radps,delta_rmse_radps,relative_delta_pct
0,yaw_launch_intermediate_0p60,old_pre_correction,0.000000000,7000,0.203633159,0.203633159,0.000000000,0.000000
0,yaw_launch_intermediate_0p60,current_production,-6.496619190,7000,0.203633159,0.209384716,0.005751557,2.824470
0,yaw_launch_intermediate_0p60,delay_calibrated_retuned,-0.500000000,7000,0.203633159,0.204055029,0.000421870,0.207172
0,yaw_launch_other,old_pre_correction,0.000000000,8286,0.106988444,0.106988444,0.000000000,0.000000
0,yaw_launch_other,current_production,-6.496619190,8286,0.106988444,0.099850373,-0.007138071,-6.671815
0,yaw_launch_other,delay_calibrated_retuned,-0.500000000,8286,0.106988444,0.106371249,-0.000617195,-0.576880
0,yaw_launch_sustained_0p65_0p70,old_pre_correction,0.000000000,14000,0.142479671,0.142479671,0.000000000,0.000000
0,yaw_launch_sustained_0p65_0p70,current_production,-6.496619190,14000,0.142479671,0.150965709,0.008486038,5.955964
0,yaw_launch_sustained_0p65_0p70,delay_calibrated_retuned,-0.500000000,14000,0.142479671,0.143044278,0.000564607,0.396272
0,yaw_launch_twitch_only_0p50_0p55,old_pre_correction,0.000000000,14000,0.111658517,0.111658517,0.000000000,0.000000
0,yaw_launch_twitch_only_0p50_0p55,current_production,-6.496619190,14000,0.111658517,0.112463220,0.000804703,0.720682
0,yaw_launch_twitch_only_0p50_0p55,delay_calibrated_retuned,-0.500000000,14000,0.111658517,0.111701754,0.000043238,0.038723
2,yaw_launch_intermediate_0p60,old_pre_correction,0.000000000,7000,0.202256963,0.202256963,0.000000000,0.000000
2,yaw_launch_intermediate_0p60,current_production,-6.496619190,7000,0.202256963,0.208597797,0.006340834,3.135039
2,yaw_launch_intermediate_0p60,delay_calibrated_retuned,-0.500000000,7000,0.202256963,0.202725297,0.000468335,0.231554
2,yaw_launch_other,old_pre_correction,0.000000000,8286,0.099337161,0.099337161,0.000000000,0.000000
2,yaw_launch_other,current_production,-6.496619190,8286,0.099337161,0.093197941,-0.006139221,-6.180185
2,yaw_launch_other,delay_calibrated_retuned,-0.500000000,8286,0.099337161,0.098786873,-0.000550289,-0.553961
2,yaw_launch_sustained_0p65_0p70,old_pre_correction,0.000000000,14000,0.138696533,0.138696533,0.000000000,0.000000
2,yaw_launch_sustained_0p65_0p70,current_production,-6.496619190,14000,0.138696533,0.149094727,0.010398194,7.497083
2,yaw_launch_sustained_0p65_0p70,delay_calibrated_retuned,-0.500000000,14000,0.138696533,0.139415198,0.000718665,0.518156
2,yaw_launch_twitch_only_0p50_0p55,old_pre_correction,0.000000000,14000,0.110274233,0.110274233,0.000000000,0.000000
2,yaw_launch_twitch_only_0p50_0p55,current_production,-6.496619190,14000,0.110274233,0.111901946,0.001627714,1.476060
2,yaw_launch_twitch_only_0p50_0p55,delay_calibrated_retuned,-0.500000000,14000,0.110274233,0.110381232,0.000107000,0.097031
4,yaw_launch_intermediate_0p60,old_pre_correction,0.000000000,7000,0.202352971,0.202352971,0.000000000,0.000000
4,yaw_launch_intermediate_0p60,current_production,-6.496619190,7000,0.202352971,0.208920918,0.006567947,3.245787
4,yaw_launch_intermediate_0p60,delay_calibrated_retuned,-0.500000000,7000,0.202352971,0.202839310,0.000486338,0.240342
4,yaw_launch_other,old_pre_correction,0.000000000,8286,0.096440146,0.096440146,0.000000000,0.000000
4,yaw_launch_other,current_production,-6.496619190,8286,0.096440146,0.090455669,-0.005984477,-6.205379
4,yaw_launch_other,delay_calibrated_retuned,-0.500000000,8286,0.096440146,0.095898731,-0.000541415,-0.561400
4,yaw_launch_sustained_0p65_0p70,old_pre_correction,0.000000000,14000,0.139019072,0.139019072,0.000000000,0.000000
