response_lag_samples,gain_ns_per_m,fit_old_rmse_radps,fit_new_rmse_radps,fit_relative_delta_pct,open_floor_new_rmse_radps,all_new_rmse_radps,in_place_new_rmse_radps,moving_new_rmse_radps,validation_new_rmse_radps,validation_relative_delta_pct,competition_new_rmse_radps,competition_relative_delta_pct
0,-14.683234131,0.150058239,0.140418468,-6.424020,0.153763163,0.191988293,0.316429907,0.250294273,0.070677534,2.945074,0.293728335,-18.788669
0,-14.183234131,0.150058239,0.138097611,-7.970657,0.151223664,0.190513763,0.315950747,0.246924338,0.070504579,2.693157,0.294107817,-18.683748
0,-13.683234131,0.150058239,0.135929584,-9.415448,0.148811754,0.189184706,0.315612620,0.243772210,0.070338629,2.451442,0.294641623,-18.536159
0,-13.253241002,0.150058239,0.134193002,-10.572719,0.146844389,0.188160441,0.315434982,0.241242146,0.070201554,2.251787,0.295223483,-18.375283
0,-13.183234131,0.150058239,0.133921809,-10.753445,0.146533732,0.188004206,0.315415979,0.240846441,0.070179733,2.220004,0.295328917,-18.346133
0,-12.753241002,0.150058239,0.132328893,-11.814977,0.144686578,0.187109960,0.315360235,0.238517726,0.070048764,2.029241,0.296041929,-18.148996
0,-12.683234131,0.150058239,0.132081594,-11.979779,0.144395936,0.186975078,0.315361089,0.238155373,0.070027940,1.998911,0.296168631,-18.113965
0,-12.253241002,0.150058239,0.130638461,-12.941494,0.142674427,0.186213029,0.315427315,0.236034942,0.069903116,1.817099,0.297011697,-17.880870
0,-12.183234131,0.150058239,0.130416032,-13.089723,0.142404681,0.186099832,0.315448023,0.235707047,0.069883296,1.788230,0.297159473,-17.840012
0,-11.818330704,0.150058239,0.129314640,-13.823699,0.141047530,0.185559469,0.315600930,0.234077866,0.069782273,1.641085,0.297977132,-17.613942
0,-11.753241002,0.150058239,0.129128528,-13.947726,0.140814182,0.185471876,0.315636130,0.233801493,0.069764656,1.615426,0.298131309,-17.571315
0,-11.683234131,0.150058239,0.128931892,-14.078765,0.140566194,0.185380648,0.315676665,0.233509096,0.069745846,1.588028,0.298299936,-17.524692
0,-11.318330704,0.150058239,0.127966928,-14.721825,0.139324377,0.184955351,0.315932807,0.232067175,0.069650099,1.448568,0.299225723,-17.268726
0,-11.253241002,0.150058239,0.127805490,-14.829409,0.139111935,0.184888374,0.315986399,0.231824586,0.069633427,1.424284,0.299399085,-17.220794
0,-11.183234131,0.150058239,0.127635503,-14.942689,0.138886544,0.184819347,0.316046706,0.231568651,0.069615632,1.398365,0.299588312,-17.168476
0,-10.818330704,0.150058239,0.126811240,-15.491985,0.137764340,0.184510208,0.316405741,0.230318814,0.069525192,1.266635,0.300620858,-16.882993
0,-10.753241002,0.150058239,0.126675203,-15.582640,0.137573552,0.184464019,0.316477653,0.230110833,0.069509468,1.243732,0.300813152,-16.829827
