response_lag_samples,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct
0,all_included,2994884,0.212190004,0.187341308,-0.024848696,-11.710587
0,competition_stress,631958,0.361683931,0.318445252,-0.043238679,-11.954824
0,fit_authoritative_open_floor,1182997,0.150058239,0.125362034,-0.024696205,-16.457747
0,fit_downweighted_open_floor,779760,0.174304915,0.162468566,-0.011836349,-6.790600
0,open_floor_only,2362926,0.148593814,0.131765612,-0.016828203,-11.324968
0,validation_only_open_floor,361987,0.068655577,0.068753590,0.000098014,0.142762
1,all_included,2984558,0.209417378,0.185147830,-0.024269548,-11.589080
1,competition_stress,626862,0.361421120,0.318286104,-0.043135016,-11.934835
1,fit_authoritative_open_floor,1179943,0.147584238,0.124279261,-0.023304977,-15.790966
1,fit_downweighted_open_floor,778375,0.165086008,0.153767362,-0.011318645,-6.856211
1,open_floor_only,2357696,0.144171501,0.128291943,-0.015879558,-11.014353
1,validation_only_open_floor,361208,0.069406753,0.070531522,0.001124769,1.620547
2,all_included,2975060,0.206533710,0.182123453,-0.024410258,-11.819019
2,competition_stress,622538,0.360934074,0.318031333,-0.042902741,-11.886587
2,fit_authoritative_open_floor,1176893,0.144705675,0.120903153,-0.023802522,-16.448921
2,fit_downweighted_open_floor,776989,0.157111646,0.145496198,-0.011615448,-7.393117
2,open_floor_only,2352522,0.139536353,0.123211282,-0.016325072,-11.699511
2,validation_only_open_floor,360484,0.068998992,0.070239658,0.001240667,1.798094
