response_lag_samples,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct
0,all_included,2994884,0.212190004,0.184015411,-0.028174593,-13.278002
0,competition_stress,631958,0.361683931,0.313626841,-0.048057090,-13.287040
0,fit_authoritative_open_floor,1182997,0.150058239,0.123026261,-0.027031978,-18.014325
0,fit_downweighted_open_floor,779760,0.174304915,0.158123824,-0.016181091,-9.283210
0,open_floor_only,2362926,0.148593814,0.128884803,-0.019709012,-13.263682
0,validation_only_open_floor,361987,0.068655577,0.068717158,0.000061582,0.089697
1,all_included,2984558,0.209417378,0.181849272,-0.027568106,-13.164192
1,competition_stress,626862,0.361421120,0.313476258,-0.047944862,-13.265650
1,fit_authoritative_open_floor,1179943,0.147584238,0.121960874,-0.025623364,-17.361857
1,fit_downweighted_open_floor,778375,0.165086008,0.149395692,-0.015690316,-9.504328
1,open_floor_only,2357696,0.144171501,0.125436517,-0.018734984,-12.994929
1,validation_only_open_floor,361208,0.069406753,0.070473626,0.001066872,1.537131
2,all_included,2975060,0.206533710,0.178810689,-0.027723021,-13.423000
2,competition_stress,622538,0.360934074,0.313252733,-0.047681341,-13.210540
2,fit_authoritative_open_floor,1176893,0.144705675,0.118536295,-0.026169380,-18.084557
2,fit_downweighted_open_floor,776989,0.157111646,0.140961397,-0.016150249,-10.279473
2,open_floor_only,2352522,0.139536353,0.120279694,-0.019256660,-13.800461
2,validation_only_open_floor,360484,0.068998992,0.070181036,0.001182045,1.713133
