response_lag_samples,family,motion_class,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct
0,all,in_place_yaw,motion:all:in_place_yaw,493183,0.358457371,0.321436391,-0.037020980,-10.327861
0,all,low_motion_commanded,motion:all:low_motion_commanded,701127,0.159410197,0.141119365,-0.018290832,-11.474066
0,all,mostly_forward,motion:all:mostly_forward,1195941,0.104577079,0.075087473,-0.029489607,-28.198920
0,all,moving_yaw,motion:all:moving_yaw,604633,0.259057883,0.221817865,-0.037240018,-14.375173
0,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,302259,0.205513948,0.194667172,-0.010846776,-5.277878
0,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,516906,0.124240335,0.112658370,-0.011581965,-9.322226
0,open_floor,mostly_forward,motion:open_floor:mostly_forward,1046658,0.099300462,0.070316487,-0.028983975,-29.188157
0,open_floor,moving_yaw,motion:open_floor:moving_yaw,497103,0.206063378,0.179749998,-0.026313380,-12.769557
1,all,in_place_yaw,motion:all:in_place_yaw,491207,0.352571099,0.316472471,-0.036098627,-10.238680
1,all,low_motion_commanded,motion:all:low_motion_commanded,698448,0.161919784,0.144776812,-0.017142972,-10.587324
1,all,mostly_forward,motion:all:mostly_forward,1192399,0.105173304,0.076814400,-0.028358903,-26.963975
1,all,moving_yaw,motion:all:moving_yaw,602504,0.252219117,0.214899351,-0.037319766,-14.796565
1,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,301552,0.195466791,0.187310165,-0.008156626,-4.172896
1,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,515957,0.125419288,0.115566922,-0.009852367,-7.855544
1,open_floor,mostly_forward,motion:open_floor:mostly_forward,1044406,0.099284826,0.071699868,-0.027584957,-27.783659
1,open_floor,moving_yaw,motion:open_floor:moving_yaw,495781,0.196139367,0.169575659,-0.026563708,-13.543282
2,all,in_place_yaw,motion:all:in_place_yaw,489373,0.347361639,0.311434555,-0.035927085,-10.342847
2,all,low_motion_commanded,motion:all:low_motion_commanded,696242,0.160527405,0.143685145,-0.016842260,-10.491829
2,all,mostly_forward,motion:all:mostly_forward,1189030,0.106389239,0.078959250,-0.027429990,-25.782673
2,all,moving_yaw,motion:all:moving_yaw,600415,0.246414101,0.207574041,-0.038840060,-15.762109
2,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,300727,0.184035414,0.176610275,-0.007425139,-4.034625
2,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,515237,0.122952591,0.113585798,-0.009366793,-7.618215
2,open_floor,mostly_forward,motion:open_floor:mostly_forward,1042144,0.100065878,0.073314861,-0.026751017,-26.733406
2,open_floor,moving_yaw,motion:open_floor:moving_yaw,494414,0.187571543,0.158401369,-0.029170174,-15.551492
