run_id,family,recommendation,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps
2026-04-10_18-08-20,open_floor,fit_authoritative,4857,0.140495872,0.133622514,-0.006873358
2026-04-10_18-33-52,open_floor,validation_only,110947,0.096614485,0.096673725,0.000059240
2026-04-11_06-58-25,open_floor,validation_only,47380,0.041232554,0.041217542,-0.000015012
2026-04-11_21-03-20,open_floor,validation_only,51298,0.037300776,0.038736105,0.001435330
2026-04-12_05-13-55,open_floor,validation_only,30819,0.033715100,0.034026960,0.000311860
2026-04-12_06-36-32,open_floor,validation_only,30496,0.031067678,0.031020875,-0.000046803
2026-04-12_06-44-12,open_floor,validation_only,30496,0.031067678,0.031020875,-0.000046803
2026-04-12_20-14-49,open_floor,fit_authoritative,84280,0.148181054,0.155699093,0.007518039
2026-04-12_22-27-00,open_floor,fit_authoritative,90374,0.150167695,0.152549575,0.002381881
2026-04-13_16-42-46,open_floor,fit_authoritative,101048,0.149465808,0.127741586,-0.021724223
2026-04-14_02-00-02,open_floor,fit_downweighted,77516,0.098612910,0.080657774,-0.017955137
2026-04-14_04-43-48,open_floor,fit_authoritative,82879,0.149519603,0.101711073,-0.047808530
2026-04-14_05-26-35,open_floor,fit_authoritative,75029,0.104133667,0.089422417,-0.014711250
2026-04-14_05-40-35,open_floor,exclude,208,0.053098636,0.051792931,-0.001305706
2026-04-14_06-21-48,open_floor,exclude,148,0.071321778,0.068800629,-0.002521149
2026-04-14_06-37-59,open_floor,exclude,179,0.061524713,0.059805914,-0.001718799
2026-04-14_07-02-50,open_floor,exclude,159,0.064332248,0.062996109,-0.001336139
2026-04-14_07-17-42,open_floor,exclude,254,0.065495380,0.064122013,-0.001373367
2026-04-14_07-25-50,open_floor,exclude,211,0.076602403,0.073278556,-0.003323847
2026-04-14_07-40-05,open_floor,exclude,133,0.057000094,0.055295596,-0.001704498
2026-04-14_07-51-39,open_floor,exclude,211,0.076602403,0.073278556,-0.003323847
2026-04-14_07-53-57,open_floor,exclude,192,0.057428049,0.056740178,-0.000687871
2026-04-14_08-14-01,open_floor,exclude,155,0.062367878,0.061138696,-0.001229183
2026-04-14_08-34-57,open_floor,exclude,163,0.049166948,0.047035188,-0.002131760
2026-04-14_08-44-07,open_floor,exclude,384,0.078973890,0.074271295,-0.004702595
2026-04-14_08-58-04,open_floor,exclude,332,0.058488684,0.056456628,-0.002032056
2026-04-14_09-15-42,open_floor,exclude,263,0.061117754,0.058411673,-0.002706080
2026-04-14_16-34-17,open_floor,fit_downweighted,75003,0.105912581,0.079268394,-0.026644187
2026-04-15_01-22-20,open_floor,exclude,3787,0.086665976,0.051479542,-0.035186434
2026-04-15_02-09-58,open_floor,fit_downweighted,81998,0.131853013,0.108537713,-0.023315300
2026-04-16_02-43-36,open_floor,validation_only,8805,0.031513910,0.028510664,-0.003003246
2026-04-20_02-33-07,open_floor,fit_downweighted,27605,0.244044421,0.159422932,-0.084621489
2026-04-20_04-54-09,open_floor,fit_downweighted,102216,0.210433389,0.199324928,-0.011108462
2026-04-20_08-38-39,open_floor,fit_downweighted,184094,0.228911181,0.216537826,-0.012373355
2026-04-20_10-22-09,open_floor,fit_downweighted,88691,0.175460462,0.156342040,-0.019118423
2026-04-20_11-47-47,open_floor,exclude,31403,0.055647275,0.061248859,0.005601584
2026-04-20_12-10-58,open_floor,fit_authoritative,71739,0.165168075,0.125967925,-0.039200150
2026-04-20_23-05-07,open_floor,validation_only,7594,0.058254302,0.051489829,-0.006764473
2026-04-21_00-16-10,open_floor,fit_authoritative,95630,0.159117791,0.128756100,-0.030361691
2026-04-21_01-09-34,open_floor,fit_authoritative,85605,0.123748904,0.104075689,-0.019673215
2026-04-21_02-46-49,open_floor,fit_authoritative,69670,0.126578555,0.107536195,-0.019042360
2026-04-21_04-14-05,open_floor,fit_authoritative,63652,0.110390037,0.099883663,-0.010506375
2026-04-21_05-32-06,open_floor,fit_authoritative,220266,0.172914847,0.133392718,-0.039522130
2026-04-21_05-59-46,open_floor,fit_authoritative,85122,0.145070738,0.118321094,-0.026749644
2026-04-21_23-39-12,open_floor,fit_authoritative,26423,0.183083834,0.115501070,-0.067582763
2026-04-22_01-06-32,open_floor,fit_authoritative,26423,0.183083834,0.115501070,-0.067582763
2026-04-22_12-10-34,open_floor,fit_downweighted,53853,0.066866681,0.065620320,-0.001246361
2026-05-04_16-57-53,open_floor,validation_only,44152,0.094020399,0.094187418,0.000167018
2026-05-04_20-35-47,open_floor,fit_downweighted,88784,0.145587437,0.149043391,0.003455954
diag000,competition_diag,validation_only,66528,0.521205424,0.472409927,-0.048795497
diag001,competition_diag,validation_only,69508,0.523589305,0.479256838,-0.044332466
diag002,competition_diag,exclude,659,0.016301524,0.011123918,-0.005177605
diag003,competition_diag,validation_only,136780,0.256950649,0.237047520,-0.019903129
aux000,competition_aux,validation_only_downweighted,15020,0.469244603,0.351346873,-0.117897731
aux001,competition_aux,validation_only_downweighted,36846,0.334323785,0.292637819,-0.041685966
aux002,competition_aux,validation_only_downweighted,49201,0.259720334,0.227743877,-0.031976456
aux003,competition_aux,validation_only_downweighted,34895,0.306254529,0.232342591,-0.073911938
aux004,competition_aux,validation_only_downweighted,39898,0.297684085,0.233740585,-0.063943500
aux005,competition_aux,validation_only_downweighted,25510,0.362948297,0.323665037,-0.039283260
aux006,competition_aux,validation_only_downweighted,26162,0.239248633,0.220645007,-0.018603626
aux007,competition_aux,validation_only_downweighted,18923,0.370920003,0.327038896,-0.043881107
aux008,competition_aux,validation_only_downweighted,33677,0.261266919,0.235660019,-0.025606900
aux009,competition_aux,validation_only_downweighted,35227,0.331732755,0.280296322,-0.051436433
aux010,competition_aux,validation_only_downweighted,29134,0.327531720,0.278452488,-0.049079231
aux011,competition_aux,validation_only_downweighted,1656,0.959475932,0.261560380,-0.697915552
aux012,competition_aux,validation_only_downweighted,12334,0.233274762,0.205123249,-0.028151513
