family,motion_class,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct,worsened_sample_fraction,mean_patch_delta_yaw_moment_nm,rmse_patch_delta_yaw_moment_nm
all,in_place_yaw,all:in_place_yaw,493183,0.358457371,0.307963535,-0.050493836,-14.086427,0.289330735,-0.001906190,0.027382196
all,moving_yaw,all:moving_yaw,604633,0.259057883,0.216396898,-0.042660985,-16.467742,0.345824657,0.002188704,0.036719452
all,mostly_forward,all:mostly_forward,1195941,0.104577079,0.072238726,-0.032338353,-30.922983,0.393407367,0.000387638,0.019409130
all,low_motion_commanded,all:low_motion_commanded,701127,0.159410197,0.139052640,-0.020357557,-12.770549,0.355074045,-0.000498960,0.013450134
open_floor,in_place_yaw,open_floor:in_place_yaw,302259,0.205513948,0.196237014,-0.009276934,-4.514017,0.439212728,0.000177831,0.028705157
open_floor,moving_yaw,open_floor:moving_yaw,497103,0.206063378,0.181763665,-0.024299713,-11.792349,0.401956939,0.003606275,0.038426393
open_floor,mostly_forward,open_floor:mostly_forward,1046658,0.099300462,0.067659779,-0.031640682,-31.863580,0.396593730,0.000727149,0.019955645
open_floor,low_motion_commanded,open_floor:low_motion_commanded,516906,0.124240335,0.110818592,-0.013421742,-10.803047,0.407089490,0.000235353,0.011867841
competition,in_place_yaw,competition:in_place_yaw,190924,0.514826526,0.428979912,-0.085846614,-16.674862,0.052046888,-0.005205484,0.025145848
competition,moving_yaw,competition:moving_yaw,107530,0.425512443,0.332529444,-0.092982999,-21.852005,0.086329396,-0.004364617,0.027483415
competition,mostly_forward,competition:mostly_forward,149283,0.135937253,0.098538036,-0.037399217,-27.512118,0.371067034,-0.001992748,0.015029263
competition,low_motion_commanded,competition:low_motion_commanded,184221,0.231091206,0.197815381,-0.033275825,-14.399434,0.209123824,-0.002559369,0.017126348
