gain_ns_per_m,all_old_rmse_radps,all_new_rmse_radps,open_floor_new_rmse_radps,competition_new_rmse_radps,fit_new_rmse_radps,fit_relative_delta_pct,validation_new_rmse_radps,validation_relative_delta_pct,in_place_new_rmse_radps,in_place_relative_delta_pct,moving_new_rmse_radps,moving_relative_delta_pct
-4.986872416,0.212190004,0.199841564,0.140651875,0.339547427,0.137011208,-8.694645,0.068735412,0.116284,0.342487628,-4.455130,0.242363099,-6.444422
-4.886872416,0.212190004,0.200014629,0.140704271,0.339948942,0.137169868,-8.588912,0.068726006,0.102584,0.342747110,-4.382742,0.242540249,-6.376040
-3.192556270,0.212190004,0.203427013,0.142275522,0.347025971,0.140531974,-6.348378,0.068615105,-0.058949,0.347531965,-3.047895,0.246558503,-4.824937
-3.092556270,0.212190004,0.203656220,0.142408102,0.347459472,0.140769120,-6.190342,0.068611424,-0.064309,0.347836943,-2.962815,0.246854582,-4.710647
-2.992556270,0.212190004,0.203888464,0.142545055,0.347894694,0.141010454,-6.029516,0.068608064,-0.069204,0.348144395,-2.877044,0.247157092,-4.593873
-2.892556270,0.212190004,0.204123735,0.142686368,0.348331631,0.141255954,-5.865913,0.068605024,-0.073632,0.348454317,-2.790584,0.247466009,-4.474627
-2.792556270,0.212190004,0.204362021,0.142832030,0.348770276,0.141505598,-5.699548,0.068602304,-0.077595,0.348766701,-2.703437,0.247781311,-4.352916
-2.692556270,0.212190004,0.204603313,0.142982026,0.349210623,0.141759364,-5.530436,0.068599903,-0.081091,0.349081540,-2.615606,0.248102972,-4.228750
-2.592556270,0.212190004,0.204847600,0.143136342,0.349652665,0.142017231,-5.358591,0.068597823,-0.084121,0.349398829,-2.527090,0.248430968,-4.102139
-2.492556270,0.212190004,0.205094872,0.143294966,0.350096397,0.142279176,-5.184029,0.068596062,-0.086685,0.349718560,-2.437894,0.248765273,-3.973093
-2.392556270,0.212190004,0.205345116,0.143457881,0.350541811,0.142545176,-5.006765,0.068594622,-0.088783,0.350040727,-2.348018,0.249105863,-3.841620
-2.292556270,0.212190004,0.205598323,0.143625075,0.350988901,0.142815209,-4.826813,0.068593501,-0.090415,0.350365323,-2.257465,0.249452711,-3.707732
-2.192556270,0.212190004,0.205854482,0.143796532,0.351437660,0.143089252,-4.644188,0.068592701,-0.091581,0.350692341,-2.166235,0.249805791,-3.571438
-2.092556270,0.212190004,0.206113581,0.143972237,0.351888084,0.143367283,-4.458906,0.068592221,-0.092280,0.351021774,-2.074332,0.250165078,-3.432748
-2.000000000,0.212190004,0.206356004,0.144138634,0.352306455,0.143628150,-4.285062,0.068592062,-0.092512,0.351328832,-1.988671,0.250503127,-3.302256
-1.992556270,0.212190004,0.206375609,0.144152174,0.352340164,0.143649277,-4.270983,0.068592061,-0.092513,0.351353617,-1.981757,0.250530544,-3.291673
-1.892556270,0.212190004,0.206640557,0.144336327,0.352793895,0.143935211,-4.080434,0.068592221,-0.092280,0.351687861,-1.888512,0.250902162,-3.148223
-1.792556270,0.212190004,0.206908411,0.144524681,0.353249270,0.144225063,-3.887275,0.068592701,-0.091581,0.352024500,-1.794599,0.251279906,-3.002409
-1.692556270,0.212190004,0.207179161,0.144717218,0.353706283,0.144518809,-3.691520,0.068593501,-0.090415,0.352363527,-1.700019,0.251663747,-2.854241
-1.592556270,0.212190004,0.207452795,0.144913923,0.354164928,0.144816424,-3.493187,0.068594622,-0.088783,0.352704935,-1.604775,0.252053657,-2.703730
-1.492556270,0.212190004,0.207729303,0.145114778,0.354625197,0.145117886,-3.292291,0.068596062,-0.086685,0.353048718,-1.508869,0.252449609,-2.550887
-1.392556270,0.212190004,0.208008673,0.145319766,0.355087086,0.145423169,-3.088847,0.068597823,-0.084121,0.353394869,-1.412303,0.252851575,-2.395723
-1.292556270,0.212190004,0.208290892,0.145528870,0.355550588,0.145732251,-2.882873,0.068599903,-0.081091,0.353743379,-1.315077,0.253259524,-2.238248
-1.192556270,0.212190004,0.208575951,0.145742072,0.356015695,0.146045107,-2.674383,0.068602304,-0.077595,0.354094244,-1.217196,0.253673430,-2.078475
-1.092556270,0.212190004,0.208863836,0.145959353,0.356482403,0.146361713,-2.463395,0.068605024,-0.073632,0.354447455,-1.118659,0.254093261,-1.916414
