family,motion_class,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct,worsened_sample_fraction,mean_patch_delta_yaw_moment_nm,rmse_patch_delta_yaw_moment_nm
all,in_place_yaw,all:in_place_yaw,493183,0.358457371,0.349400520,-0.009056851,-2.526619,0.253996995,-0.000241031,0.004739230
all,moving_yaw,all:moving_yaw,604633,0.259057883,0.248711818,-0.010346065,-3.993727,0.278196857,0.000582719,0.006506257
all,mostly_forward,all:mostly_forward,1195941,0.104577079,0.097789369,-0.006787710,-6.490629,0.352753188,0.000113726,0.002916990
all,low_motion_commanded,all:low_motion_commanded,701127,0.159410197,0.154089578,-0.005320619,-3.337691,0.339577566,-0.000034730,0.002218114
competition_aux,in_place_yaw,competition_aux:in_place_yaw,57801,0.541653010,0.518901302,-0.022751708,-4.200421,0.098181692,-0.001584854,0.006079489
competition_aux,moving_yaw,competition_aux:moving_yaw,56111,0.434160993,0.413164771,-0.020996222,-4.836045,0.117944788,-0.000959191,0.005699999
competition_aux,mostly_forward,competition_aux:mostly_forward,110260,0.148098947,0.138409204,-0.009689743,-6.542749,0.334028660,-0.000320118,0.002397995
competition_aux,low_motion_commanded,competition_aux:low_motion_commanded,134311,0.220963246,0.210080221,-0.010883025,-4.925265,0.238416809,-0.000515392,0.003073058
competition_diag,in_place_yaw,competition_diag:in_place_yaw,133123,0.502733160,0.493074073,-0.009659088,-1.921315,0.016796496,-0.000411706,0.002672398
competition_diag,moving_yaw,competition_diag:moving_yaw,51419,0.415869536,0.402718983,-0.013150553,-3.162182,0.012913514,-0.000186030,0.003152228
competition_diag,mostly_forward,competition_diag:mostly_forward,39023,0.093373410,0.090650738,-0.002722672,-2.915897,0.311226712,-0.000071803,0.001006287
competition_diag,low_motion_commanded,competition_diag:low_motion_commanded,49910,0.256366697,0.252565807,-0.003800890,-1.482599,0.085493889,-0.000026424,0.000943589
open_floor,in_place_yaw,open_floor:in_place_yaw,302259,0.205513948,0.201559037,-0.003954911,-1.924400,0.388263046,0.000091118,0.005141421
open_floor,moving_yaw,open_floor:moving_yaw,497103,0.206063378,0.197974598,-0.008088781,-3.925385,0.323725667,0.000836281,0.006840546
open_floor,mostly_forward,open_floor:mostly_forward,1046658,0.099300462,0.092748045,-0.006552417,-6.598576,0.356273969,0.000166347,0.003013122
open_floor,low_motion_commanded,open_floor:low_motion_commanded,516906,0.124240335,0.120742973,-0.003497362,-2.814997,0.390395933,0.000089362,0.002033152
