run_id,family,recommendation,path,input_rows,normalized_rows,kept_rows,bias_radps,bias_rows,samples,in_place_yaw_samples,moving_yaw_samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,mean_patch_delta_yaw_moment_nm,cutoff_reason,limitation
2026-04-10_18-08-20,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-10_18-08-20\open_floor_main.csv,20703,20703,20703,-0.000000000,15839,4857,1078,1532,0.140495872,0.137417757,-0.003078114,-0.000364155,kept through final sensor-active row,
2026-04-10_18-33-52,open_floor,validation_only,TestResults\mmlog_decode_2026-04-10_18-33-52\open_floor_main.csv,143869,143869,143869,-0.000000000,32792,110947,25071,1160,0.096614485,0.096566226,-0.000048259,0.000013929,kept through final sensor-active row,
2026-04-11_06-58-25,open_floor,validation_only,TestResults\mmlog_decode_2026-04-11_06-58-25\open_floor_main.csv,84697,84697,84697,-0.003665191,33382,47380,268,2378,0.041232554,0.041030349,-0.000202205,0.000020991,kept through final sensor-active row,
2026-04-11_21-03-20,open_floor,validation_only,TestResults\mmlog_decode_2026-04-11_21-03-20\open_floor_main.csv,323537,323537,323537,-0.003665191,265936,51298,341,750,0.037300776,0.037741372,0.000440597,-0.000002220,kept through final sensor-active row,
2026-04-12_05-13-55,open_floor,validation_only,TestResults\mmlog_decode_2026-04-12_05-13-55\open_floor_main.csv,72412,72412,72412,-0.003665191,37462,30819,108,109,0.033715100,0.033767398,0.000052298,0.000002518,kept through final sensor-active row,
2026-04-12_06-36-32,open_floor,validation_only,TestResults\mmlog_decode_2026-04-12_06-36-32\open_floor_main.csv,69260,69260,69260,-0.003665191,35885,30496,329,1153,0.031067678,0.030856754,-0.000210924,-0.000000586,kept through final sensor-active row,
2026-04-12_06-44-12,open_floor,validation_only,TestResults\mmlog_decode_2026-04-12_06-44-12\open_floor_main.csv,69260,69260,69260,-0.003665191,35885,30496,329,1153,0.031067678,0.030856754,-0.000210924,-0.000000586,kept through final sensor-active row,
2026-04-12_20-14-49,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-12_20-14-49\open_floor_main.csv,124191,124191,124191,-0.003665191,35877,84280,11567,12562,0.148181054,0.150023802,0.001842748,0.000004063,kept through final sensor-active row,
2026-04-12_22-27-00,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-12_22-27-00\open_floor_main.csv,129063,129063,129063,-0.003665191,36415,90374,13633,16623,0.150167695,0.149937105,-0.000230589,-0.000101717,kept through final sensor-active row,
2026-04-13_16-42-46,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-13_16-42-46\open_floor_main.csv,141172,141172,141172,-0.003665191,35579,101048,20201,16445,0.149465808,0.142692694,-0.006773114,-0.000123664,kept through final sensor-active row,
2026-04-14_02-00-02,open_floor,fit_downweighted,TestResults\mmlog_decode_2026-04-14_02-00-02\open_floor_main.csv,111383,111383,111383,-0.003665191,30526,77516,6730,9146,0.098612910,0.091409299,-0.007203611,0.000248127,kept through final sensor-active row,
2026-04-14_04-43-48,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-14_04-43-48\open_floor_main.csv,116754,116754,116754,-0.003665191,30761,82879,6136,20445,0.149519603,0.138986090,-0.010533514,0.000180420,kept through final sensor-active row,
2026-04-14_05-26-35,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-14_05-26-35\open_floor_main.csv,109155,109155,109155,-0.003665191,30913,75029,7095,14663,0.104133667,0.098861299,-0.005272368,0.000003445,kept through final sensor-active row,
2026-04-14_05-40-35,open_floor,exclude,TestResults\mmlog_decode_2026-04-14_05-40-35\open_floor_main.csv,1559,1559,1559,0.002443461,1479,208,16,0,0.053098636,0.052647960,-0.000450677,0.000101548,kept through final sensor-active row,
2026-04-14_06-21-48,open_floor,exclude,TestResults\mmlog_decode_2026-04-14_06-21-48\open_floor_main.csv,2815,2815,2361,0.001221730,2680,148,18,0,0.071321778,0.070476943,-0.000844835,-0.000022862,dropped final sensor-quiescent/invalid tail >= 0.25 s,
2026-04-14_06-37-59,open_floor,exclude,TestResults\mmlog_decode_2026-04-14_06-37-59\open_floor_main.csv,1621,1621,1621,-0.004886922,1443,179,27,0,0.061524713,0.060940066,-0.000584647,0.000005353,kept through final sensor-active row,
