family,motion_class,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct,worsened_sample_fraction,mean_patch_delta_yaw_moment_nm,rmse_patch_delta_yaw_moment_nm
all,in_place_yaw,all:in_place_yaw,493183,0.358457371,0.331973860,-0.026483511,-7.388190,0.268575762,-0.000813510,0.013662674
all,moving_yaw,all:moving_yaw,604633,0.259057883,0.230506845,-0.028551038,-11.021104,0.305524177,0.001425922,0.018653905
all,mostly_forward,all:mostly_forward,1195941,0.104577079,0.082561911,-0.022015168,-21.051619,0.371152089,0.000290889,0.009235013
all,low_motion_commanded,all:low_motion_commanded,701127,0.159410197,0.144859347,-0.014550849,-9.127929,0.346376619,-0.000198506,0.006657827
open_floor,in_place_yaw,open_floor:in_place_yaw,302259,0.205513948,0.196530070,-0.008983878,-4.371420,0.409112715,0.000279628,0.014298948
open_floor,moving_yaw,open_floor:moving_yaw,497103,0.206063378,0.184524855,-0.021538523,-10.452378,0.355250320,0.002169930,0.019570030
open_floor,mostly_forward,open_floor:mostly_forward,1046658,0.099300462,0.077716014,-0.021584447,-21.736502,0.374504375,0.000461496,0.009522989
open_floor,low_motion_commanded,open_floor:low_motion_commanded,516906,0.124240335,0.115408012,-0.008832322,-7.109062,0.397675786,0.000211699,0.005577316
competition,in_place_yaw,competition:in_place_yaw,190924,0.514826526,0.472791417,-0.042035110,-8.164907,0.046086401,-0.002544097,0.012589783
competition,moving_yaw,competition:moving_yaw,107530,0.425512443,0.375975007,-0.049537436,-11.641830,0.075644006,-0.002013569,0.013641224
competition,mostly_forward,competition:mostly_forward,149283,0.135937253,0.110734033,-0.025203220,-18.540334,0.347648426,-0.000905271,0.006885620
competition,low_motion_commanded,competition:low_motion_commanded,184221,0.231091206,0.206136089,-0.024955117,-10.798817,0.202436204,-0.001349501,0.009023372
