run_id,family,recommendation,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps
2026-04-10_18-08-20,open_floor,fit_authoritative,4857,0.140495872,0.134176114,-0.006319757
2026-04-10_18-33-52,open_floor,validation_only,110947,0.096614485,0.096617671,0.000003186
2026-04-11_06-58-25,open_floor,validation_only,47380,0.041232554,0.041085115,-0.000147439
2026-04-11_21-03-20,open_floor,validation_only,51298,0.037300776,0.038480693,0.001179918
2026-04-12_05-13-55,open_floor,validation_only,30819,0.033715100,0.033934472,0.000219372
2026-04-12_06-36-32,open_floor,validation_only,30496,0.031067678,0.030897735,-0.000169943
2026-04-12_06-44-12,open_floor,validation_only,30496,0.031067678,0.030897735,-0.000169943
2026-04-12_20-14-49,open_floor,fit_authoritative,84280,0.148181054,0.153957517,0.005776463
2026-04-12_22-27-00,open_floor,fit_authoritative,90374,0.150167695,0.151264389,0.001096694
2026-04-13_16-42-46,open_floor,fit_authoritative,101048,0.149465808,0.130983337,-0.018482471
2026-04-14_02-00-02,open_floor,fit_downweighted,77516,0.098612910,0.082417259,-0.016195651
2026-04-14_04-43-48,open_floor,fit_authoritative,82879,0.149519603,0.112771404,-0.036748199
2026-04-14_05-26-35,open_floor,fit_authoritative,75029,0.104133667,0.091112119,-0.013021549
2026-04-14_05-40-35,open_floor,exclude,208,0.053098636,0.052014184,-0.001084453
2026-04-14_06-21-48,open_floor,exclude,148,0.071321778,0.069245009,-0.002076769
2026-04-14_06-37-59,open_floor,exclude,179,0.061524713,0.060102994,-0.001421719
2026-04-14_07-02-50,open_floor,exclude,159,0.064332248,0.063229032,-0.001103216
2026-04-14_07-17-42,open_floor,exclude,254,0.065495380,0.064354341,-0.001141039
2026-04-14_07-25-50,open_floor,exclude,211,0.076602403,0.073858206,-0.002744197
2026-04-14_07-40-05,open_floor,exclude,133,0.057000094,0.055591534,-0.001408560
2026-04-14_07-51-39,open_floor,exclude,211,0.076602403,0.073858206,-0.002744197
2026-04-14_07-53-57,open_floor,exclude,192,0.057428049,0.056810886,-0.000617163
2026-04-14_08-14-01,open_floor,exclude,155,0.062367878,0.061313693,-0.001054185
2026-04-14_08-34-57,open_floor,exclude,163,0.049166948,0.047388941,-0.001778007
2026-04-14_08-44-07,open_floor,exclude,384,0.078973890,0.075088524,-0.003885366
2026-04-14_08-58-04,open_floor,exclude,332,0.058488684,0.056810401,-0.001678283
2026-04-14_09-15-42,open_floor,exclude,263,0.061117754,0.058878925,-0.002238828
2026-04-14_16-34-17,open_floor,fit_downweighted,75003,0.105912581,0.082757773,-0.023154808
2026-04-15_01-22-20,open_floor,exclude,3787,0.086665976,0.057756487,-0.028909489
2026-04-15_02-09-58,open_floor,fit_downweighted,81998,0.131853013,0.114553159,-0.017299853
2026-04-16_02-43-36,open_floor,validation_only,8805,0.031513910,0.028963362,-0.002550548
2026-04-20_02-33-07,open_floor,fit_downweighted,27605,0.244044421,0.188793381,-0.055251040
2026-04-20_04-54-09,open_floor,fit_downweighted,102216,0.210433389,0.201575307,-0.008858082
2026-04-20_08-38-39,open_floor,fit_downweighted,184094,0.228911181,0.216938731,-0.011972450
2026-04-20_10-22-09,open_floor,fit_downweighted,88691,0.175460462,0.162072355,-0.013388108
2026-04-20_11-47-47,open_floor,exclude,31403,0.055647275,0.060211913,0.004564638
2026-04-20_12-10-58,open_floor,fit_authoritative,71739,0.165168075,0.134997315,-0.030170760
2026-04-20_23-05-07,open_floor,validation_only,7594,0.058254302,0.052073254,-0.006181048
2026-04-21_00-16-10,open_floor,fit_authoritative,95630,0.159117791,0.134606645,-0.024511146
2026-04-21_01-09-34,open_floor,fit_authoritative,85605,0.123748904,0.106687863,-0.017061041
2026-04-21_02-46-49,open_floor,fit_authoritative,69670,0.126578555,0.110256140,-0.016322415
2026-04-21_04-14-05,open_floor,fit_authoritative,63652,0.110390037,0.100376236,-0.010013802
2026-04-21_05-32-06,open_floor,fit_authoritative,220266,0.172914847,0.140119255,-0.032795592
2026-04-21_05-59-46,open_floor,fit_authoritative,85122,0.145070738,0.121704133,-0.023366605
2026-04-21_23-39-12,open_floor,fit_authoritative,26423,0.183083834,0.128918726,-0.054165108
2026-04-22_01-06-32,open_floor,fit_authoritative,26423,0.183083834,0.128918726,-0.054165108
2026-04-22_12-10-34,open_floor,fit_downweighted,53853,0.066866681,0.065774017,-0.001092663
2026-05-04_16-57-53,open_floor,validation_only,44152,0.094020399,0.094103066,0.000082667
2026-05-04_20-35-47,open_floor,fit_downweighted,88784,0.145587437,0.148354445,0.002767008
diag000,competition_diag,validation_only,66528,0.521205424,0.484559224,-0.036646200
diag001,competition_diag,validation_only,69508,0.523589305,0.490344911,-0.033244394
diag002,competition_diag,exclude,659,0.016301524,0.011965478,-0.004336045
diag003,competition_diag,validation_only,136780,0.256950649,0.241971155,-0.014979494
aux000,competition_aux,validation_only_downweighted,15020,0.469244603,0.369517503,-0.099727100
aux001,competition_aux,validation_only_downweighted,36846,0.334323785,0.302401165,-0.031922620
aux002,competition_aux,validation_only_downweighted,49201,0.259720334,0.234275905,-0.025444429
aux003,competition_aux,validation_only_downweighted,34895,0.306254529,0.243825057,-0.062429472
aux004,competition_aux,validation_only_downweighted,39898,0.297684085,0.245875104,-0.051808981
aux005,competition_aux,validation_only_downweighted,25510,0.362948297,0.332591482,-0.030356815
aux006,competition_aux,validation_only_downweighted,26162,0.239248633,0.224827561,-0.014421072
