channel,segment_start_s,segment_end_s,fan_frequency_hz,fan_amplitude,segment_std
gyro_raw_radps,0.000,2.046,149.000,0.025446085,0.027675548
gyro_raw_radps,2.047,4.094,149.300,0.037463346,0.027902921
gyro_raw_radps,4.095,6.142,149.200,0.037565727,0.027869822
gyro_raw_radps,6.143,8.190,149.275,0.037352757,0.027774209
gyro_raw_radps,8.191,10.238,149.250,0.037024620,0.027655291
gyro_raw_radps,10.239,12.286,149.175,0.037099319,0.027564854
gyro_raw_radps,12.287,14.334,149.300,0.037108873,0.027462116
accel_body_x_mps2,0.000,2.046,149.000,0.204923362,0.221438442
accel_body_x_mps2,2.047,4.094,149.300,0.301977185,0.222954179
accel_body_x_mps2,4.095,6.142,149.200,0.305079898,0.224102328
accel_body_x_mps2,6.143,8.190,149.275,0.305426766,0.224867825
accel_body_x_mps2,8.191,10.238,149.250,0.304551627,0.225777225
accel_body_x_mps2,10.239,12.286,149.175,0.307491014,0.226408252
accel_body_x_mps2,12.287,14.334,149.300,0.309201289,0.226915149
accel_body_y_mps2,0.000,2.046,149.000,0.241803076,0.260709247
accel_body_y_mps2,2.047,4.094,149.300,0.354457303,0.261528517
accel_body_y_mps2,4.095,6.142,149.200,0.354567799,0.260562117
accel_body_y_mps2,6.143,8.190,149.275,0.352926827,0.259995113
accel_body_y_mps2,8.191,10.238,149.250,0.350075527,0.259556949
accel_body_y_mps2,10.239,12.286,149.175,0.352032152,0.259399772
accel_body_y_mps2,12.287,14.334,149.300,0.353005547,0.259305686
