signal,amplitude,direction,steps,mean_initial_slope_plus4_to_plus10_radps2,std_initial_slope_plus4_to_plus10_radps2,cv_initial_slope,linear_slope_vs_command,linear_intercept_vs_command,linear_r2_vs_command
filtered,0.500,CCW,10,110.969229,6.915960,0.062323,,,
raw,0.500,CCW,10,111.609441,6.357569,0.056963,,,
filtered,0.500,CW,10,131.419879,13.427146,0.102170,,,
raw,0.500,CW,10,131.370931,13.264371,0.100969,,,
filtered,0.550,CCW,10,153.848029,7.599771,0.049398,,,
raw,0.550,CCW,10,153.754780,7.596763,0.049408,,,
filtered,0.550,CW,10,164.266556,8.878499,0.054049,,,
raw,0.550,CW,10,164.418741,8.547589,0.051987,,,
filtered,0.600,CCW,10,179.462690,15.073781,0.083994,,,
raw,0.600,CCW,10,178.582090,16.086901,0.090081,,,
filtered,0.600,CW,10,176.449558,17.730498,0.100485,,,
raw,0.600,CW,10,177.395265,15.867569,0.089448,,,
filtered,0.650,CCW,10,194.741771,18.126717,0.093081,,,
raw,0.650,CCW,10,194.996908,17.581269,0.090162,,,
filtered,0.650,CW,10,217.353717,17.447200,0.080271,,,
raw,0.650,CW,10,216.857158,16.843215,0.077670,,,
filtered,0.700,CCW,10,254.004764,31.149349,0.122633,,,
raw,0.700,CCW,10,254.918427,29.969504,0.117565,,,
filtered,0.700,CW,10,252.472160,11.313681,0.044812,,,
raw,0.700,CW,10,252.117172,11.485066,0.045554,,,
raw,all,both,100,183.602091,47.676280,0.259672,621.790998,-189.472508,0.850461
filtered,all,both,100,183.498835,47.881430,0.260936,622.156535,-189.795086,0.844180
