amplitude,direction,quality_class,scope,steps,train_steps,validation_steps,median_delay_ms,mean_initial_accel_radps2,median_initial_accel_radps2,mean_peak_accel_radps2,mean_peak_yaw_rate_radps,median_peak_yaw_rate_radps,mean_steady_yaw_rate_radps,median_steady_yaw_rate_radps,p10_steady_yaw_rate_radps,p90_steady_yaw_rate_radps,median_command_area_rad,median_t63_ms,median_rise_10_90_ms,median_recovery_tau37_ms,median_recovery_last50_radps,mean_pre_highpass_std_radps,mean_command_encoder_max_mps,steady_vs_repeat_slope_radps_per_repeat,steady_vs_pre_vibration_slope
0.50,CCW,twitch_static_bristle,signed,10,7,3,4.000,91.863429,91.776582,108.364065,1.012950,1.020226,0.011839,0.010710,0.003230,0.023369,0.035129,nan,nan,nan,-0.000556,0.015513,0.059309,0.001911071,-3.716615290
0.50,CW,twitch_static_bristle,signed,10,7,3,4.000,107.151669,111.511072,132.592480,1.247186,1.262358,0.010173,0.011979,0.004984,0.012827,0.038740,nan,nan,nan,-0.000156,0.014718,0.082210,0.000978669,-5.025896212
0.55,CCW,twitch_static_bristle,signed,10,7,3,4.000,114.818095,116.228168,158.538118,1.113829,1.108399,0.016515,0.015319,0.009818,0.027568,0.044303,nan,nan,nan,-0.000168,0.015459,0.071640,-0.000318744,-1.288206953
0.55,CW,twitch_static_bristle,signed,10,7,3,4.000,127.968299,128.328730,169.382665,1.475122,1.480807,0.026833,0.023389,0.012067,0.047893,0.057759,nan,nan,nan,-0.000171,0.013904,0.091605,0.002405143,-5.518244293
0.60,CCW,transitional,signed,10,7,3,4.000,142.437446,144.973769,177.643826,1.677328,1.752063,0.377778,0.352652,0.131570,0.632424,0.240906,nan,4.003,5.000,-0.000089,0.016302,0.102762,0.019719702,-77.403547061
0.60,CW,transitional,signed,10,7,3,4.000,142.132145,143.195982,181.721290,1.890780,1.885011,0.608742,0.605999,0.336888,0.854013,0.250996,6.564,4.193,6.500,-0.000543,0.015966,0.106286,0.075044524,87.695300717
0.65,CCW,sustained_launch,signed,8,6,2,3.000,158.900978,157.016207,205.655699,3.342949,3.077762,1.730866,1.764144,1.171052,2.233361,0.780422,9.074,10.926,8.000,-0.000591,0.016353,0.168090,0.041309342,40.674372521
0.65,CCW,transitional,signed,2,1,1,3.000,166.887075,166.887075,218.159875,3.719829,3.719829,0.572989,0.572989,0.549322,0.596657,0.807556,5.150,4.035,5.000,-0.000545,0.015568,0.199653,0.011833700,19.097160764
0.65,CW,sustained_launch,signed,10,7,3,3.000,174.255194,175.852275,221.797298,3.001515,3.105378,2.505441,2.608923,1.554580,3.269271,0.730154,13.502,24.413,14.500,-0.000590,0.015659,0.162071,0.027649006,75.596302587
0.70,CCW,sustained_launch,signed,10,7,3,3.000,205.449763,206.394061,265.401685,6.695542,6.590036,6.045527,5.961972,4.914515,6.666036,1.524957,119.047,263.890,23.000,-0.000186,0.015091,0.349979,0.229847040,79.738310264
0.70,CW,sustained_launch,signed,10,7,3,3.000,203.874008,204.689514,255.999711,7.011104,7.016487,5.531210,5.571876,3.351533,8.208335,1.706979,38.697,84.980,20.000,0.000114,0.013601,0.343520,0.391668021,-252.341011797
0.50,COMBINED_DIRECTION_NORMALIZED,twitch_static_bristle,combined,20,14,6,4.000,99.507549,93.025393,120.478273,1.130068,1.081342,0.011006,0.011811,0.003686,0.015358,0.035787,nan,nan,nan,-0.000297,0.015115,0.070759,0.001444870,-1.665312984
0.55,COMBINED_DIRECTION_NORMALIZED,twitch_static_bristle,combined,20,14,6,4.000,121.393197,120.807528,163.960391,1.294476,1.290685,0.021674,0.018226,0.010420,0.041261,0.051148,nan,nan,nan,-0.000168,0.014682,0.081623,0.001043200,-4.625256637
0.60,COMBINED_DIRECTION_NORMALIZED,transitional,combined,20,14,6,4.000,142.284796,143.919616,179.682558,1.784054,1.885011,0.493260,0.437251,0.136077,0.845553,0.250996,5.913,4.003,5.500,-0.000356,0.016134,0.104524,0.047382113,-8.117649494
0.65,COMBINED_DIRECTION_NORMALIZED,sustained_launch,combined,18,13,5,3.000,167.431098,169.565138,214.623254,3.153263,3.105378,2.161185,2.176975,1.246754,3.075185,0.739113,12.496,14.561,10.500,-0.000591,0.015967,0.164746,0.028006704,-13.106075291
0.70,COMBINED_DIRECTION_NORMALIZED,sustained_launch,combined,20,14,6,3.000,204.661886,205.534197,260.700698,6.853323,6.779010,5.788368,5.923147,3.549339,8.208335,1.644349,75.909,188.598,22.500,-0.000032,0.014346,0.346749,0.310757531,-102.313710691
