step_id,amplitude,direction,direction_sign,repeat_index,split,quality_class,pre_filtered_std_radps,pre_highpass_std_radps,pre_encoder_max_mps,command_encoder_max_mps,response_delay_ms,initial_accel_radps2,peak_accel_radps2,peak_yaw_rate_radps,peak_sample,steady_yaw_rate_radps,command_area_rad,t63_ms,rise_10_90_ms,recovery_tau37_ms,recovery_last50_radps,imu_temp_mean,quality_flags
1,0.50,CW,1,1,train,twitch_static_bristle,0.010597868,0.015866141,0.000000000,0.070465595,5.000,91.733369027,110.619329450,1.121575317,21,0.006325291,0.035792689,nan,nan,nan,-0.000230545,-7853.606,twitch_only
2,0.50,CCW,-1,1,train,twitch_static_bristle,0.011041718,0.016704175,0.000000000,0.064593457,5.000,88.344337108,111.857766402,0.933037477,22,0.003265620,0.035763507,nan,nan,nan,-0.000163643,-7851.823,twitch_only
3,0.50,CW,1,2,train,twitch_static_bristle,0.010144335,0.015123355,0.005872133,0.064593457,4.000,92.121426581,105.330251221,1.245746795,24,0.005123410,0.043112119,nan,nan,nan,-0.000392880,-7867.340,twitch_only
4,0.50,CCW,-1,2,train,twitch_static_bristle,0.010215687,0.015381455,0.000000000,0.070465595,4.000,99.984567033,127.865739271,1.029220493,19,0.009768562,0.029752292,nan,nan,nan,-0.000637282,-7870.960,twitch_only
5,0.50,CW,1,3,validation,twitch_static_bristle,0.009855679,0.014873947,0.000000000,0.082209855,5.000,104.475604236,127.873153516,1.276390601,21,0.003732799,0.039153703,nan,nan,nan,0.000755285,-7861.800,twitch_only
6,0.50,CCW,-1,3,validation,twitch_static_bristle,0.010079431,0.015220011,0.000000000,0.064593457,4.000,88.509825803,97.828745238,1.028007474,25,0.012426422,0.035517313,nan,nan,nan,-0.000337038,-7867.763,twitch_only
7,0.50,CW,1,4,train,twitch_static_bristle,0.009606186,0.014603162,0.000000000,0.088081986,4.000,103.353112596,128.613378409,1.262775170,21,0.011083454,0.039756459,nan,nan,nan,-0.000257155,-7866.303,twitch_only
8,0.50,CCW,-1,4,train,twitch_static_bristle,0.010164808,0.015422131,0.000000000,0.058721326,4.000,89.542374808,100.445336184,1.016235165,25,0.012177152,0.035780744,nan,nan,nan,-0.000867005,-7857.620,twitch_only
9,0.50,CW,1,5,train,twitch_static_bristle,0.009550909,0.014711799,0.000000000,0.082209855,3.000,113.708223549,150.051970374,1.255231998,21,0.012309709,0.039373134,nan,nan,nan,-0.000024808,-7862.683,twitch_only
10,0.50,CCW,-1,5,train,twitch_static_bristle,0.010105084,0.015124291,0.000000000,0.058721326,4.000,91.743028829,101.644659287,1.018643917,24,0.002910682,0.034830414,nan,nan,nan,-0.000602180,-7865.991,twitch_only
