amplitude,direction,clean_steps,sustained_launch_steps,impulse_only_steps,median_delay_ms,mean_initial_yaw_accel_plus2_radps2,median_initial_yaw_accel_plus2_radps2,mean_peak_directional_yaw_rate_radps,median_peak_directional_yaw_rate_radps,mean_steady_last50_directional_yaw_rate_radps,median_steady_last50_directional_yaw_rate_radps,p10_steady_radps,p90_steady_radps,median_time_constant_63_ms,median_rise_time_10_90_ms
0.50,CCW,10,0,10,5.000,47.667886,47.392783,1.047693,1.055783,0.011431,0.010250,0.003623,0.022784,3.000,0.000
0.50,CW,10,0,10,5.500,59.408345,59.305454,1.285258,1.299486,0.010441,0.011965,0.004420,0.013757,4.000,0.000
0.55,CCW,10,0,10,6.000,50.871528,50.966611,1.149068,1.151774,0.016886,0.015512,0.010369,0.027715,2.500,0.000
0.55,CW,10,0,10,6.000,72.966525,73.516571,1.508738,1.514710,0.027013,0.023494,0.012803,0.048309,3.500,0.500
0.60,CCW,10,0,3,5.500,77.778708,79.606629,1.707617,1.784350,0.377472,0.353402,0.131080,0.632013,6.000,2.000
0.60,CW,10,0,0,6.000,91.780589,90.251089,1.917816,1.910567,0.609082,0.606544,0.337184,0.854732,7.500,2.000
0.65,CCW,10,8,0,5.000,92.874834,92.255791,3.461261,3.500844,1.499870,1.477373,0.597227,2.218772,8.000,6.500
0.65,CW,10,10,0,5.000,105.787676,107.249343,3.043346,3.135437,2.505758,2.610060,1.553363,3.270934,14.000,23.000
0.70,CCW,10,10,0,5.000,122.146539,123.280570,6.776945,6.663057,6.046248,5.963971,4.916601,6.666552,119.500,265.500
0.70,CW,10,10,0,5.000,135.238711,134.900558,7.081098,7.090431,5.530946,5.569971,3.350776,8.206350,40.500,86.000
