amplitude,sample_offset_from_command,samples,mean_directional_yaw_delta_radps,median_directional_yaw_delta_radps,p10_directional_yaw_delta_radps,p90_directional_yaw_delta_radps
0.50,0,20,0.003937637,-0.001152499,-0.020113757,0.035062850
0.50,1,20,-0.006324899,-0.013129530,-0.035968559,0.033881029
0.50,2,20,-0.013655281,-0.021563543,-0.034431621,0.027780523
0.50,3,20,-0.005530774,-0.006120870,-0.029415198,0.028044415
0.50,4,20,0.034114380,0.040915755,-0.012411153,0.073861755
0.50,5,20,0.128126539,0.132460019,0.078363425,0.182994041
0.50,6,20,0.261050813,0.268332734,0.184133519,0.304543198
0.50,7,20,0.413644947,0.415042203,0.326044839,0.498375609
0.50,8,20,0.547302263,0.525564022,0.445684012,0.645885689
0.50,9,20,0.651454794,0.632111120,0.567751971,0.737759890
0.50,10,20,0.723720133,0.704547532,0.625339493,0.802435798
0.50,11,20,0.775154990,0.760901894,0.687378127,0.881740831
0.50,12,20,0.815838617,0.785837395,0.730182709,0.935711106
0.50,13,20,0.858782449,0.807091469,0.769058927,1.001635790
0.50,14,20,0.905757996,0.862521343,0.786324507,1.049224588
0.50,15,20,0.961591062,0.928779883,0.849563709,1.111136944
0.55,0,20,-0.006814812,-0.014094697,-0.035229820,0.028944424
0.55,1,20,0.002103820,-0.001820378,-0.029201801,0.036197431
0.55,2,20,0.009067683,0.013320935,-0.023841664,0.031617570
0.55,3,20,0.011083539,0.016603318,-0.015107105,0.034948822
0.55,4,20,0.024461488,0.034766377,-0.009383705,0.045858061
0.55,5,20,0.088174730,0.077270379,0.034608365,0.141270317
0.55,6,20,0.230261985,0.225967195,0.152039471,0.301151671
0.55,7,20,0.445347630,0.427235067,0.356983937,0.551374270
0.55,8,20,0.672772762,0.667178874,0.611387321,0.747655082
0.55,9,20,0.809117880,0.813379259,0.768763282,0.846839215
0.55,10,20,0.881138890,0.890755509,0.794045793,0.936414047
0.55,11,20,0.896593773,0.910115878,0.784820903,0.970812290
0.55,12,20,0.916446903,0.926140935,0.829081758,1.009876695
0.55,13,20,0.972951933,1.000373234,0.836638615,1.068737245
0.55,14,20,1.061527386,1.070011933,0.917639301,1.172229917
0.55,15,20,1.154256731,1.147176369,1.022585932,1.287930301
0.60,0,20,-0.000148236,-0.004243477,-0.030239457,0.032656042
0.60,1,20,-0.007784052,-0.020158553,-0.037560882,0.030268779
0.60,2,20,-0.008822523,-0.019535470,-0.035117421,0.036904405
0.60,3,20,-0.002713870,0.001897755,-0.036511007,0.025156246
0.60,4,20,0.024286373,0.025354979,-0.010476746,0.063442832
0.60,5,20,0.117015715,0.117998797,0.056528653,0.178548579
0.60,6,20,0.282132587,0.278485312,0.224394426,0.344804099
0.60,7,20,0.505892527,0.502876472,0.459055440,0.561940627
0.60,8,20,0.741503242,0.745890846,0.697538854,0.829748018
0.60,9,20,0.903016019,0.909867459,0.821666685,0.980581263
0.60,10,20,1.008390272,1.001855623,0.900342071,1.096585417
0.60,11,20,1.079861489,1.062074736,0.986590504,1.186473008
0.60,12,20,1.141864312,1.125030528,0.979015791,1.267068815
0.60,13,20,1.213152301,1.210348008,1.040874459,1.361254515
0.60,14,20,1.301239044,1.316418653,1.117024924,1.477074518
0.60,15,20,1.388714963,1.411962047,1.173859900,1.557342257
0.65,0,20,0.003722206,0.005212717,-0.030357558,0.034029265
0.65,1,20,-0.000676024,-0.004732169,-0.035124750,0.031375667
0.65,2,20,-0.003852523,-0.003844379,-0.036896261,0.034805472
0.65,3,20,0.004271984,0.002936226,-0.027186762,0.045837697
0.65,4,20,0.062487442,0.063289710,-0.001801645,0.115643307
0.65,5,20,0.225283026,0.233721107,0.104309723,0.375158406
0.65,6,20,0.477448195,0.472887070,0.312365525,0.637388179
0.65,7,20,0.764493769,0.770301065,0.649807511,0.863100442
0.65,8,20,0.995461910,1.000837542,0.938491841,1.066318192
0.65,9,20,1.128080761,1.143539718,1.035926387,1.200279281
0.65,10,20,1.209936690,1.226735511,1.074486638,1.314261913
0.65,11,20,1.276582080,1.288530599,1.133277988,1.407724237
0.65,12,20,1.372182512,1.360999605,1.249220168,1.499333731
0.65,13,20,1.498937022,1.504096809,1.358704357,1.632309294
0.65,14,20,1.628806978,1.655106780,1.468354676,1.746351293
0.65,15,20,1.740595298,1.770649873,1.572367966,1.868699484
0.70,0,20,-0.000572584,0.002003638,-0.031847256,0.035624846
0.70,1,20,0.000404800,-0.001209513,-0.027165585,0.030279368
0.70,2,20,0.000771319,0.003840306,-0.028005320,0.024972172
0.70,3,20,0.002237396,0.002752966,-0.030915482,0.039424428
0.70,4,20,0.058803517,0.063444463,0.019562348,0.097084410
0.70,5,20,0.216895437,0.242627527,0.069000077,0.332025618
0.70,6,20,0.502658197,0.563942644,0.300645060,0.675942746
0.70,7,20,0.853844613,0.907859745,0.607410178,1.013162357
0.70,8,20,1.142050844,1.159658448,0.945903671,1.261784476
0.70,9,20,1.337039014,1.339391308,1.230538309,1.443964023
0.70,10,20,1.465076378,1.470047194,1.349578802,1.561719353
0.70,11,20,1.559393975,1.563509602,1.406517170,1.672967746
0.70,12,20,1.663057789,1.692874508,1.522938361,1.781598974
0.70,13,20,1.801174423,1.848893586,1.651378919,1.907717482
0.70,14,20,1.948148599,1.970842651,1.801896109,2.094464682
0.70,15,20,2.088403263,2.105123072,1.942150702,2.263923659
