step_id,repeat_index,amplitude,direction,direction_sign,left_command,right_command,start_time_us,command_samples,available_stationary_pre_samples,baseline_samples_used,baseline_center_radps,baseline_noise_sigma_radps,baseline_noise_p95_radps,baseline_noise_p99_radps,motion_threshold_radps,motion_threshold_delay_samples,motion_threshold_delay_ms,motion_threshold_fractional_delay_samples,motion_threshold_fractional_delay_ms,value_threshold_radps,value_threshold_delay_samples,value_threshold_delay_ms,value_threshold_fractional_delay_samples,value_threshold_fractional_delay_ms,derivative_onset_delay_samples,derivative_onset_delay_ms,derivative_threshold_radps2,derivative_noise_sigma_radps2,piecewise_ramp_onset_samples,piecewise_ramp_onset_ms,piecewise_ramp_slope_radps_per_sample,piecewise_ramp_sse,derivative_peak_delay_samples,derivative_peak_delay_ms,derivative_peak_radps2,first_0p05_delay_samples,first_0p10_delay_samples,peak_first80_directional_radps,steady_last50_directional_radps,delay_quality_flags,y_plus_0,y_plus_1,y_plus_2,y_plus_3,y_plus_4,y_plus_5,y_plus_6,y_plus_7,y_plus_8,y_plus_9,y_plus_10,y_plus_11,y_plus_12,y_plus_13,y_plus_14,y_plus_15,template_best_offset_samples,template_best_offset_ms,template_best_mse,template_mse_offset_0,template_mse_offset_1,template_mse_offset_2,template_mse_offset_3,template_mse_offset_4,template_mse_offset_5,template_mse_offset_6
1,1,0.500000000,CW,1,0.500000000,-0.500000000,42634349,350,315,150,-0.002453169,0.043472103,0.098104961,0.118336812,0.108680257,6,6.000,5.168,5.168,0.173888412,6,6.000,5.595,5.595,,,153.963690,30.792738,3,3.000,0.079662845,0.099095874,6,6.000,152.716301,5,6,1.176526382,0.009260717,no_derivative_onset;twitch_only,0.035430185,0.030543261,-0.001221730,-0.029321532,-0.008552113,0.083077676,0.235793977,0.384845092,0.478918358,0.551000430,0.616973891,0.691499426,0.790459647,0.884532883,0.937067225,0.945619418,0,0.000,0.001159001,0.001159001,0.002447829,0.009611733,0.021922769,0.039395332,0.062284218,0.090130414
2,1,0.500000000,CCW,-1,-0.500000000,0.500000000,43402349,350,418,150,0.002453169,0.043472101,0.555581916,0.713050753,0.560581916,9,9.000,8.798,8.798,0.723050753,14,14.000,13.479,13.479,,,181.133752,36.226750,3,3.000,0.069679562,0.107773204,8,8.000,152.716309,5,6,0.954171524,0.000561996,no_derivative_onset;twitch_only,0.031764992,0.030543261,0.003665191,-0.031764993,-0.028099801,0.054977872,0.179594369,0.324980304,0.477696613,0.581543670,0.610865221,0.619417355,0.648738907,0.690277682,0.758694635,0.817337737,0,0.000,0.001042620,0.001042620,0.002358592,0.009725147,0.022857601,0.040444453,0.060664489,0.082044961
3,2,0.500000000,CW,1,0.500000000,-0.500000000,44180349,350,428,150,-0.001231439,0.039849429,0.473481634,0.594982743,0.478481634,9,9.000,8.244,8.244,0.604982743,10,10.000,9.332,9.332,,,153.963690,30.792738,3,3.000,0.080249034,0.057054177,7,7.000,125.838205,5,5,1.282817006,0.006133087,no_derivative_onset;twitch_only,-0.010995574,-0.030543262,-0.024434609,0.001221730,0.043982297,0.112399206,0.205250725,0.331088930,0.448375076,0.571769834,0.671951771,0.737925172,0.785572648,0.812450767,0.855211318,0.916297853,0,0.000,0.001077897,0.001077897,0.001675220,0.007936046,0.020668228,0.040242198,0.065696039,0.094896200
4,2,0.500000000,CCW,-1,-0.500000000,0.500000000,44951349,350,421,150,0.001842304,0.039849427,0.576045953,0.750264667,0.581045953,9,9.000,8.787,8.787,0.760264667,11,11.000,10.109,10.109,,,163.020385,32.604077,3,3.000,0.079740483,0.140919160,9,9.000,183.259577,5,6,1.076955401,0.007574729,no_derivative_onset;twitch_only,-0.021380284,-0.037262778,-0.025045475,0.007941248,0.047036622,0.098349303,0.182648711,0.282830589,0.436768644,0.620028221,0.754418515,0.808174693,0.817948603,0.789848768,0.787405335,0.857043885,1,1.000,0.003970667,0.004352055,0.003970667,0.009876403,0.024125926,0.047562760,0.077911953,0.111038758
5,3,0.500000000,CW,1,0.500000000,-0.500000000,45724349,350,423,150,-0.001231439,0.039849427,0.486981755,0.583987176,0.491981755,8,8.000,7.864,7.864,0.593987176,9,9.000,8.645,8.645,6,6.000,144.907010,28.981402,3,3.000,0.088479766,0.077841094,7,7.000,166.155338,5,6,1.325577497,0.005522222,twitch_only;clean_onset,0.036651913,0.019547688,-0.007330383,-0.029321531,-0.026878070,0.050090946,0.183259577,0.349414915,0.514348507,0.637743294,0.691499412,0.766025007,0.836885393,0.907745719,0.982271254,1.045801282,1,1.000,0.000717587,0.001925707,0.000717587,0.007372099,0.022060181,0.043997799,0.071967129,0.104478606
6,3,0.500000000,CCW,-1,-0.500000000,0.500000000,46496349,350,422,150,0.000009708,0.039849427,0.535301184,0.772720108,0.540301184,10,10.000,9.104,9.104,0.782720108,15,15.000,14.479,14.479,,,163.020378,32.604076,3,3.000,0.073147350,0.074746631,9,9.000,118.507832,5,6,1.064127280,0.011777482,no_derivative_onset;twitch_only,-0.010995574,-0.010995574,-0.034208451,-0.021991149,0.013439035,0.087964594,0.205250709,0.306654348,0.411723181,0.530231013,0.626747741,0.701273277,0.746477320,0.756251111,0.759916379,0.807563855,0,0.000,0.001404899,0.001404899,0.002080780,0.007638891,0.018783247,0.036124648,0.058913226,0.085030983
7,4,0.500000000,CW,1,0.500000000,-0.500000000,47270349,350,424,150,-0.000009708,0.039849426,0.411173380,0.508899624,0.416173380,7,7.000,6.430,6.430,0.518899624,7,7.000,6.998,6.998,5,5.000,144.907019,28.981404,2,2.000,0.082903280,0.104549005,7,7.000,180.816084,4,5,1.308473394,0.011704178,twitch_only;clean_onset,0.012217305,-0.014660766,-0.034208453,-0.014660766,0.054977872,0.183259562,0.338419334,0.519235418,0.621860848,0.709825442,0.778242276,0.778242276,0.844215737,0.911410973,1.001819060,1.039692567,0,0.000,0.001089258,0.001089258,0.008562219,0.024255245,0.046828095,0.075142511,0.107661720,0.142829075
8,4,0.500000000,CCW,-1,-0.500000000,0.500000000,48041349,350,421,150,-0.000601157,0.039849426,0.541837445,0.791559187,0.546837445,9,9.000,8.153,8.153,0.801559187,14,14.000,13.820,13.820,,,163.020384,32.604077,2,2.000,0.071408174,0.090598106,8,8.000,116.064370,4,5,1.046412102,0.012315043,no_derivative_onset;twitch_only,-0.017715092,-0.034819317,-0.026267206,0.006719518,0.082466802,0.197309470,0.302378288,0.415999225,0.532063595,0.628580323,0.698218993,0.742201200,0.754418543,0.771522752,0.808174721,0.871704689,0,0.000,0.002055839,0.002055839,0.007835309,0.019453773,0.036925906,0.059943039,0.087019594,0.115937195
9,5,0.500000000,CW,1,0.500000000,-0.500000000,48811349,350,420,150,0.000601157,0.039849428,0.395351968,0.494018929,0.400351968,7,7.000,6.576,6.576,0.504018929,8,8.000,7.042,7.042,6,6.000,144.907010,28.981402,2,2.000,0.089389287,0.128891544,7,7.000,227.241844,4,5,1.276097545,0.012290608,twitch_only;clean_onset,-0.014049900,0.021380284,0.029932396,0.029932396,0.050701813,0.126449102,0.269391575,0.496633419,0.671340891,0.791070470,0.838717946,0.874148139,0.893695840,0.959669301,1.036638269,1.131933221,0,0.000,0.001003517,0.001003517,0.005851409,0.021550757,0.047423387,0.081267511,0.120077163,0.161281697
10,5,0.500000000,CCW,-1,-0.500000000,0.500000000,49585349,350,424,150,0.000620573,0.039849428,0.562912328,0.788346057,0.567912328,9,9.000,8.424,8.424,0.798346057,14,14.000,13.617,13.617,,,163.020406,32.604081,2,2.000,0.071684050,0.094660569,5,5.000,118.507847,4,5,1.056185998,0.001881465,no_derivative_onset;twitch_only,-0.010384709,-0.037262779,-0.027488936,0.005497787,0.062919117,0.181426964,0.299934811,0.409890599,0.525954999,0.624915160,0.701884187,0.753196813,0.771522738,0.782518364,0.808174707,0.866817809,0,0.000,0.001843376,0.001843376,0.007156852,0.018406061,0.035656174,0.058796456,0.086431544,0.116215470
11,6,0.500000000,CW,1,0.500000000,-0.500000000,50351349,350,416,150,-0.002453169,0.039849428,0.378736421,0.480567678,0.383736421,7,7.000,6.354,6.354,0.490567678,7,7.000,6.887,6.887,5,5.000,144.906990,28.981398,2,2.000,0.087832568,0.124133390,7,7.000,200.363785,5,5,1.301143005,0.015369369,twitch_only;clean_onset,0.034208453,0.007330383,-0.014660765,-0.025656340,0.017104226,0.147829383,0.312763020,0.513126805,0.643851950,0.723264410,0.775798871,0.861319973,0.937067225,1.007927611,1.066570713,1.114218189,0,0.000,0.000334768,0.000334768,0.005767220,0.020546672,0.043409138,0.073407578,0.109684568,0.150944292
12,6,0.500000000,CCW,-1,-0.500000000,0.500000000,51123349,350,422,150,0.002453169,0.040755096,0.533651847,0.795798567,0.538651847,9,9.000,8.155,8.155,0.805798567,14,14.000,13.222,13.222,,,163.020605,32.604121,2,2.000,0.072737301,0.085117420,6,6.000,119.729578,4,5,1.044579551,0.003518584,no_derivative_onset;twitch_only,-0.013439035,-0.040317106,-0.031764993,0.006108652,0.070860372,0.182037846,0.301767425,0.412944899,0.522900627,0.624304280,0.704938457,0.753807650,0.779464052,0.801455245,0.821002887,0.882089422,0,0.000,0.001688432,0.001688432,0.006957811,0.018120644,0.035275545,0.058424012,0.086250377,0.116478695
13,7,0.500000000,CW,1,0.500000000,-0.500000000,51894349,350,421,150,-0.003064034,0.038038091,0.403781942,0.505918566,0.408781942,7,7.000,6.736,6.736,0.515918566,8,8.000,7.278,7.278,6,6.000,144.907007,28.981401,2,2.000,0.089212927,0.138805041,7,7.000,207.694173,4,5,1.284649602,0.015076154,twitch_only;clean_onset,-0.015271631,0.020158552,0.034819319,0.039706240,0.050701814,0.120340450,0.255952528,0.463646701,0.651793233,0.789848796,0.861930838,0.899804524,0.918130449,0.958447567,1.023199311,1.113607279,0,0.000,0.001447902,0.001447902,0.005089693,0.019535765,0.044863382,0.079426194,0.120002896,0.163207004
14,7,0.500000000,CCW,-1,-0.500000000,0.500000000,52670349,350,426,150,0.002453169,0.041660766,0.572686137,0.816726849,0.577686137,9,9.000,8.498,8.498,0.826726849,15,15.000,14.073,14.073,,,163.020398,32.604080,2,2.000,0.073309739,0.082197270,8,8.000,120.951295,4,5,1.053131626,0.004178318,no_derivative_onset;twitch_only,-0.026878071,-0.037873644,-0.015882496,0.025656340,0.080634215,0.167377070,0.279776291,0.397062407,0.518013702,0.637743340,0.723264382,0.762359784,0.774577127,0.788016186,0.821002887,0.899193630,0,0.000,0.001702395,0.001702395,0.006178459,0.016859695,0.034176880,0.057929604,0.086347993,0.116800949
15,8,0.500000000,CW,1,0.500000000,-0.500000000,53444349,350,424,150,0.001212022,0.038943759,0.413433592,0.517830476,0.418433592,7,7.000,6.713,6.713,0.527830476,8,8.000,7.399,7.399,,,144.907012,28.981402,2,2.000,0.087398064,0.122952528,7,7.000,180.816114,5,5,1.299921246,0.014074335,no_derivative_onset;twitch_only,0.008552113,-0.020769418,-0.036651915,-0.024434610,0.036651915,0.152716310,0.289550127,0.470366241,0.614530416,0.708603712,0.797789963,0.894306691,0.961501868,1.014036270,1.047023030,1.071457596,0,0.000,0.000838777,0.000838777,0.004835544,0.017810277,0.039432922,0.069749764,0.107904857,0.151554265
16,8,0.500000000,CCW,-1,-0.500000000,0.500000000,54214349,350,420,150,0.000009708,0.039849428,0.564622762,0.816177004,0.569622762,9,9.000,8.642,8.642,0.826177004,15,15.000,14.194,14.194,,,163.020381,32.604076,2,2.000,0.069286898,0.100221103,6,6.000,153.938025,5,5,1.037249162,0.011410962,no_derivative_onset;twitch_only,0.018325958,-0.009773844,-0.034208451,-0.029321532,0.024434610,0.138055547,0.291993572,0.417831822,0.524122371,0.594982757,0.658512726,0.704938485,0.734260037,0.785572662,0.819781198,0.852767899,0,0.000,0.000845370,0.000845370,0.005700140,0.016493097,0.032506697,0.053317922,0.078028996,0.105031031
17,9,0.500000000,CW,1,0.500000000,-0.500000000,54989349,350,425,150,-0.001231439,0.038038090,0.426383919,0.523584833,0.431383919,7,7.000,6.775,6.775,0.533584833,8,8.000,7.430,7.430,5,5.000,135.850433,27.170087,2,2.000,0.086632513,0.119859100,7,7.000,178.372651,5,5,1.308473349,0.014098770,twitch_only;clean_onset,0.009773844,-0.015882496,-0.025656341,-0.009773844,0.041538838,0.147829399,0.293215305,0.471587956,0.615752161,0.712268889,0.799011707,0.882089436,0.949284554,1.003040791,1.029918790,1.061683774,0,0.000,0.000678547,0.000678547,0.004985935,0.018243826,0.040100572,0.070450907,0.108212882,0.151021877
18,9,0.500000000,CCW,-1,-0.500000000,0.500000000,55761349,350,422,150,0.001231439,0.041660765,0.553382808,0.809433115,0.558382808,9,9.000,8.468,8.468,0.819433115,15,15.000,14.014,14.014,,,153.963718,30.792744,2,2.000,0.072306739,0.076700112,7,7.000,125.838250,4,5,1.059240341,0.020793853,no_derivative_onset;twitch_only,-0.024434609,-0.035430182,-0.020769419,0.010995574,0.070860364,0.146607652,0.265115499,0.390953749,0.514348507,0.608421803,0.697608113,0.756251216,0.770911872,0.785572648,0.818559468,0.879645944,0,0.000,0.001241358,0.001241358,0.005127658,0.015102831,0.031380030,0.053801586,0.081063124,0.110766394
19,10,0.500000000,CW,1,0.500000000,-0.500000000,56540349,350,429,150,-0.000009708,0.038038090,0.463035850,0.565514572,0.468035850,7,7.000,6.927,6.927,0.575514572,8,8.000,7.569,7.569,5,5.000,149.435350,29.887070,3,3.000,0.095892000,0.151275425,7,7.000,217.468053,5,6,1.301142977,0.013121385,twitch_only;clean_onset,0.039095373,0.034208451,-0.006108652,-0.028099801,-0.006108652,0.091629789,0.266337232,0.483805285,0.645073638,0.731816576,0.790459619,0.846659229,0.911410973,0.992045150,1.064127252,1.110552953,0,0.000,0.000573134,0.000573134,0.003976975,0.017627389,0.040294537,0.070426023,0.106435781,0.146608020
20,10,0.500000000,CCW,-1,-0.500000000,0.500000000,57316349,350,426,150,-0.000601157,0.042566434,0.527787558,0.810312724,0.532787558,8,8.000,7.680,7.680,0.820312724,14,14.000,13.461,13.461,,,163.020374,32.604075,2,2.000,0.072352060,0.115627589,6,6.000,169.820540,5,6,1.075733653,0.031154127,no_derivative_onset;twitch_only,0.021380284,0.038484509,0.027488936,0.003054326,0.006719518,0.095905839,0.265726379,0.433103434,0.579711131,0.654236666,0.678671232,0.672562650,0.693332008,0.776409737,0.871704689,0.949895433,0,0.000,0.001198261,0.001198261,0.005751952,0.017797391,0.036048895,0.058369385,0.082789048,0.108096658
21,1,0.550000012,CW,1,0.550000012,-0.550000012,58091349,350,425,150,-0.001231439,0.039849427,0.503352940,0.623473499,0.508352940,7,7.000,6.829,6.829,0.633473499,8,8.000,7.377,7.377,5,5.000,144.907016,28.981403,3,3.000,0.111643295,0.175210880,7,7.000,249.232978,5,5,1.511280537,0.014245377,twitch_only;clean_onset,0.030543262,0.034208454,0.007330383,-0.018325957,-0.002443461,0.100181893,0.301767439,0.551000416,0.769690156,0.853989601,0.908967495,0.948062837,1.026253581,1.115439892,1.220508695,1.320690632,0,0.000,0.000903615,0.000903615,0.005525810,0.024133966,0.055044686,0.095064638,0.141427273,0.192237739
22,1,0.550000012,CCW,-1,-0.550000012,0.550000012,58862349,350,421,150,0.000009708,0.041660766,0.634078100,0.918496945,0.639078100,8,8.000,7.316,7.316,0.928496945,13,13.000,12.812,12.812,,,163.020385,32.604077,2,2.000,0.085567441,0.221429775,7,7.000,217.468023,5,5,1.172861173,0.028002062,no_derivative_onset;twitch_only,0.028099801,0.023212879,0.007330383,-0.015882497,0.012217305,0.163711890,0.372627809,0.590095832,0.745255604,0.792903080,0.781907513,0.784350946,0.849102690,0.946841135,1.050688221,1.110552981,0,0.000,0.003074062,0.003074062,0.013351595,0.034152257,0.062438947,0.094916302,0.129475265,0.165592463
23,2,0.550000012,CW,1,0.550000012,-0.550000012,59648349,350,436,150,-0.000009708,0.036226752,0.485943311,0.631084884,0.490943311,7,7.000,6.855,6.855,0.641084884,8,8.000,7.750,7.750,5,5.000,135.850349,27.170070,3,3.000,0.109536862,0.110980636,7,7.000,221.133202,5,5,1.543045686,0.023237313,twitch_only;clean_onset,-0.003665191,-0.021991150,-0.031764993,-0.014660766,0.045204029,0.141720728,0.301767425,0.522900627,0.680503891,0.790459619,0.890641496,0.976162658,1.042136119,1.115439937,1.172861145,1.235169456,0,0.000,0.000438714,0.000438714,0.004453793,0.019959653,0.046498141,0.083455925,0.129324500,0.181389068
24,2,0.550000012,CCW,-1,-0.550000012,0.550000012,60418349,350,420,150,-0.001822888,0.038038091,0.680564916,0.917495148,0.685564916,8,8.000,7.606,7.606,0.927495148,13,13.000,12.269,12.269,,,144.907010,28.981402,2,2.000,0.088816848,0.281868961,7,7.000,263.893813,5,5,1.145372217,0.012217305,no_derivative_onset;twitch_only,0.033597588,0.040927971,0.016493361,-0.007941248,0.006719518,0.116675263,0.302378272,0.566272085,0.762970691,0.847270077,0.868039494,0.849713510,0.898582762,1.006095117,1.106276935,1.145372217,0,0.000,0.002323651,0.002323651,0.009808613,0.030135761,0.060733132,0.098060049,0.138751228,0.180927059
