step_id,phase_id,repeat_index,speed_bin,direction,direction_sign,amplitude,command_yaw_proxy,left_command,right_command,start_time_us,end_time_us,command_samples,pre_samples,available_stationary_pre_samples,post_samples,pre_corrected_gyro_mean_radps,pre_corrected_gyro_std_radps,response_threshold_radps,response_delay_samples,response_delay_ms,initial_yaw_accel_plus2_radps2,initial_yaw_accel_same_radps2,initial_yaw_accel_plus1_radps2,initial_yaw_accel_plus2_check_radps2,peak_directional_yaw_rate_radps,peak_sample_from_onset,steady_last50_directional_yaw_rate_radps,rise_time_10_90_ms,time_constant_63_ms,max_abs_encoder_pre_mps,max_abs_encoder_cmd_mps,mean_left_encoder_cmd_mps,mean_right_encoder_cmd_mps,mean_left_target_cmd_mps,mean_right_target_cmd_mps,mean_left_feedforward,mean_right_feedforward,mean_left_feedback,mean_right_feedback,stale_sensor_rows,mode_flags_counts,saturation_flags_counts,imu_status_counts,quality_flags
1,20,1,0.500000000,CW,1,0.500000000,0.500000000,0.500000000,-0.500000000,42634349,42983349,350,150,315,150,0.000022871,0.026327823,0.131639113,6,6.000,53.986145276,59.729340101,57.422394735,53.986145276,1.174050341,21,0.006784677,0.000,5.000,0.000000000,0.070465595,0.003573612,-0.004580264,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,-0.500000000,0,4:350,0:350,0:7;1:2;3:320;7:21,impulse_only_not_sustained
2,20,1,-0.500000000,CCW,-1,0.500000000,-0.500000000,-0.500000000,0.500000000,43402349,43751349,350,150,418,150,0.000788489,0.027649999,0.138249993,6,6.000,45.279987408,49.643689987,47.814281824,45.279987408,0.957413182,21,0.003803654,0.000,0.000,0.000000000,0.064593457,-0.001426089,0.006459346,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.500000000,0,4:350,0:350,3:328;7:22,impulse_only_not_sustained
3,20,2,0.500000000,CW,1,0.500000000,0.500000000,0.500000000,-0.500000000,44180349,44529349,350,150,428,150,0.000650026,0.025127140,0.125635699,6,6.000,62.117027668,65.394452475,64.384665488,62.117027668,1.280935541,25,0.004251622,0.000,4.000,0.005872133,0.064593457,0.003540057,-0.006442568,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,-0.500000000,0,4:350,0:350,3:329;7:21,impulse_only_not_sustained
4,20,2,-0.500000000,CCW,-1,0.500000000,-0.500000000,-0.500000000,0.500000000,44951349,45300349,350,150,421,150,-0.000213330,0.025496597,0.127482986,6,6.000,48.763513035,55.877703185,53.048069049,48.763513035,1.078584375,18,0.009203703,0.000,3.000,0.000000000,0.070465595,-0.001912638,0.004915814,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.500000000,0,4:350,0:350,3:329;7:21,impulse_only_not_sustained
5,20,3,0.500000000,CW,1,0.500000000,0.500000000,0.500000000,-0.500000000,45724349,46073349,350,150,423,150,-0.000148171,0.024655775,0.123278874,6,6.000,63.696778086,69.730000959,67.355594843,63.696778086,1.324494230,21,0.004438954,0.000,5.000,0.000000000,0.082209855,0.003489725,-0.005670802,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,-0.500000000,0,4:350,0:350,3:328;7:22,impulse_only_not_sustained
6,20,3,-0.500000000,CCW,-1,0.500000000,-0.500000000,-0.500000000,0.500000000,46496349,46845349,350,150,422,150,-0.000213330,0.025225866,0.126129331,6,6.000,50.938191941,55.115448298,53.307287116,50.938191941,1.063923659,26,0.011573860,0.000,4.000,0.000000000,0.064593457,-0.002600516,0.005553360,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.500000000,0,4:350,0:350,0:6;1:2;3:320;7:22,impulse_only_not_sustained
7,20,4,0.500000000,CW,1,0.500000000,0.500000000,0.500000000,-0.500000000,47270349,47619349,350,150,424,150,0.000389390,0.024138994,0.120694968,5,5.000,58.279731467,66.332528433,63.045542705,58.279731467,1.308074296,20,0.011305079,0.000,4.000,0.000000000,0.088081986,0.003321949,-0.005788245,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,-0.500000000,0,4:350,0:350,0:6;1:3;3:319;7:22,impulse_only_not_sustained
8,20,4,-0.500000000,CCW,-1,0.500000000,-0.500000000,-0.500000000,0.500000000,48041349,48390349,350,150,421,150,-0.000416952,0.025502939,0.127514693,5,5.000,46.306240376,52.653926903,49.849258270,46.306240376,1.045393993,26,0.011296934,1.000,4.000,0.000000000,0.058721326,-0.002701181,0.005301697,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.500000000,0,4:350,0:350,0:7;1:2;3:319;7:22,impulse_only_not_sustained
9,20,5,0.500000000,CW,1,0.500000000,0.500000000,0.500000000,-0.500000000,48811349,49160349,350,150,420,150,0.000202058,0.024174934,0.120874670,5,5.000,58.304166169,67.399683443,63.485365708,58.304166169,1.276496643,22,0.012689707,0.000,1.000,0.000000000,0.082209855,0.003389059,-0.005654025,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,-0.500000000,0,4:350,0:350,0:6;1:3;3:320;7:21,impulse_only_not_sustained
10,20,5,-0.500000000,CCW,-1,0.500000000,-0.500000000,-0.500000000,0.500000000,49585349,49934349,350,150,424,150,-0.000506545,0.025106723,0.125533617,5,5.000,47.068494881,52.894556210,50.551489181,47.068494881,1.056300026,25,0.001995493,0.000,3.000,0.000000000,0.058721326,-0.002801846,0.005167477,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.500000000,0,4:350,0:350,0:6;1:3;3:321;7:20,impulse_only_not_sustained
11,20,6,0.500000000,CW,1,0.500000000,0.500000000,0.500000000,-0.500000000,50351349,50700349,350,150,416,150,0.000210203,0.024012757,0.120063787,5,5.000,59.041985803,67.360376723,63.909254267,59.041985803,1.298479632,20,0.012705997,0.000,4.000,0.000000000,0.088081986,0.003254839,-0.005771468,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,-0.500000000,0,4:350,0:350,0:7;1:2;3:320;7:21,impulse_only_not_sustained
12,20,6,-0.500000000,CCW,-1,0.500000000,-0.500000000,-0.500000000,0.500000000,51123349,51472349,350,150,422,150,-0.000294779,0.025849698,0.129248491,5,5.000,47.197041671,53.520293372,50.951472549,47.197041671,1.046737942,25,0.005676974,0.000,3.000,0.000000000,0.052849196,-0.002617293,0.005402362,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.500000000,0,4:350,0:350,0:7;1:1;3:320;5:1;7:21,impulse_only_not_sustained
13,20,7,0.500000000,CW,1,0.500000000,0.500000000,0.500000000,-0.500000000,51894349,52243349,350,150,421,150,0.000373101,0.024165214,0.120826069,6,6.000,59.240117608,67.525044152,64.021864363,59.240117608,1.281212467,23,0.011639019,0.000,1.000,0.000000000,0.088081986,0.003271617,-0.005637247,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,-0.500000000,0,4:350,0:350,0:6;1:3;3:319;7:22,impulse_only_not_sustained
14,20,7,-0.500000000,CCW,-1,0.500000000,-0.500000000,-0.500000000,0.500000000,52670349,53019349,350,150,426,150,-0.000319213,0.025980929,0.129904647,5,5.000,47.588525297,54.180558894,51.481065372,47.588525297,1.055265582,24,0.006312274,0.000,3.000,0.000000000,0.052849196,-0.002600516,0.005435917,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.500000000,0,4:350,0:350,0:6;1:3;3:319;7:22,impulse_only_not_sustained
15,20,8,0.500000000,CW,1,0.500000000,0.500000000,0.500000000,-0.500000000,53444349,53793349,350,150,424,150,0.000641882,0.023948272,0.119741360,5,5.000,59.890821574,68.023827360,64.619449184,59.890821574,1.300491387,20,0.014644476,0.000,4.000,0.000000000,0.082209855,0.003573612,-0.005419140,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,-0.500000000,0,4:350,0:350,0:7;1:3;3:318;7:22,impulse_only_not_sustained
