model,family,physical_yaw_loss,params,feature_count,train_target_r2,train_target_rmse_nm,train_target_mae_nm,primary_baseline_rmse_nm,primary_corrected_rmse_nm,primary_rmse_delta_fraction,validation_baseline_rmse_nm,validation_corrected_rmse_nm,validation_rmse_delta_fraction,validation_worsened_abs_residual_fraction,selected_physical,best_nonzero_physical,selected_signed_diagnostic
E1_viscous_yaw_rate_nnls,pure_loss_viscous,True,loss = k_yaw * |yaw_rate|,1,-0.022838747593891817,0.036389146602405754,0.02460187897883639,0.036866176895009706,0.036866176895009706,0.0,0.05023383204822011,0.05023383204822011,0.0,0.0,True,False,False
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,pure_loss_contact_faded,True,loss = gate_vrel(0.01) * [tau_c*tanh(|yaw|/0.5) + k_yaw*|yaw|],2,0.018764729854337858,0.0356414086231995,0.02390884182439877,0.036866176895009706,0.03656154789066484,-0.008263102659448851,0.05023383204822011,0.05109324454426015,0.01710824082094864,0.694020740075495,False,True,False
E5_contact_faded_loss_nnls_yaw0_1_vrel0_0.01,pure_loss_contact_faded,True,loss = gate_vrel(0.01) * [tau_c*tanh(|yaw|/1) + k_yaw*|yaw|],2,0.020282037810854248,0.035613841373720125,0.023865082714634896,0.036866176895009706,0.036530499197012144,-0.009105302645119107,0.05023383204822011,0.0510964853480784,0.017172755186787736,0.6922105440410873,False,False,False
E5_contact_faded_loss_nnls_yaw0_0.25_vrel0_0.01,pure_loss_contact_faded,True,loss = gate_vrel(0.01) * [tau_c*tanh(|yaw|/0.25) + k_yaw*|yaw|],2,0.01802844083827837,0.03565477822856358,0.023935709143968777,0.036866176895009706,0.03657751450109761,-0.00783000620688623,0.05023383204822011,0.051104846586337044,0.017339201542116767,0.6950591471029847,False,False,False
E5_contact_faded_loss_nnls_yaw0_0.1_vrel0_0.01,pure_loss_contact_faded,True,loss = gate_vrel(0.01) * [tau_c*tanh(|yaw|/0.1) + k_yaw*|yaw|],2,0.01732352879589316,0.03566757339222387,0.023957431824844354,0.036866176895009706,0.036583295625829834,-0.007673192422026354,0.05023383204822011,0.05111601513995993,0.017561532850868478,0.6959291638016923,False,False,False
E5_contact_faded_loss_nnls_yaw0_0.05_vrel0_0.01,pure_loss_contact_faded,True,loss = gate_vrel(0.01) * [tau_c*tanh(|yaw|/0.05) + k_yaw*|yaw|],2,0.016960801998066155,0.035674155615060044,0.023949734944525215,0.036866176895009706,0.03658567609122578,-0.0076086219784263776,0.05023383204822011,0.05111887093931895,0.01761838297045082,0.6948346266646086,False,False,False
E5_contact_faded_loss_nnls_yaw0_2_vrel0_0.01,pure_loss_contact_faded,True,loss = gate_vrel(0.01) * [tau_c*tanh(|yaw|/2) + k_yaw*|yaw|],2,0.0209813891349806,0.035601128003937714,0.02383464248520384,0.036866176895009706,0.036523586874707865,-0.009292800316059169,0.05023383204822011,0.05112641645889656,0.01776859089347682,0.6905968033902586,False,False,False
E5_contact_faded_loss_nnls_yaw0_2_vrel0_0.25,pure_loss_contact_faded,True,loss = gate_vrel(0.25) * [tau_c*tanh(|yaw|/2) + k_yaw*|yaw|],2,-0.016286601492737418,0.03627240773956935,0.02448416695098132,0.036866176895009706,0.03681582399938013,-0.0013658290571592069,0.05023383204822011,0.05146039182546028,0.024417005974435302,0.6429423403449195,False,False,False
E5_contact_faded_loss_nnls_yaw0_0.05_vrel0_0.03,pure_loss_contact_faded,True,loss = gate_vrel(0.03) * [tau_c*tanh(|yaw|/0.05) + k_yaw*|yaw|],2,0.012799712972580535,0.035749578133065466,0.02424525758248404,0.036866176895009706,0.03658076075588086,-0.007741951109866196,0.05023383204822011,0.05149898450215147,0.02518526662901066,0.7158693852349747,False,False,False
E5_contact_faded_loss_nnls_yaw0_2_vrel0_0.5,pure_loss_contact_faded,True,loss = gate_vrel(0.5) * [tau_c*tanh(|yaw|/2) + k_yaw*|yaw|],2,-0.017827424274804216,0.03629989417119392,0.02451575519317045,0.036866176895009706,0.03681778881856179,-0.001312533072949651,0.05023383204822011,0.05151958388368349,0.025595336510046973,0.6417215104612491,False,False,False
E5_contact_faded_loss_nnls_yaw0_2_vrel0_0.03,pure_loss_contact_faded,True,loss = gate_vrel(0.03) * [tau_c*tanh(|yaw|/2) + k_yaw*|yaw|],2,0.012526894769530283,0.035754517587629146,0.023863266917229713,0.036866176895009706,0.03656335988327257,-0.008213952116584267,0.05023383204822011,0.05154104612154802,0.026022583188021642,0.669407687018509,False,False,False
E5_contact_faded_loss_nnls_yaw0_0.1_vrel0_0.03,pure_loss_contact_faded,True,loss = gate_vrel(0.03) * [tau_c*tanh(|yaw|/0.1) + k_yaw*|yaw|],2,0.017181907065744073,0.03567014347587742,0.024102281072461658,0.036866176895009706,0.03654400799402892,-0.008738874711589517,0.05023383204822011,0.05157724728739252,0.026743236269191062,0.7102283092207737,False,False,False
E5_contact_faded_loss_nnls_yaw0_2_vrel0_0.12,pure_loss_contact_faded,True,loss = gate_vrel(0.12) * [tau_c*tanh(|yaw|/2) + k_yaw*|yaw|],2,-0.010501860324851453,0.03616902847241033,0.02435575134819904,0.036866176895009706,0.036777684482577594,-0.0024003685731809332,0.05023383204822011,0.05157846452709251,0.026767467741295903,0.647965985153586,False,False,False
E5_contact_faded_loss_nnls_yaw0_2_vrel0_0.06,pure_loss_contact_faded,True,loss = gate_vrel(0.06) * [tau_c*tanh(|yaw|/2) + k_yaw*|yaw|],2,0.00021890823402914705,0.035976651911545345,0.024117549459580067,0.036866176895009706,0.03667773811065025,-0.00511142733612191,0.05023383204822011,0.05167173170685084,0.028624128401163462,0.6569608352160308,False,False,False
E5_contact_faded_loss_nnls_yaw0_1_vrel0_0.03,pure_loss_contact_faded,True,loss = gate_vrel(0.03) * [tau_c*tanh(|yaw|/1) + k_yaw*|yaw|],2,0.018145508195340665,0.03565265284365542,0.02378180954032102,0.036866176895009706,0.03650377374329694,-0.009830234166803953,0.05023383204822011,0.05167595221430866,0.028708145631896942,0.6770975120328923,False,False,False
E2_smooth_coulomb_nnls_yaw0_2,pure_loss_smooth_coulomb,True,loss = tau_c * tanh(|yaw_rate|/2),1,-0.018130662565501554,0.036305301128140316,0.024520499115954043,0.036866176895009706,0.03681148549737224,-0.0014835115068541072,0.05023383204822011,0.051693928638610026,0.029066000558913174,0.6413987623310835,False,False,False
E3_coulomb_viscous_nnls_yaw0_2,pure_loss_coulomb_viscous,True,loss = tau_c * tanh(|yaw_rate|/2) + k_yaw * |yaw_rate|,2,-0.018130662565501554,0.036305301128140316,0.024520499115954043,0.036866176895009706,0.03681148549737224,-0.0014835115068541072,0.05023383204822011,0.051693928638610026,0.029066000558913174,0.6413987623310835,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_1_vf0_0.1_vrel0_0.03,pure_loss_forward_contact_faded,True,loss = gate_vf(0.1)*gate_vrel(0.03) * [tau_c*tanh(|yaw|/1) + k_yaw*|yaw|],2,0.011777896669260879,0.035768074913577606,0.02395078821481435,0.036866176895009706,0.03641734825533724,-0.012174537136049546,0.05023383204822011,0.05173489418803892,0.029881497759874698,0.6697023700938776,False,False,False
