model,physical_yaw_loss,run_id,present,dataset_split,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_delta_nm,rmse_delta_fraction,mae_delta_fraction,worsened_abs_residual_fraction,negative_opposes_target_fraction,mean_abs_forward_mps,mean_abs_yaw_radps,mean_vbar_rel_mps,limiter_activity_fraction,saturation_evidence_fraction
E1_viscous_yaw_rate_nnls,True,2026-05-04_20-35-47,True,open_floor_fit_downweighted,3456,1,0.035845955637305665,0.035845955637305665,0.028876796463541667,0.028876796463541667,0.025485003,0.025485003,0.0093600005,0.0093600005,0.0,0.0,0.0,0.0,0.3347800925925926,0.023725556809027777,0.7376013878932292,0.01790442397048611,0.1640625,0.0
E1_viscous_yaw_rate_nnls,True,2026-05-04_16-57-53,True,open_floor_validation_only,1761,1,0.023277853453219116,0.023277853453219116,0.017940518580919933,0.017940518580919933,0.013238941,0.013238941,-0.000686103,-0.000686103,0.0,0.0,0.0,0.0,0.4190800681431005,0.025699333497444635,0.20357318062521293,0.005339175442362294,0.0,0.0
E1_viscous_yaw_rate_nnls,True,2026-04-22_12-10-34,True,open_floor_fit_downweighted,2187,1,0.016217132966177106,0.016217132966177106,0.013081637973022406,0.013081637973022406,0.011327229,0.011327229,-0.003115615,-0.003115615,0.0,0.0,0.0,0.0,0.4170096021947874,0.15626128881801557,0.09586310631961592,0.006166391465020576,0.0004572473708276177,0.0
E1_viscous_yaw_rate_nnls,True,2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative,1031,1,0.04497527944035794,0.04497527944035794,0.033356145290009694,0.033356145290009694,0.026813516,0.026813516,0.009991152,0.009991152,0.0,0.0,0.0,0.0,0.20659553831231814,0.15968818493792436,0.1587313461842871,0.06493651432298739,0.09990300678952474,0.0
E1_viscous_yaw_rate_nnls,True,2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative,8880,1,0.04258417382836225,0.04258417382836225,0.036559892826801804,0.036559892826801804,0.034704941,0.034704941,0.0121550075,0.0121550075,0.0,0.0,0.0,0.0,0.40146396396396394,0.07913227737105856,0.5092112057031531,0.0579159675902027,0.12376126126126126,0.00990990990990991
E1_viscous_yaw_rate_nnls,True,2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative,3757,1,0.039823975586254654,0.039823975586254654,0.02832533189938781,0.02832533189938781,0.019252263,0.019252263,0.008941154,0.008941154,0.0,0.0,0.0,0.0,0.5411232366249668,0.25208360496433324,3.6858287971903114,0.13220882928134148,0.5373968591961672,0.025552302368911366
E1_viscous_yaw_rate_nnls,True,2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative,2925,1,0.04035482301988178,0.04035482301988178,0.027066004325470086,0.027066004325470086,0.015359407,0.015359407,0.003674954,0.003674954,0.0,0.0,0.0,0.0,0.534017094017094,0.2219686208728205,2.7550732062851284,0.14066791857777777,0.4379487179487179,0.0423931623931624
E1_viscous_yaw_rate_nnls,True,2026-04-20_08-38-39,True,open_floor_fit_downweighted,7284,1,0.05622535775152191,0.05622535775152191,0.042291618721306976,0.042291618721306976,0.036814327499999994,0.036814327499999994,0.0001673695,0.0001673695,0.0,0.0,0.0,0.0,0.6661175178473366,0.12395488302429984,1.3186069497152664,0.1881613612725151,0.7174629324546952,0.24533223503569468
E1_viscous_yaw_rate_nnls,True,diag003,True,diag_validation_only,5580,1,0.08523812922205401,0.08523812922205401,0.07495094215232975,0.07495094215232975,0.085086003,0.085086003,-0.0124400895,-0.0124400895,0.0,0.0,0.0,0.0,0.9362007168458781,0.0724930982078853,1.7445218456989247,0.14853280284623657,0.4528673835125448,0.0
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,2026-05-04_20-35-47,True,open_floor_fit_downweighted,3456,1,0.035845955637305665,0.033484174511214895,0.028876796463541667,0.02660427471356701,0.025485003,0.022039232584871706,0.0093600005,0.008040901891045161,-0.00236178112609077,-0.06588696225559165,-0.07869715578886394,0.36400462962962965,0.3347800925925926,0.023725556809027777,0.7376013878932292,0.01790442397048611,0.1640625,0.0
