model,physical_yaw_loss,dataset_split,physics_phase,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_delta_nm,rmse_delta_fraction,mae_delta_fraction,worsened_abs_residual_fraction,negative_opposes_target_fraction,mean_abs_forward_mps,mean_abs_yaw_radps,mean_vbar_rel_mps,limiter_activity_fraction,saturation_evidence_fraction
E1_viscous_yaw_rate_nnls,True,primary_open_floor_fit_authoritative,all,47317,15,0.036866176895009706,0.036866176895009706,0.02548019573643722,0.02548019573643722,0.016044602,0.016044602,0.001648731,0.001648731,0.0,0.0,0.0,0.0,0.4399264534945157,0.15498930087156837,1.1536885722850985,0.06434694058900606,0.22560601897837987,0.02660777310480377
E1_viscous_yaw_rate_nnls,True,primary_open_floor_fit_authoritative,entry,9719,15,0.045837011822076036,0.045837011822076036,0.033563032683506536,0.033563032683506536,0.024289024,0.024289024,0.002079796,0.002079796,0.0,0.0,0.0,0.0,0.43492128819837433,0.1725330480034983,2.0897999453165963,0.11807413750005144,0.4275131186336043,0.0772713242103097
E1_viscous_yaw_rate_nnls,True,primary_open_floor_fit_authoritative,plateau,26778,15,0.02877127129678063,0.02877127129678063,0.01901283047434461,0.01901283047434461,0.011055656,0.011055656,0.001152246,0.001152246,0.0,0.0,0.0,0.0,0.44316229740832025,0.15072555894585107,0.34914718978336695,0.027642599578683993,0.06419448801254761,0.005377548734035402
E1_viscous_yaw_rate_nnls,True,primary_open_floor_fit_authoritative,exit,10820,15,0.044806900200245255,0.044806900200245255,0.03422566844436229,0.03422566844436229,0.0273970075,0.0273970075,0.004929683,0.004929683,0.0,0.0,0.0,0.0,0.43641404805914974,0.14978290557689464,2.3039605414291127,0.1069249643224584,0.44371534195933454,0.03364140480591497
E1_viscous_yaw_rate_nnls,True,open_floor_fit_downweighted,all,31165,9,0.043194073119807955,0.043194073119807955,0.027849684910123535,0.027849684910123535,0.013314394,0.013314394,0.000637863,0.000637863,0.0,0.0,0.0,0.0,0.5634205037702551,0.14014116558347503,1.0892859061414728,0.10936460570707525,0.3940959409594096,0.11933258463019412
E1_viscous_yaw_rate_nnls,True,open_floor_fit_downweighted,entry,8341,9,0.05617769021464853,0.05617769021464853,0.04154216224553411,0.04154216224553411,0.030788281,0.030788281,0.001756669,0.001756669,0.0,0.0,0.0,0.0,0.607720896774967,0.14753458239287853,1.740586256748831,0.1659548515026975,0.6568756743795708,0.21292410981896656
E1_viscous_yaw_rate_nnls,True,open_floor_fit_downweighted,plateau,14651,9,0.024365235700422493,0.024365235700422493,0.013101952217527814,0.013101952217527814,0.005601714,0.005601714,0.000276839,0.000276839,0.0,0.0,0.0,0.0,0.5209883284417446,0.130458483794212,0.35834077538243125,0.03299810333397038,0.09637567401542557,0.021705003071462697
E1_viscous_yaw_rate_nnls,True,open_floor_fit_downweighted,exit,8173,9,0.053191308370772995,0.053191308370772995,0.04031268236816346,0.04031268236816346,0.031938671,0.031938671,0.002346486,0.002346486,0.0,0.0,0.0,0.0,0.594273828459562,0.1499530438763,1.7348971732814145,0.18850646133989968,0.6596109139850728,0.19882540070965374
E1_viscous_yaw_rate_nnls,True,open_floor_validation_only,all,14542,9,0.016930709100069437,0.016930709100069437,0.010368821404827396,0.010368821404827396,0.005201232,0.005201232,-0.000858939,-0.000858939,0.0,0.0,0.0,0.0,0.49546142208774585,0.06525636914674735,0.1009015616793426,0.005613574213450694,0.0037821482602118004,0.0026818869481501856
E1_viscous_yaw_rate_nnls,True,open_floor_validation_only,entry,2104,9,0.022224834525144614,0.022224834525144614,0.014874971672053231,0.014874971672053231,0.008434416,0.008434416,-0.0029512495,-0.0029512495,0.0,0.0,0.0,0.0,0.498574144486692,0.07493181464591255,0.18615188961739546,0.010074947466730037,0.009980988593155894,0.006178707224334601
