group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_corrected_rmse_nm,run_balanced_baseline_mae_nm,run_balanced_corrected_mae_nm,prediction_rmse_nm,improvement_fraction_rmse,run_balanced_improvement_fraction_rmse,dataset_split,physics_phase
primary_open_floor_fit_authoritative:entry,9719,15,0.045837011822076036,0.03268310146353895,0.033563032683506536,0.023663896978878492,0.024289024,0.01683410956910092,0.002079796,0.0011920103952797953,0.04444032551655561,0.032332413660153776,0.03276459267597492,0.02337396774546642,0.037825210696986265,0.28697137609223244,0.2724532666146021,primary_open_floor_fit_authoritative,entry
primary_open_floor_fit_authoritative:plateau,26778,15,0.02877127129678063,0.017333017429398676,0.01901283047434461,0.012097217623615746,0.011055656,0.008123963703244976,0.001152246,0.0004890884635755664,0.027360804754732918,0.016416408933560018,0.017221749651449555,0.011361951867030262,0.01845006165090394,0.397558166595921,0.4000027016485953,primary_open_floor_fit_authoritative,plateau
primary_open_floor_fit_authoritative:exit,10820,15,0.044806900200245255,0.029003276956280424,0.03422566844436229,0.021818765269687117,0.0273970075,0.01717056431713724,0.004929683,0.00016185768351620658,0.046870907374884654,0.028427638681252684,0.03530335997391631,0.0212048687704217,0.03492257684801241,0.3527051229461825,0.3934907542138736,primary_open_floor_fit_authoritative,exit
open_floor_fit_downweighted:entry,8341,9,0.05617769021464853,0.04169185080823837,0.04154216224553411,0.03023043453853184,0.030788281,0.021346878370866455,0.001756669,-2.7378971845513564e-05,0.05045155520528007,0.03774285315055045,0.03529574227022102,0.026373339769565546,0.05353906479459737,0.25785751160400916,0.25189911397220077,open_floor_fit_downweighted,entry
open_floor_fit_downweighted:plateau,14651,9,0.024365235700422493,0.017928561954551524,0.013101952217527814,0.010271574037100993,0.005601714,0.005120819917782646,0.000276839,0.00010273659077025006,0.0300316955801011,0.020384774258601312,0.016295480966661127,0.012063896756919566,0.022233383365438092,0.26417449127156845,0.32122466398107086,open_floor_fit_downweighted,plateau
open_floor_fit_downweighted:exit,8173,9,0.053191308370772995,0.04272955282316044,0.04031268236816346,0.03129201232612538,0.031938671,0.023061715103328384,0.002346486,-0.0010210899075420374,0.04883560305667177,0.03952239024990935,0.035128827980906926,0.02772784978713608,0.05531305925486302,0.19668167352997412,0.19070539163722033,open_floor_fit_downweighted,exit
open_floor_validation_only:entry,2104,9,0.022224834525144614,0.018485230959459014,0.014874971672053231,0.012470540292260234,0.008434416,0.007584198679912062,-0.0029512495,-0.0017142017516500237,0.01824042718705866,0.015598492901743534,0.011469998868770138,0.00988135559093327,0.009248143820768282,0.16826238060196608,0.14483949625859327,open_floor_validation_only,entry
open_floor_validation_only:plateau,10533,9,0.013256838243914581,0.011421021809951805,0.007978205793411184,0.007263827178239795,0.004279471,0.004218741393158539,-0.000330051,-0.00021564248111110882,0.01156851501424637,0.010237434425551415,0.007267384669839376,0.006742983788867853,0.004540023649711382,0.13848071464592915,0.11506062680091245,open_floor_validation_only,plateau
open_floor_validation_only:exit,1905,9,0.025901922754757487,0.022091988701608996,0.01860998364776903,0.016246467987476133,0.012153925,0.011103360485303302,-0.004435259,-0.003885343492929649,0.02057822921555085,0.017627388730248397,0.012631491629640652,0.011243294014326187,0.008783200041415924,0.1470907812219735,0.14339622979184818,open_floor_validation_only,exit
diag_validation_only:entry,3215,3,0.10590823322237675,0.040940697331422145,0.10058718607029549,0.03254771168829825,0.110339143,0.028744871278273368,-0.026745843,-0.002941926064815456,0.10646405756718443,0.041292508747845146,0.10108682037947934,0.03272162866173932,0.08437517190532681,0.6134323452884113,0.6121460172435434,diag_validation_only,entry
diag_validation_only:plateau,4712,3,0.06448450059620303,0.03291141723320084,0.05078566537882004,0.025479661083884438,0.0456507775,0.02152529793846964,-0.0027473784999999997,-0.0008504021555700526,0.06450444400934474,0.03281604960792286,0.0507981318775319,0.02542462672859111,0.04648499756245357,0.4896228251919078,0.4912590890145676,diag_validation_only,plateau
diag_validation_only:exit,3181,3,0.08665455675983384,0.0441523442238492,0.08083872540270355,0.0377056048974569,0.087034652,0.036304718095470756,-0.03620564,-0.0064073765925490855,0.08588159039467541,0.043881719560800864,0.07977528568108279,0.037455732199428673,0.06219954429966642,0.49047867908182863,0.4890439341057954,diag_validation_only,exit
aux_downweighted_validation:entry,2710,13,0.07408321980038726,0.03899984172793533,0.05146439698413284,0.022699639949209954,0.027799833,0.012791914939564275,-0.0034258485,-0.002752275794219963,0.07680196933800228,0.03938337478844656,0.05570042632598336,0.024279883954930415,0.05119989213794654,0.4735671339202314,0.48720878998399164,aux_downweighted_validation,entry
aux_downweighted_validation:plateau,8708,13,0.03722139915039368,0.022328328420807925,0.023270042604501606,0.014525148158923447,0.011437506,0.008212242481815648,-0.000406586,-0.0008913551623675455,0.04668534957696826,0.02861511651645128,0.029686732108730834,0.018362271277369384,0.022978246546876184,0.4001211955899362,0.3870643194119241,aux_downweighted_validation,plateau
aux_downweighted_validation:exit,3030,13,0.06034861345329037,0.03298343314359811,0.04471765567821782,0.02340359793070874,0.030535899,0.015987064916137553,-0.0065930465,-0.004411763363976549,0.0649163270772011,0.036155704623361755,0.049237146996194296,0.026071201434967776,0.04294359078073277,0.4534516825456615,0.44304143115854444,aux_downweighted_validation,exit
