rel_speed_scale_mps,forward_speed_scale_mps,q_tanh_scale_m2ps,ridge_lambda,train_count,train_baseline_rmse_nm,train_corrected_rmse_nm,train_r2_vs_zero_correction,holdout_count,holdout_baseline_rmse_nm,holdout_corrected_rmse_nm,holdout_r2_vs_zero_correction
0.025,0.06,0.0008,1e-07,65646,0.0389325863,0.0331297244,0.275882346,12836,0.0422858618,0.0302398287,0.488591099
0.025,0.06,0.0008,1e-05,65646,0.0389325863,0.0331299132,0.275874092,12836,0.0422858618,0.0302402563,0.488576639
0.025,0.06,0.0008,0.001,65646,0.0389325863,0.0331491901,0.275031171,12836,0.0422858618,0.0302886569,0.486938226
0.025,0.06,0.0025,1e-07,65646,0.0389325863,0.0330417699,0.279722092,12836,0.0422858618,0.0302197193,0.489271044
0.025,0.06,0.0025,1e-05,65646,0.0389325863,0.0330419821,0.279712838,12836,0.0422858618,0.030223177,0.489154164
0.025,0.06,0.0025,0.001,65646,0.0389325863,0.0330651432,0.278702703,12836,0.0422858618,0.0305015171,0.479701577
0.025,0.06,0.008,1e-07,65646,0.0389325863,0.0329916294,0.28190646,12836,0.0422858618,0.0311955989,0.455752699
0.025,0.06,0.008,1e-05,65646,0.0389325863,0.0329967156,0.28168503,12836,0.0422858618,0.0312114765,0.45519855
0.025,0.06,0.008,0.001,65646,0.0389325863,0.0331571801,0.274681649,12836,0.0422858618,0.031556127,0.443100254
0.025,0.18,0.0008,1e-07,65646,0.0389325863,0.0331027724,0.277060049,12836,0.0422858618,0.0302265965,0.489038564
0.025,0.18,0.0008,1e-05,65646,0.0389325863,0.0331029079,0.277054128,12836,0.0422858618,0.0302267747,0.489032537
0.025,0.18,0.0008,0.001,65646,0.0389325863,0.0331164906,0.276460733,12836,0.0422858618,0.030251719,0.488188849
0.025,0.18,0.0025,1e-07,65646,0.0389325863,0.032988649,0.282036195,12836,0.0422858618,0.0301139863,0.49283868
0.025,0.18,0.0025,1e-05,65646,0.0389325863,0.0329888053,0.282029392,12836,0.0422858618,0.0301137667,0.492846075
0.025,0.18,0.0025,0.001,65646,0.0389325863,0.033013186,0.280967754,12836,0.0422858618,0.030315518,0.486027816
0.025,0.18,0.008,1e-07,65646,0.0389325863,0.0328658719,0.287370484,12836,0.0422858618,0.0313624932,0.449913752
0.025,0.18,0.008,1e-05,65646,0.0389325863,0.0328704704,0.28717105,12836,0.0422858618,0.0312774922,0.452891482
0.025,0.18,0.008,0.001,65646,0.0389325863,0.0331108626,0.276706637,12836,0.0422858618,0.0315625144,0.442874784
0.025,0.45,0.0008,1e-07,65646,0.0389325863,0.0329602047,0.283273784,12836,0.0422858618,0.0300458895,0.495129774
0.025,0.45,0.0008,1e-05,65646,0.0389325863,0.0329601713,0.283275235,12836,0.0422858618,0.0300453655,0.495147386
0.025,0.45,0.0008,0.001,65646,0.0389325863,0.0329583265,0.283355463,12836,0.0422858618,0.0300532272,0.49488315
0.025,0.45,0.0025,1e-07,65646,0.0389325863,0.0328219039,0.289275923,12836,0.0422858618,0.0299256608,0.499162171
0.025,0.45,0.0025,1e-05,65646,0.0389325863,0.0328219564,0.289273646,12836,0.0422858618,0.0299164901,0.499469084
0.025,0.45,0.0025,0.001,65646,0.0389325863,0.0328332809,0.288783122,12836,0.0422858618,0.0301378006,0.492036229
0.025,0.45,0.008,1e-07,65646,0.0389325863,0.0326368121,0.29726926,12836,0.0422858618,0.0312184507,0.454955049
0.025,0.45,0.008,1e-05,65646,0.0389325863,0.0326568105,0.296407791,12836,0.0422858618,0.0310313525,0.461468592
0.025,0.45,0.008,0.001,65646,0.0389325863,0.0329504856,0.283696407,12836,0.0422858618,0.0314233416,0.447777164
0.06,0.06,0.0008,1e-07,65646,0.0389325863,0.0327919866,0.290570985,12836,0.0422858618,0.0311037592,0.458952505
0.06,0.06,0.0008,1e-05,65646,0.0389325863,0.0327923039,0.290557256,12836,0.0422858618,0.0311017871,0.459021113
0.06,0.06,0.0008,0.001,65646,0.0389325863,0.0328274272,0.289036697,12836,0.0422858618,0.0309489575,0.464324633
0.06,0.06,0.0025,1e-07,65646,0.0389325863,0.0328378722,0.2885842,12836,0.0422858618,0.030878951,0.466745284
0.06,0.06,0.0025,1e-05,65646,0.0389325863,0.0328380809,0.288575157,12836,0.0422858618,0.030878609,0.466757097
0.06,0.06,0.0025,0.001,65646,0.0389325863,0.0328659779,0.287365886,12836,0.0422858618,0.030872566,0.466965791
0.06,0.06,0.008,1e-07,65646,0.0389325863,0.0328482134,0.288136055,12836,0.0422858618,0.0307037715,0.472778541
0.06,0.06,0.008,1e-05,65646,0.0389325863,0.0328481429,0.288139112,12836,0.0422858618,0.0307041235,0.472766451
0.06,0.06,0.008,0.001,65646,0.0389325863,0.0328768571,0.28689402,12836,0.0422858618,0.0307688603,0.470540862
0.06,0.18,0.0008,1e-07,65646,0.0389325863,0.0327958526,0.290403703,12836,0.0422858618,0.0308238593,0.468646365
0.06,0.18,0.0008,1e-05,65646,0.0389325863,0.0327961186,0.29039219,12836,0.0422858618,0.0308226546,0.468687899
0.06,0.18,0.0008,0.001,65646,0.0389325863,0.0328237234,0.28919712,12836,0.0422858618,0.0307289675,0.471912893
0.06,0.18,0.0025,1e-07,65646,0.0389325863,0.0328104087,0.289773668,12836,0.0422858618,0.0305666693,0.477476456
0.06,0.18,0.0025,1e-05,65646,0.0389325863,0.0328105813,0.289766196,12836,0.0422858618,0.0305669289,0.47746758
0.06,0.18,0.0025,0.001,65646,0.0389325863,0.0328290594,0.288965998,12836,0.0422858618,0.0305980859,0.476401798
0.06,0.18,0.008,1e-07,65646,0.0389325863,0.0327446746,0.292616626,12836,0.0422858618,0.0305179984,0.479139146
0.06,0.18,0.008,1e-05,65646,0.0389325863,0.0327417636,0.292742394,12836,0.0422858618,0.0305209979,0.479036753
0.06,0.18,0.008,0.001,65646,0.0389325863,0.0327829132,0.290963524,12836,0.0422858618,0.0306484724,0.474675938
0.06,0.45,0.0008,1e-07,65646,0.0389325863,0.0326788866,0.29545621,12836,0.0422858618,0.0305129247,0.479312321
0.06,0.45,0.0008,1e-05,65646,0.0389325863,0.0326789281,0.295454417,12836,0.0422858618,0.0305124237,0.479329417
