dataset_split,motion_bucket,count,baseline_rmse_nm,corrected_rmse_nm,rmse_delta_nm,rmse_delta_pct,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,r2_vs_zero_correction,worsened_abs_residual_fraction,mean_prediction_nm,rmse_prediction_nm
aux_downweighted_validation,high_forward_low_yaw,113,0.0599532186,0.0437244494,-0.0162287693,-27.0690542,0.0325628776,0.0200250091,0.01283053,0.0120256099,-0.005544932,0.00140075429,0.468107715,0.362831858,-0.024286094,0.058852042
aux_downweighted_validation,high_forward_yaw,47,0.150027616,0.131899685,-0.0181279308,-12.0830626,0.106628152,0.0662707035,0.093580717,0.0396702285,-0.047375719,0.0045858451,0.227061212,0.170212766,-0.0264261006,0.0822828564
aux_downweighted_validation,low_forward_yaw,2288,0.0869966813,0.0628929965,-0.0241036848,-27.7064417,0.0744876029,0.0528602972,0.086675905,0.0576996884,-0.0220193595,-0.0172812268,0.477364143,0.119318182,-0.00522663883,0.0292521001
aux_downweighted_validation,low_motion,5514,0.0337605208,0.0295462708,-0.00421425001,-12.4827755,0.0230984553,0.0210717097,0.014933862,0.0145236655,-0.0014647045,-0.00147501165,0.234073541,0.252266957,-0.00131719559,0.00654681727
aux_downweighted_validation,mostly_forward,4258,0.0233474537,0.0184820959,-0.00486535782,-20.8389227,0.0125802522,0.0105579118,0.006840209,0.00630455476,0.0006558495,0.000778403158,0.373352383,0.373649601,-0.00107970009,0.00861706458
aux_downweighted_validation,moving_yaw,2228,0.0689315192,0.0482810941,-0.0206504251,-29.9578848,0.0527595078,0.0352674284,0.0408573535,0.0279291488,-0.0054311555,4.61191904e-05,0.50941021,0.153052065,-0.00525902974,0.0295388735
diag_validation_only,high_forward_low_yaw,5,0.0119211964,0.0105311362,-0.00139006016,-11.6604082,0.0116137394,0.0093550398,0.012912865,0.00554305956,-0.009987132,-0.00545874445,0.219611651,0.4,-0.00298744856,0.00405256094
diag_validation_only,low_forward_yaw,5472,0.102939285,0.0781731171,-0.024766168,-24.0590053,0.0991365332,0.0750017754,0.106979192,0.0794233448,-0.058720824,-0.0444168279,0.423296532,0.0222953216,-0.00308687439,0.0259757616
diag_validation_only,low_motion,1991,0.0535010992,0.0497575996,-0.00374349962,-6.99705179,0.0466368877,0.0434751654,0.046460443,0.0430175089,-0.000380465,-8.75516505e-05,0.135045162,0.0868910095,3.31563243e-05,0.00452143702
diag_validation_only,mostly_forward,1542,0.0188215892,0.016594359,-0.00222723024,-11.8333804,0.0131274177,0.0116092076,0.008293264,0.00757212932,-0.000693653,-0.000210754844,0.222664718,0.33463035,-0.000516501054,0.00417551341
diag_validation_only,moving_yaw,2098,0.0854280327,0.0530565045,-0.0323715283,-37.8933323,0.078268896,0.0472161282,0.0802767685,0.0473738954,-0.01836733,-0.00695549671,0.614276182,0.012392755,-0.00198705022,0.0398701741
open_floor_fit_downweighted,high_forward_low_yaw,658,0.0273600799,0.0234870088,-0.00387307111,-14.1559203,0.0157080661,0.0138485241,0.008944049,0.0084585142,0.00071773,0.000838268282,0.263079399,0.430091185,0.000206845415,0.0230826959
open_floor_fit_downweighted,high_forward_yaw,213,0.083987529,0.0659469492,-0.0180405798,-21.4800697,0.0704742911,0.0507103466,0.068689642,0.0373021764,0.015321047,0.000526430616,0.383462055,0.328638498,0.00924456844,0.0589702126
open_floor_fit_downweighted,low_forward_yaw,4976,0.0590995454,0.0506796078,-0.00841993762,-14.2470429,0.0483733127,0.0405083051,0.0425836755,0.0345657424,0.0025988565,0.00151084855,0.264643036,0.413384244,-0.000232781237,0.0230964901
open_floor_fit_downweighted,low_motion,4303,0.0311853545,0.0292628163,-0.00192253816,-6.16487511,0.0209287062,0.0199058472,0.01256519,0.012138656,0.000783956,0.000716056489,0.119496934,0.439693237,-0.000214587229,0.0107993111
open_floor_fit_downweighted,mostly_forward,12701,0.0222119396,0.0145268267,-0.00768511285,-34.5990174,0.0107981207,0.0081233015,0.005084044,0.00442592517,0.000240209,0.000208417744,0.572271148,0.360129124,4.51216693e-05,0.0183883258
open_floor_fit_downweighted,moving_yaw,8314,0.0583628548,0.0500345681,-0.00832828668,-14.2698412,0.0450661223,0.0366239902,0.03636595,0.0263696493,0.003517111,-0.000126027741,0.265033987,0.377074814,0.00285006787,0.0375917214
open_floor_validation_only,low_forward_yaw,1636,0.0280814123,0.0286355885,0.000554176189,1.97346267,0.0233569301,0.0236614885,0.0220907615,0.0218999261,-0.0164707045,-0.0168279619,-0.0398587089,0.5,0.000343881065,0.00383341738
open_floor_validation_only,low_motion,6420,0.0186075202,0.0185092171,-9.83030876e-05,-0.528297627,0.0117775311,0.0116596372,0.0058923425,0.00571714845,-0.0006601355,-0.000648114506,0.0105380427,0.46728972,-3.53836408e-05,0.00192424123
open_floor_validation_only,mostly_forward,6181,0.00758932437,0.0074022195,-0.000187104862,-2.46536916,0.00503988092,0.00459079056,0.003793246,0.003374284,-0.000133965,-9.58801625e-05,0.0486995787,0.393140269,-2.25550382e-05,0.00265102449
open_floor_validation_only,moving_yaw,305,0.0313354721,0.0368252882,0.00548981608,17.5194938,0.0190433109,0.0209359843,0.009867005,0.00830881189,-0.000945319,-0.000109520443,-0.381083141,0.521311475,-2.04267597e-05,0.00892880598
primary_open_floor_fit_authoritative,high_forward_low_yaw,1390,0.0325061395,0.0160371302,-0.0164690093,-50.6643039,0.0185949453,0.0115874221,0.010242058,0.00925354341,0.0023826505,0.00204539601,0.756598909,0.430215827,0.00461473872,0.0274126016
primary_open_floor_fit_authoritative,high_forward_yaw,182,0.054914898,0.0344767952,-0.0204381028,-37.2177743,0.0441099097,0.0244374218,0.0389556665,0.0172862223,0.015538644,-0.00153744851,0.605839213,0.32967033,0.019484622,0.0580986352
primary_open_floor_fit_authoritative,low_forward_yaw,5332,0.0483869919,0.0442752989,-0.00411169301,-8.49751731,0.0391729656,0.0342544355,0.0348019065,0.0280128325,0.000160989,0.000524007533,0.162729566,0.393473368,0.000461041053,0.0161804275
primary_open_floor_fit_authoritative,low_motion,8551,0.0387774352,0.032659308,-0.0061181272,-15.7775448,0.0299555228,0.0235875574,0.02712668,0.0181416602,0.002038401,0.000608510619,0.290657803,0.252602035,0.00113796601,0.0108668991
primary_open_floor_fit_authoritative,mostly_forward,21067,0.0277722435,0.019288337,-0.00848390646,-30.5481495,0.016541416,0.0126479625,0.008593692,0.00801841868,0.00067375,0.000642879553,0.517644047,0.386243889,0.000635771833,0.0153035878
primary_open_floor_fit_authoritative,moving_yaw,10795,0.0437908038,0.0346679418,-0.00912286197,-20.832826,0.033188838,0.0259448319,0.025585241,0.0201139541,0.007722458,0.00171857964,0.373255857,0.401760074,0.00462098597,0.0291955078
