range_name,range_definition,candidate_label,count,finite_count,run_count,baseline_rmse_nm,candidate_rmse_nm,baseline_mae_nm,candidate_mae_nm,baseline_median_abs_nm,candidate_median_abs_nm,rmse_improvement_fraction
calibration_low_vf_nonzero_yaw,abs(Vf)<0.15 and abs(YawRate)>=0.1,contact_patch_true_traction_testbed,41686,41686,49,0.05926178689106933,0.03325577339431224,0.04485926614230197,0.02251698181223761,0.034056,0.013998340533692801,0.43883275987879744
in_place_scrub,abs(Vf)<0.05 and abs(YawRate)>=0.2,contact_patch_true_traction_testbed,19704,19704,49,0.07350293824740096,0.03672699812818361,0.06093638546954933,0.026185167689179497,0.054369194499999995,0.018880051108586003,0.5003329254054376
slow_forward_turn,0.15<=abs(Vf)<0.70 and abs(YawRate)>=0.1,contact_patch_true_traction_testbed,19582,19582,48,0.05320639516316499,0.031777608521188626,0.037575009092023284,0.02076744466639565,0.02426097,0.012997101865904654,0.4027483270810198
pre_design_turn_speed,0.70<=abs(Vf)<0.95 and abs(YawRate)>=0.1,contact_patch_true_traction_testbed,99,99,14,0.0948787194087833,0.07592748474728303,0.06326070582828282,0.04425997229672568,0.048873949,0.030148038224878822,0.19974167842473933
design_turn_speed_and_up,abs(Vf)>=0.95 and abs(YawRate)>=0.1,contact_patch_true_traction_testbed,4,4,2,0.07119353534301606,0.08303890052102231,0.064856226,0.06265271980379115,0.071372305,0.04933359493041802,-0.16638259528669763
fast_forward,abs(Vf)>=1.50,contact_patch_true_traction_testbed,0,0,0,,,,,,,
straightish_forward,abs(YawRate)<0.05 and abs(Vf)>=0.05,contact_patch_true_traction_testbed,21746,21746,47,0.024100230475114524,0.013132130795086957,0.012090499429458291,0.00922562709097842,0.005326237,0.007174049571668786,0.4551035182569326
limiter_active,max_force_limiter_activity>0 or limiter_active>0,contact_patch_true_traction_testbed,31216,31216,44,0.07460143692454368,0.04377902217357769,0.061413888111064845,0.03303662860501921,0.053156194000000004,0.026260569528945534,0.4131611403429349
hardware_saturation_evidence,hardware_saturation_evidence>0,contact_patch_true_traction_testbed,5017,5017,24,0.06367306128234744,0.05570028724057678,0.05109065278532988,0.04497013436672221,0.043237809,0.038984847959084995,0.12521424101814013
may4_latest_logs,"run_id in {2026-05-04_20-35-47, 2026-05-04_16-57-53}",contact_patch_true_traction_testbed,5217,5217,2,0.032157544166236535,0.015282841274715516,0.02518525240540541,0.011162922945356651,0.020284213,0.008447186261369824,0.524750982360103
