dataset_split,vf_bin,yaw_rate_bin,af_bin,yaw_accel_bin,merge_level,rows,run_count,raw_quality_sum,final_weight_sum,priority,calibration_row_share
open_floor_fit_downweighted,"[-0.05,0.05)","[-0.1,0.1)",*,*,sparse_vf_yaw_capped,1295,1,1286.4778478895778,24.0,0.35,0.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-0.5,-0.1)",*,*,sparse_vf_yaw_capped,621,1,619.3044907191369,24.0,0.35,1.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-1.5,-0.5)",*,*,sparse_vf_yaw_capped,156,1,156.0,24.0,0.35,1.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-3,-1.5)",*,*,sparse_vf_yaw_capped,137,1,96.06525609629136,24.0,0.35,1.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-5,-3)",*,*,sparse_vf_yaw_capped,72,1,28.060286942465094,24.0,0.35,1.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-8,-5)",*,*,sparse_vf_yaw_capped,36,1,10.496158973792081,24.0,0.35,1.0
open_floor_fit_downweighted,"[-0.05,0.05)","[0.1,0.5)",*,*,sparse_vf_yaw_capped,389,1,387.0217065049665,24.0,0.35,1.0
open_floor_fit_downweighted,"[-0.05,0.05)","[0.5,1.5)",*,*,sparse_vf_yaw_capped,144,1,143.9006688723711,24.0,0.35,1.0
open_floor_fit_downweighted,"[-0.05,0.05)","[1.5,3)",*,*,sparse_vf_yaw_capped,119,1,86.79098155128071,24.0,0.35,1.0
open_floor_fit_downweighted,"[-0.05,0.05)","[3,5)",*,*,sparse_vf_yaw_capped,55,1,20.611548767746534,24.0,0.35,1.0
open_floor_fit_downweighted,"[-0.05,0.05)","[5,8)",*,*,sparse_vf_yaw_capped,59,1,17.34560874301964,24.0,0.35,1.0
open_floor_fit_downweighted,"[-0.05,0.05)","[8,12)",*,*,sparse_vf_yaw_capped,5,1,1.3056654850083964,24.0,0.35,1.0
open_floor_fit_downweighted,"[-0.15,-0.05)","[-0.1,0.1)",*,*,sparse_vf_yaw_capped,77,1,77.0,24.0,0.35,0.0
open_floor_fit_downweighted,"[-0.15,-0.05)","[-0.5,-0.1)",*,*,sparse_vf_yaw_capped,28,1,28.0,24.0,0.35,1.0
open_floor_fit_downweighted,"[-0.15,-0.05)","[-1.5,-0.5)",*,*,sparse_vf_yaw_capped,4,1,4.0,24.0,0.35,1.0
