group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,rmse_delta_vs_baseline_pct,corrected_mae_nm,corrected_median_abs_nm,run_balanced_corrected_rmse_nm,median_pred_opposes_nm,mean_blend
calibration_low_vf_nonzero_yaw,41686,49,0.05926178689106934,0.03325577339431224,-43.883275987879756,0.022516981812237612,0.013998340533692801,0.03203227734975793,-0.0006919939234147879,0.23851579360154634
in_place_scrub,19704,49,0.07350293824740096,0.03672699812818361,-50.033292540543755,0.02618516768917949,0.018880051108586003,0.0376650187078914,-0.02656876047208392,0.21713983875829132
slow_forward_turn,19582,48,0.05320639516316499,0.03177760852118863,-40.274832708101975,0.02076744466639565,0.012997101865904654,0.026150285862760362,-0.005585996474673213,0.1470171484431716
pre_design_turn_speed,99,14,0.0948787194087833,0.07592748474728303,-19.974167842473936,0.04425997229672568,0.030148038224878822,0.05002745412207679,-0.05661834784919121,0.042933241533857185
design_turn_speed_and_up,4,2,0.07119353534301606,0.08303890052102232,16.63825952866978,0.06265271980379114,0.04933359493041802,0.08303890052102232,0.04344181473231809,0.08599531404969799
fast_forward,0,0,nan,nan,nan,nan,nan,nan,nan,
straightish_forward,21746,47,0.024100230475114524,0.013132130795086959,-45.510351825693256,0.00922562709097842,0.007174049571668786,0.013611672472134535,0.0031441504977852293,0.19496915525199915
limiter_active,31216,44,0.07460143692454368,0.04377902217357769,-41.316114034293484,0.033036628605019214,0.026260569528945534,0.044153830262768645,-0.03236241108516049,0.21760863409489498
hardware_saturation_evidence,5017,24,0.06367306128234744,0.055700287240576775,-12.521424101814022,0.04497013436672221,0.038984847959084995,0.049917077685373436,-0.04075083834924907,0.2823401573348871
may4_latest_logs,5217,2,0.032157544166236535,0.015282841274715514,-52.475098236010304,0.011162922945356651,0.008447186261369824,0.014403611846949204,0.010734638259118027,0.3434707547467699
