model,dataset_split,run_id,date,fit_rows,effective_weight_sum,effective_weight_fraction,latest_2026_05_04
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-10_18-08-20,2026-04-10,197,0.8256345177664985,0.062069509390875625,no
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-12_20-14-49,2026-04-12,3306,0.8573238052026971,0.06445184501491451,no
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-12_22-27-00,2026-04-12,3583,0.8626458275187938,0.06485194373537623,no
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-13_16-42-46,2026-04-13,4024,0.834803677932444,0.06275882804311196,no
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-14_04-43-48,2026-04-14,3275,0.8773465648855341,0.06595711501443816,no
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-14_05-26-35,2026-04-14,3106,0.8650072440437904,0.06502947018566388,no
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-20_12-10-58,2026-04-20,2925,0.9169136752136322,0.0689316892034188,no
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-21_00-16-10,2026-04-21,3757,0.92351277615123,0.06942779607492608,no
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-21_01-09-34,2026-04-21,3296,0.9147641080096831,0.0687700891505131,no
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-21_02-46-49,2026-04-21,2746,0.8857110342315901,0.06658593866152743,no
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-21_04-14-05,2026-04-21,2593,0.8987707288854805,0.06756773971576928,no
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-21_05-32-06,2026-04-21,8880,0.8953279842343903,0.06730892123513053,no
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-21_05-59-46,2026-04-21,3521,0.9027833001988151,0.06786939659596894,no
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-21_23-39-12,2026-04-21,1077,0.9227019498607401,0.06936683981768518,no
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,2026-04-22_01-06-32,2026-04-22,1031,0.9185257032007905,0.06905287816068036,no
variant_c_combined_slip_surface,primary_open_floor_fit_authoritative,2026-04-10_18-08-20,2026-04-10,197,0.8256345177664985,0.062069509390875625,no
variant_c_combined_slip_surface,primary_open_floor_fit_authoritative,2026-04-12_20-14-49,2026-04-12,3306,0.8573238052026971,0.06445184501491451,no
variant_c_combined_slip_surface,primary_open_floor_fit_authoritative,2026-04-12_22-27-00,2026-04-12,3583,0.8626458275187938,0.06485194373537623,no
variant_c_combined_slip_surface,primary_open_floor_fit_authoritative,2026-04-13_16-42-46,2026-04-13,4024,0.834803677932444,0.06275882804311196,no
variant_c_combined_slip_surface,primary_open_floor_fit_authoritative,2026-04-14_04-43-48,2026-04-14,3275,0.8773465648855341,0.06595711501443816,no
variant_c_combined_slip_surface,primary_open_floor_fit_authoritative,2026-04-14_05-26-35,2026-04-14,3106,0.8650072440437904,0.06502947018566388,no
variant_c_combined_slip_surface,primary_open_floor_fit_authoritative,2026-04-20_12-10-58,2026-04-20,2925,0.9169136752136322,0.0689316892034188,no
variant_c_combined_slip_surface,primary_open_floor_fit_authoritative,2026-04-21_00-16-10,2026-04-21,3757,0.92351277615123,0.06942779607492608,no
variant_c_combined_slip_surface,primary_open_floor_fit_authoritative,2026-04-21_01-09-34,2026-04-21,3296,0.9147641080096831,0.0687700891505131,no
variant_c_combined_slip_surface,primary_open_floor_fit_authoritative,2026-04-21_02-46-49,2026-04-21,2746,0.8857110342315901,0.06658593866152743,no
variant_c_combined_slip_surface,primary_open_floor_fit_authoritative,2026-04-21_04-14-05,2026-04-21,2593,0.8987707288854805,0.06756773971576928,no
variant_c_combined_slip_surface,primary_open_floor_fit_authoritative,2026-04-21_05-32-06,2026-04-21,8880,0.8953279842343903,0.06730892123513053,no
