dataset_split,run_id,date,family,schema,recommendation,sample_rows,min_row_index,max_row_index,limiter_active_rows,hardware_saturation_rows,gyro_spike_rows,max_abs_forward_mps,max_abs_yaw_radps,max_vbar_rel_mps,entry_rows,plateau_rows,exit_rows,source_path,source_input_rows,source_kept_rows,source_extracted_samples,source_sampled_rows_written,source_bias_radps,source_bias_rows,source_cutoff_reason,quality_schema_kind,quality_reason,fan_source,fan_duty_min,fan_duty_max,watchdog_flags_present,saturation_flags_present,cmd_angular_zero_fraction_moving_yaw,selected_log,recency_bucket
aux_downweighted_validation,aux000,,competition_aux,legacy_competition,validation_only_downweighted,583,8,16375,178,0,3,0.789482,19.850677,1.750037192,107,338,138,TestResults\Competition Testing Data\aux000.csv,16388,16388,15020,583,0.004887000,1023,kept through final sensor-active row,legacy_competition_sample,legacy schema; path/procedure-dependent aux audit runs,metadata,0.800000,0.800000,no,no,0.057292,no,legacy_diag_or_aux
aux_downweighted_validation,aux001,,competition_aux,legacy_competition,validation_only_downweighted,1503,91,40126,509,0,4,0.7456565,14.497054,1.160410353,278,913,312,TestResults\Competition Testing Data\aux001.csv,40173,40173,36846,1503,0.003665000,2906,kept through final sensor-active row,legacy_competition_sample,legacy schema; path/procedure-dependent aux audit runs,metadata,0.800000,0.800000,no,no,0.060237,no,legacy_diag_or_aux
aux_downweighted_validation,aux002,,competition_aux,legacy_competition,validation_only_downweighted,1953,16,53362,325,0,8,0.969823,20.029049,1.724703412,372,1144,437,TestResults\Competition Testing Data\aux002.csv,53366,53366,49201,1953,0.004887000,4337,kept through final sensor-active row,legacy_competition_sample,legacy schema; path/procedure-dependent aux audit runs,metadata,0.800000,0.800000,no,no,0.092433,no,legacy_diag_or_aux
aux_downweighted_validation,aux003,,competition_aux,legacy_competition,validation_only_downweighted,1449,3,37665,382,0,7,0.7168035,19.661307,1.688816333,289,832,328,TestResults\Competition Testing Data\aux003.csv,37677,37677,34895,1449,0.003665000,3111,kept through final sensor-active row,legacy_competition_sample,legacy schema; path/procedure-dependent aux audit runs,metadata,0.800000,0.800000,no,no,0.046666,no,legacy_diag_or_aux
aux_downweighted_validation,aux004,,competition_aux,legacy_competition,validation_only_downweighted,1641,29,42800,301,0,1,0.656905,16.851329,1.446028786,337,959,345,TestResults\Competition Testing Data\aux004.csv,42804,42804,39898,1641,0.003665000,3524,kept through final sensor-active row,legacy_competition_sample,legacy schema; path/procedure-dependent aux audit runs,metadata,0.800000,0.800000,no,no,0.102787,no,legacy_diag_or_aux
aux_downweighted_validation,aux005,,competition_aux,legacy_competition,validation_only_downweighted,997,5,27198,175,0,0,0.4749275,15.994895,1.421632886,171,617,209,TestResults\Competition Testing Data\aux005.csv,27221,27221,25510,997,0.000000000,1761,kept through final sensor-active row,legacy_competition_sample,legacy schema; path/procedure-dependent aux audit runs,metadata,0.800000,0.800000,no,no,0.096079,no,legacy_diag_or_aux
aux_downweighted_validation,aux006,,competition_aux,legacy_competition,validation_only_downweighted,1094,83,27168,217,0,1,0.606556,16.454265,1.415014963,167,732,195,TestResults\Competition Testing Data\aux006.csv,27170,27170,26162,1094,0.004887000,845,kept through final sensor-active row,legacy_competition_sample,legacy schema; path/procedure-dependent aux audit runs,metadata,0.800000,0.800000,no,no,0.046233,no,legacy_diag_or_aux
aux_downweighted_validation,aux007,,competition_aux,legacy_competition,validation_only_downweighted,756,19,20133,116,0,0,0.5123315,17.089567,1.494819381,126,472,158,TestResults\Competition Testing Data\aux007.csv,20158,20158,18923,756,-0.004887000,1763,kept through final sensor-active row,legacy_competition_sample,legacy schema; path/procedure-dependent aux audit runs,metadata,0.800000,0.800000,no,no,0.149413,no,legacy_diag_or_aux
aux_downweighted_validation,aux008,,competition_aux,legacy_competition,validation_only_downweighted,1358,21,34871,245,0,0,0.788249,13.126272,1.127006265,258,843,257,TestResults\Competition Testing Data\aux008.csv,34927,34927,33677,1358,0.003665000,1225,kept through final sensor-active row,legacy_competition_sample,legacy schema; path/procedure-dependent aux audit runs,metadata,0.800000,0.800000,no,no,0.104493,no,legacy_diag_or_aux
aux_downweighted_validation,aux009,,competition_aux,legacy_competition,validation_only_downweighted,1421,13,36698,360,0,7,0.518883,12.547172,1.072695711,296,820,305,TestResults\Competition Testing Data\aux009.csv,36735,36735,35227,1421,0.004887000,1373,kept through final sensor-active row,legacy_competition_sample,legacy schema; path/procedure-dependent aux audit runs,metadata,0.800000,0.800000,no,no,0.039724,no,legacy_diag_or_aux
