objective,rank,score,current_score,score_delta_vs_current_pct,velocity_kp,velocity_kd,heading_kp,heading_kd,yawrate_kp,yawrate_kd
balanced,1,138.2033923670258,11003.806160604321,-98.74404010439751,5.5,0.01,300.0,96.0,48.0,5.0
balanced,2,138.86812680218057,11003.806160604321,-98.73799915433484,5.5,0.01,300.0,96.0,42.0,5.0
balanced,3,139.09816233892175,11003.806160604321,-98.73590864552922,5.5,0.01,300.0,80.0,48.0,5.0
balanced,4,140.10053838548737,11003.806160604321,-98.7267992879857,5.5,0.01,300.0,64.0,48.0,5.0
balanced,5,140.19858394007764,11003.806160604321,-98.72590827306632,5.5,0.01,300.0,80.0,42.0,5.0
balanced,6,140.31508496558803,11003.806160604321,-98.7248495391718,5.5,0.01,300.0,96.0,36.0,5.0
balanced,7,140.98796307340547,11003.806160604321,-98.71873458132906,5.5,0.01,300.0,64.0,42.0,5.0
balanced,8,141.04664943501257,11003.806160604321,-98.71820125349004,5.5,0.01,300.0,48.0,48.0,5.0
balanced,9,141.51614815064113,11003.806160604321,-98.71393455968631,5.5,0.01,300.0,80.0,36.0,5.0
balanced,10,142.1788714883146,11003.806160604321,-98.70791188600411,5.5,0.01,300.0,48.0,42.0,5.0
balanced,11,142.33075883596194,11003.806160604321,-98.70653156954425,5.5,0.01,300.0,64.0,36.0,5.0
balanced,12,142.42386138790303,11003.806160604321,-98.70568547546932,5.5,0.01,300.0,32.0,48.0,5.0
balanced,13,143.31289857389598,11003.806160604321,-98.69760611480977,5.5,0.01,300.0,24.0,48.0,5.0
balanced,14,143.34777969728827,11003.806160604321,-98.69728912337169,5.5,0.01,450.0,96.0,48.0,5.0
balanced,15,143.65923712269972,11003.806160604321,-98.69445867160923,5.5,0.01,300.0,32.0,42.0,5.0
balanced,16,143.6732939276404,11003.806160604321,-98.69433092667501,5.5,0.01,300.0,48.0,36.0,5.0
balanced,17,143.7448107526626,11003.806160604321,-98.69368099860488,5.5,0.01,450.0,96.0,42.0,5.0
balanced,18,143.7613552539225,11003.806160604321,-98.69353064607212,5.5,0.01,450.0,80.0,48.0,5.0
balanced,19,144.77009346769336,11003.806160604321,-98.68436347065075,5.5,0.01,300.0,16.0,48.0,5.0
balanced,20,144.8257827779467,11003.806160604321,-98.68385737930889,5.5,0.01,450.0,64.0,48.0,5.0
balanced,21,144.849790394578,11003.806160604321,-98.68363920374054,5.5,0.01,450.0,96.0,36.0,5.0
balanced,22,144.96364972183977,11003.806160604321,-98.68260447697782,5.5,0.01,300.0,24.0,42.0,5.0
balanced,23,144.97341472597677,11003.806160604321,-98.68251573491898,5.5,0.01,450.0,80.0,42.0,5.0
balanced,24,145.55676053327397,11003.806160604321,-98.67721442554674,5.5,0.01,300.0,32.0,36.0,5.0
balanced,25,145.7237889351714,11003.806160604321,-98.67569651075017,5.5,0.01,450.0,64.0,42.0,5.0
balanced,26,146.2496192381497,11003.806160604321,-98.67091788874153,5.5,0.01,300.0,80.0,60.0,5.0
balanced,27,146.2660100070333,11003.806160604321,-98.67076893329244,5.5,0.01,300.0,96.0,60.0,5.0
balanced,28,146.26904749179232,11003.806160604321,-98.670741329346,5.5,0.01,450.0,80.0,36.0,5.0
balanced,29,146.31091332347233,11003.806160604321,-98.67036086252325,5.5,0.01,450.0,48.0,48.0,5.0
balanced,30,146.81930233664386,11003.806160604321,-98.66574074285056,5.5,0.01,300.0,8.0,48.0,5.0
balanced,31,146.85121781700678,11003.806160604321,-98.66545070247818,5.5,0.01,300.0,16.0,42.0,5.0
balanced,32,147.29743469777125,11003.806160604321,-98.66139558850897,5.5,0.01,450.0,64.0,36.0,5.0
balanced,33,147.301501204049,11003.806160604321,-98.6613586330572,5.5,0.01,300.0,24.0,36.0,5.0
balanced,34,147.46395169176037,11003.806160604321,-98.65988232126708,5.5,0.01,300.0,64.0,60.0,5.0
balanced,35,148.06059173280804,11003.806160604321,-98.65446019702807,5.5,0.01,450.0,48.0,42.0,5.0
balanced,36,148.30137353317707,11003.806160604321,-98.65227202870837,5.5,0.01,300.0,48.0,60.0,5.0
balanced,37,148.88289914776243,11003.806160604321,-98.64698726081897,5.5,0.01,600.0,80.0,48.0,5.0
balanced,38,148.94708661260356,11003.806160604321,-98.64640394024876,5.5,0.01,600.0,96.0,48.0,5.0
balanced,39,149.08929767391464,11003.806160604321,-98.64511155960123,5.5,0.01,600.0,96.0,42.0,5.0
balanced,40,149.3016901473479,11003.806160604321,-98.64318138680164,5.5,0.01,300.0,96.0,54.0,5.0
balanced,41,149.41412032691193,11003.806160604321,-98.64215964779676,5.5,0.01,300.0,32.0,60.0,5.0
balanced,42,149.46212031354946,11003.806160604321,-98.64172343521778,5.5,0.01,450.0,32.0,48.0,5.0
balanced,43,149.5975266902649,11003.806160604321,-98.640492893942,5.5,0.01,300.0,80.0,54.0,5.0
balanced,44,149.72594152509706,11003.806160604321,-98.63932589015295,5.5,0.01,300.0,8.0,42.0,5.0
balanced,45,149.82259116756086,11003.806160604321,-98.63844756095438,5.5,0.01,300.0,16.0,36.0,5.0
balanced,46,149.95841624338863,11003.806160604321,-98.6372132146396,5.5,0.01,600.0,96.0,36.0,5.0
balanced,47,150.10691700601697,11003.806160604321,-98.63586367466716,5.5,0.01,300.0,24.0,60.0,5.0
balanced,48,150.14206729269188,11003.806160604321,-98.63554423713651,5.5,0.01,300.0,0.0,48.0,5.0
balanced,49,150.240674468215,11003.806160604321,-98.63464811833832,5.5,0.01,450.0,48.0,36.0,5.0
balanced,50,150.5856064033103,11003.806160604321,-98.63151345811202,5.5,0.01,600.0,80.0,42.0,5.0
balanced,51,150.83814318701806,11003.806160604321,-98.62921846327094,5.5,0.01,300.0,16.0,60.0,5.0
balanced,52,150.87949610916118,11003.806160604321,-98.62884265764933,5.5,0.01,300.0,64.0,54.0,5.0
balanced,53,151.14291734311993,11003.806160604321,-98.62644874748668,5.5,0.01,600.0,64.0,48.0,5.0
balanced,54,151.21374720586104,11003.806160604321,-98.62580506236802,5.5,0.01,450.0,80.0,60.0,5.0
balanced,55,151.6215237468032,11003.806160604321,-98.62209928515793,5.5,0.01,450.0,32.0,42.0,5.0
balanced,56,151.6584368031351,11003.806160604321,-98.62176382799163,5.5,0.01,300.0,48.0,54.0,5.0
balanced,57,151.69858758536873,11003.806160604321,-98.62139894713451,5.5,0.01,450.0,24.0,48.0,5.0
balanced,58,151.82368809677033,11003.806160604321,-98.6202620631366,5.5,0.01,300.0,96.0,66.0,5.0
balanced,59,151.99038361165054,11003.806160604321,-98.61874717353888,5.5,0.01,300.0,8.0,60.0,5.0
balanced,60,152.2178256801873,11003.806160604321,-98.61668023356177,5.5,0.01,450.0,64.0,60.0,5.0
balanced,61,152.2356513056001,11003.806160604321,-98.61651823847431,5.5,0.01,450.0,96.0,60.0,5.0
balanced,62,152.26458899566748,11003.806160604321,-98.61625525955915,5.5,0.01,300.0,80.0,66.0,5.0
balanced,63,152.31315733458794,11003.806160604321,-98.61581388192843,5.5,0.01,600.0,80.0,36.0,5.0
balanced,64,152.44590904557623,11003.806160604321,-98.61460746562983,5.5,0.01,600.0,64.0,42.0,5.0
balanced,65,152.96479510300776,11003.806160604321,-98.60989195129,5.5,0.01,300.0,64.0,66.0,5.0
balanced,66,152.9665282536553,11003.806160604321,-98.60987620082491,5.5,0.01,300.0,32.0,54.0,5.0
balanced,67,153.02930742709893,11003.806160604321,-98.6093056784754,5.5,0.01,450.0,48.0,60.0,5.0
