objective,rank,score,current_score,score_delta_vs_current_pct,velocity_kp,velocity_kd,heading_kp,heading_kd,yawrate_kp,yawrate_kd
balanced,1,151.61854766638314,12001.78180670418,-98.73669968252806,5.5,0.01,300.0,112.0,48.0,5.0
balanced,2,151.78663907554878,12001.78180670418,-98.73529912874469,5.5,0.01,300.0,96.0,48.0,5.0
balanced,3,152.49865960049524,12001.78180670418,-98.72936650526917,5.5,0.01,300.0,96.0,42.0,5.0
balanced,4,152.56917525181214,12001.78180670418,-98.72877896208222,5.5,0.01,300.0,112.0,42.0,5.0
balanced,5,152.78181003939287,12001.78180670418,-98.727007268587,5.5,0.01,300.0,80.0,48.0,5.0
balanced,6,153.56276454121095,12001.78180670418,-98.72050028058807,5.5,0.01,300.0,112.0,36.0,5.0
balanced,7,153.8721866441227,12001.78180670418,-98.71792214587529,5.5,0.01,300.0,64.0,48.0,5.0
balanced,8,153.98953126337437,12001.78180670418,-98.71694441922484,5.5,0.01,300.0,80.0,42.0,5.0
balanced,9,154.09474341285403,12001.78180670418,-98.71606778147911,5.5,0.01,300.0,96.0,36.0,5.0
balanced,10,154.83316577581365,12001.78180670418,-98.70991517535069,5.5,0.01,300.0,64.0,42.0,5.0
balanced,11,154.90068732591735,12001.78180670418,-98.70935257930293,5.5,0.01,300.0,48.0,48.0,5.0
balanced,12,155.42092833344512,12001.78180670418,-98.70501788120637,5.5,0.01,300.0,80.0,36.0,5.0
balanced,13,156.13555732135123,12001.78180670418,-98.69906352376667,5.5,0.01,300.0,48.0,42.0,5.0
balanced,14,156.29753020092315,12001.78180670418,-98.69771395016016,5.5,0.01,300.0,64.0,36.0,5.0
balanced,15,156.3834428547489,12001.78180670418,-98.69699811766789,5.5,0.01,300.0,32.0,48.0,5.0
balanced,16,157.32876828624947,12001.78180670418,-98.68912157527838,5.5,0.01,300.0,24.0,48.0,5.0
balanced,17,157.38637847852027,12001.78180670418,-98.68864156161709,5.5,0.01,450.0,96.0,48.0,5.0
balanced,18,157.71155788883098,12001.78180670418,-98.68593213550396,5.5,0.01,300.0,32.0,42.0,5.0
balanced,19,157.75598667048152,12001.78180670418,-98.68556195062337,5.5,0.01,300.0,48.0,36.0,5.0
balanced,20,157.8042441141121,12001.78180670418,-98.68515986496303,5.5,0.01,450.0,96.0,42.0,5.0
balanced,21,157.84604256867377,12001.78180670418,-98.68481159622064,5.5,0.01,450.0,80.0,48.0,5.0
balanced,22,158.34546791729576,12001.78180670418,-98.68065033619554,5.5,0.01,450.0,112.0,48.0,5.0
balanced,23,158.88909163442446,12001.78180670418,-98.67612081111432,5.5,0.01,300.0,16.0,48.0,5.0
balanced,24,158.94448335342761,12001.78180670418,-98.6756592819856,5.5,0.01,450.0,112.0,42.0,5.0
balanced,25,158.97006986994873,12001.78180670418,-98.67544609266977,5.5,0.01,450.0,64.0,48.0,5.0
balanced,26,159.00851778832097,12001.78180670418,-98.67512574091708,5.5,0.01,450.0,96.0,36.0,5.0
balanced,27,159.10884232488593,12001.78180670418,-98.67428982723209,5.5,0.01,300.0,24.0,42.0,5.0
balanced,28,159.1740931218785,12001.78180670418,-98.6737461513176,5.5,0.01,450.0,80.0,42.0,5.0
balanced,29,159.40432611400826,12001.78180670418,-98.67182782788998,5.5,0.01,450.0,112.0,36.0,5.0
balanced,30,159.762644145934,12001.78180670418,-98.66884228759524,5.5,0.01,300.0,32.0,36.0,5.0
balanced,31,159.92273455023954,12001.78180670418,-98.66750839895367,5.5,0.01,450.0,64.0,42.0,5.0
balanced,32,160.46381189773916,12001.78180670418,-98.66300009046903,5.5,0.01,300.0,112.0,60.0,5.0
balanced,33,160.5493987927588,12001.78180670418,-98.66228697223043,5.5,0.01,450.0,48.0,48.0,5.0
