metric,value
model_artifact,transition_options/cubic_smoothstep_partition
model_form,partition_low_ref_same_window
model_transition_variable,speed_hypot
model_smoothstep,cubic
model_v0_mps,0.0
model_v1_mps,0.08
model_util_k,0.55
model_k_launch_nm,0.05771872812904492
model_in_place_extra_nm,0.05771872812904492
model_in_place_total_opposing_nm,0.07251297812904492
model_in_place_left_command,0.6
model_in_place_right_command,-0.6
model_in_place_max_abs_command,0.6
primary_baseline_rmse_nm,0.036866176895009706
primary_corrected_rmse_nm,0.018340962145958675
validation_baseline_rmse_nm,0.05023383204822011
validation_corrected_rmse_nm,0.028488509193164188
low_speed_baseline_rmse_nm,0.07350293824740096
low_speed_corrected_rmse_nm,0.03461490963209472
limiter_baseline_rmse_nm,0.07460143692454368
limiter_corrected_rmse_nm,0.04010136172864783
selected_log_corrected_rmse_median_nm,0.019099255138510005
launch_accel_median_radps2,115.2649565
launch_delay_median_s,0.005
launch_tau_median_s,0.02725
pdtuning_exe_newer_than_plant_source,False
source_has_variant_c_symbols,True
source_has_request_conditioned_inverse_helper,True
source_has_projected_yaw_moment,True
source_has_rational_gate,True
source_has_preprojection_utilization_storage,True
