rank,score,score_delta_vs_current_pct,velocity_kp,velocity_kd,heading_kp,heading_kd,yawrate_kp,yawrate_kd
1,137.5099003737535,-98.69971678358674,5.5,0.01,450.0,80.0,48.0,5.0
2,138.64877299300755,-98.68894769024566,5.5,0.01,450.0,64.0,48.0,5.0
3,140.19216774832066,-98.67435346618485,5.5,0.01,450.0,48.0,48.0,5.0
4,142.3623464255227,-98.65383242076983,5.5,0.01,600.0,80.0,48.0,5.0
5,143.3375590849333,-98.64461088362945,5.5,0.01,450.0,32.0,48.0,5.0
6,144.52689728264676,-98.63336459159578,5.5,0.01,450.0,80.0,60.0,5.0
7,144.65082545952026,-98.63219273612943,5.5,0.01,600.0,64.0,48.0,5.0
8,145.54570069245182,-98.62373086361697,5.5,0.01,450.0,24.0,48.0,5.0
9,145.60774196949893,-98.62314420599412,5.5,0.01,450.0,64.0,60.0,5.0
10,146.5033974953755,-98.61467495509059,5.5,0.01,450.0,48.0,60.0,5.0
11,147.2676402340421,-98.6074483335626,5.5,0.01,600.0,48.0,48.0,5.0
12,148.5852065090168,-98.59498952652976,5.5,0.01,450.0,32.0,60.0,5.0
13,149.26588881658336,-98.58855304611757,5.5,0.01,450.0,16.0,48.0,5.0
14,149.6593071998964,-98.5848329116439,5.5,0.01,600.0,80.0,60.0,5.0
15,150.1812726102723,-98.57989724620589,5.5,0.01,450.0,24.0,60.0,5.0
16,150.80187265826993,-98.57402889909544,5.5,0.01,600.0,64.0,60.0,5.0
17,151.93984534541647,-98.56326831544429,5.5,0.01,450.0,16.0,60.0,5.0
18,152.75877039518937,-98.55552462211874,5.5,0.01,600.0,48.0,60.0,5.0
19,153.23251819092366,-98.5510448987975,5.5,0.01,450.0,64.0,72.0,5.0
20,153.3358931624961,-98.5500673928858,5.5,0.01,600.0,32.0,48.0,5.0
