rank,branch,source,interpretation,k1,k2,k3,peak_frac,decay0,decay_v,vf_fade,slide_nm,peak_delta_nm,peak_extra_nm,train_rmse_nm,validation_non_authoritative_rmse_nm,primary_rmse_nm,open_floor_validation_rmse_nm,latest_may4_rmse_nm,launch_extra_nm,launch_total_nm,launch_left_command,launch_right_command,launch_max_abs_command,launch_target_abs_error,selected_score,acceptable,boundary_status
best_unresolved_boundary_base,optimized,best_full_objective_polished,line_reaches_x2,0.05561090887738511,6.1964119846596715,1.0154800222791405,0.9904063985682378,0.019658967757622183,0.0,1.0,0.0036605851430880146,0.0674333537239055,0.07109393886699353,0.031227557215790975,0.052641939906321406,0.03647888207901395,0.017473932194875842,0.031077886587939096,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.031227887535383508,True,k1:low;peak_frac:high;decay0:low
1,optimized,best_full_objective_polished,line_reaches_x2,0.05561090887738511,6.1964119846596715,1.0154800222791405,0.9904063985682378,0.019658967757622183,0.0,1.0,0.0036605851430880146,0.0674333537239055,0.07109393886699353,0.031227557215790975,0.052641939906321406,0.03647888207901395,0.017473932194875842,0.031077886587939096,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.031227887535383508,True,k1:low;peak_frac:high;decay0:low
2,optimized,nelder_mead_seed_11_coordinate_refined,line_reaches_x2,0.05890458961876881,6.199705665401055,1.0183990817001274,0.9904425969674683,0.019093893008330764,0.0,1.0,0.0032311870262067624,0.07651980035648209,0.07975098738268885,0.031229178965043933,0.05266353887304101,0.03647656195287133,0.017579212801392487,0.031130251449329155,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.03122957074919516,True,
3,optimized,nelder_mead_seed_7_coordinate_refined,line_reaches_x2,0.0005013360379153973,6.105220786220355,1.0184569878779146,0.9899782256213978,0.021346972989038596,0.0,1.0,0.0031708452751132224,0.07241841387038372,0.07558925914549694,0.031232932914105452,0.05266733195363236,0.036482567327230445,0.017555051032931947,0.031115954969587942,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.031232932914105452,True,
4,optimized,nelder_mead_seed_12_coordinate_refined,line_reaches_x2,0.7766549684977313,6.002378015082288,1.0181507751428351,0.9900850654203862,0.021016272750845066,0.0,1.0,0.0024114610227414304,0.07312447933738753,0.07553594036012895,0.031233851510649096,0.05252668639597037,0.036475793078071014,0.017541092644479693,0.031165612222301155,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.031233865982900587,True,
5,optimized,nelder_mead_seed_4_coordinate_refined,line_reaches_x2,0.18155844909978688,1.4205695715046678,1.0151360371855396,0.990466806323559,0.012709706418036164,0.0,1.0,0.0032390847899256767,0.0750133207694633,0.07825240555938898,0.03123407189759415,0.05251228248252896,0.03650597999900067,0.017360993725152603,0.031207881986265854,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03123450771388158,True,
6,optimized,nelder_mead_seed_10_coordinate_refined,line_reaches_x2,0.031922449526324705,0.9843242247156396,1.0164096216825023,0.9900106898969305,0.012446482219784543,0.0,1.0,0.0031178490800013656,0.08046181457817231,0.08357966365817368,0.031237314102801964,0.05250101351350495,0.0365030641956004,0.017353008095120567,0.03128841347759591,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.031237314331349755,True,
7,optimized,nelder_mead_seed_0_coordinate_refined,line_reaches_x2,0.0015977001863693903,0.9681937470086438,1.0164417965664043,0.9900085637740688,0.012465276222004273,0.0,1.0,0.0031340519055547897,0.08057129127565857,0.08370534318121337,0.03124190326859411,0.052504485332114006,0.03650634291107903,0.017356030418452392,0.03128743851391833,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.031241903415270562,True,
8,optimized,nelder_mead_seed_8_coordinate_refined,line_reaches_x2,0.013019909384762872,2.451943147799103,1.0002277807164612,0.9907987055246129,0.01477139298754369,0.0,1.0,0.0018527141449431114,0.09189313443933936,0.09374584858428248,0.0312556296931922,0.05259463283717544,0.03652347224546252,0.0177031562221324,0.031364375444251226,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.031256905554222295,True,
9,optimized,nelder_mead_seed_9_coordinate_refined,line_reaches_x2,0.009984449547897014,2.4510336518563234,1.0001585721768531,0.9907773867094726,0.016199647465683028,0.0,1.0,0.0014974885654483183,0.08740319364347465,0.08890068220892297,0.03126004993695176,0.05255963479136065,0.036527134403528734,0.017712622306370378,0.031386141370543956,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03126125859714389,True,
10,optimized,nelder_mead_seed_3_coordinate_refined,line_reaches_x2,0.028853365987731836,32.65388306881091,1.044617534840956,0.9850123183379577,0.08145665816581675,0.0,1.0,0.0006239235251864692,0.07349315536295886,0.07411707888814534,0.03126931271403076,0.05244884654942776,0.03643170631615349,0.017547585354158596,0.031044746168179743,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03126931271403076,True,
11,optimized,best_full_objective_polished,x1_shifted_stribeck_peak_slope,0.24037753749310675,12.895828141893295,1.009832182439528,0.990248528290484,0.0008943914819282103,0.0,1.0,1.723941471178797e-05,0.06556941756329898,0.06558665697801078,0.03128113508473515,0.05252997921359677,0.03648972539624069,0.01758870252277744,0.0314252452616092,0.0655679942044966,0.0803622442044966,0.6460000000000002,-0.6460000000000002,0.6460000000000002,2.220446049250313e-16,0.03128125861735749,True,k1:low;peak_frac:high;decay0:low
12,optimized,best_full_objective_polished,line_maintains_peak,0.37209349809139236,13.291269917383923,1.0097260042654825,0.9903585838187512,0.0020036233637081985,0.0,1.0,0.000584580472377208,0.0649847602220168,0.065569340694394,0.03128111364849789,0.05271176174523725,0.03648284307874301,0.01760363946102581,0.0313623458217593,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.031281370813208025,True,k1:low;peak_frac:high;decay0:low
13,optimized,nelder_mead_seed_10_coordinate_refined,x1_shifted_stribeck_peak_slope,0.2552416542787582,12.910692258678948,1.009832182439528,0.9902914244039872,0.0008515779826374308,0.0,1.0,9.2920332161045e-06,0.06562970053657974,0.06563899256979584,0.0312820028881806,0.05253160171817763,0.03649174276169954,0.01758953655422225,0.031424797170073814,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03128217274454708,True,
14,optimized,nelder_mead_seed_10_coordinate_refined,line_maintains_peak,0.39646793260410973,13.108039830815873,1.0097260042654825,0.9903585838187512,0.001859034418883015,0.0,1.0,0.0006079529528430425,0.06496160571190959,0.06556955866475264,0.03128391607455715,0.05270534222561638,0.03648860301814559,0.01760790649585462,0.03136232210275372,0.0655679942044966,0.0803622442044966,0.6460000000000002,-0.6460000000000002,0.6460000000000002,2.220446049250313e-16,0.031284173239267285,True,
15,optimized,nelder_mead_seed_9_coordinate_refined,line_maintains_peak,0.05526749187000519,10.764974237321619,1.0353346093096385,0.9658173137330021,0.0013124302327036656,0.0,1.0,0.0005871013567822214,0.0650947608672394,0.06568186222402163,0.03128492060240534,0.052666011734627524,0.0364815402886102,0.017649725895165905,0.031373929760442905,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.03128492060240534,True,
16,optimized,nelder_mead_seed_12_coordinate_refined,line_maintains_peak,0.19902675355897487,9.925741591719442,1.0153064782867638,0.9849222369072038,0.0007227240567814145,0.0,1.0,0.0007985946487660198,0.06476992197369641,0.06556851662246244,0.031285803399322486,0.052659432857596056,0.03648609479720234,0.01764390639268237,0.03135822633161926,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.031285803399322486,True,
17,optimized,nelder_mead_seed_12_coordinate_refined,x1_shifted_stribeck_peak_slope,0.22407467189045632,10.080183097659917,1.0175816913576579,0.9827537147041785,0.0010349346295852266,0.0,1.0,0.00011990966721857343,0.0655103970243702,0.06563030669158877,0.0312900652627657,0.05249445964860418,0.03649528589119533,0.01762642727630699,0.031419625457821454,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.0312900652627657,True,
18,optimized,nelder_mead_seed_3_coordinate_refined,line_maintains_peak,0.07847555277454767,12.6118629253812,1.0833572097381816,0.9230511792396477,0.0005587573695297269,0.0,1.0,0.0,0.06557459917503665,0.06557459917503665,0.03129129939582005,0.05269954301133622,0.036486005051901256,0.017658648774947775,0.03141972581361303,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03129129939582005,True,
19,optimized,nelder_mead_seed_5_coordinate_refined,line_maintains_peak,0.30328288264999553,8.10105611769187,1.0119187330268429,0.98822202614124,0.0007166630827889374,0.0,1.0,0.0008032225101732224,0.064764790043256,0.06556801255342923,0.03129487392961096,0.052653620204478196,0.03649987313828367,0.01766483187045434,0.03136024571717228,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03129487392961096,True,
20,optimized,nelder_mead_seed_1_coordinate_refined,line_maintains_peak,0.2651784586147213,10.578570482734602,1.0774186828885932,0.9281440840724864,0.0008580078006524286,0.0,1.0,8.52235300017462e-05,0.06548277374248745,0.0655679972724892,0.031295688749879015,0.05264415351925527,0.03648872925489888,0.017678240275643888,0.03141807644525721,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.031295688749879015,True,
21,optimized,nelder_mead_seed_1_coordinate_refined,x1_shifted_stribeck_peak_slope,0.42209500908757713,13.834310485388746,1.085177666072809,0.921509787976754,0.0008429951633878094,0.0,1.0,0.0,0.06556829184334517,0.06556829184334517,0.03129632229860085,0.05279756937606323,0.036495730013828165,0.017653169130518363,0.03141453166132036,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03129632229860085,True,
22,optimized,nelder_mead_seed_3_coordinate_refined,x1_shifted_stribeck_peak_slope,0.09334715314136431,12.04269545321178,1.1187022049264574,0.8938844918994653,0.0005853160586732627,0.0,1.0,0.0,0.06558320119787052,0.06558320119787052,0.03129723419492847,0.05276898122066767,0.03648289098033359,0.017695410250864237,0.03141339519491436,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03129723419492847,True,
23,optimized,nelder_mead_seed_5_coordinate_refined,x1_shifted_stribeck_peak_slope,0.37742201423099486,13.066560659135892,1.0074042366158447,0.9926274836087866,0.0015131425620768606,0.0,1.0,0.0,0.06558285005287236,0.06558285005287236,0.031283440326849904,0.05253812620625982,0.03649375973760868,0.017589145815518778,0.03141784814575234,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03129724766707879,True,
24,optimized,nelder_mead_seed_4_coordinate_refined,line_maintains_peak,0.15536102431811774,16.89524242905644,1.0256416620463837,0.9749540860088244,0.018363268793647088,0.0,1.0,3.1339582437728275e-05,0.06553698765477725,0.06556832723721498,0.03129751956035034,0.05282170657065114,0.036525302867355364,0.017572953601437576,0.031380783542635404,0.0655679942044966,0.0803622442044966,0.6460000000000002,-0.6460000000000002,0.6460000000000002,2.220446049250313e-16,0.03129751956035034,True,
25,optimized,nelder_mead_seed_4_coordinate_refined,x1_shifted_stribeck_peak_slope,0.2717910337747309,16.830936810868117,1.0278056947410308,0.974788379007884,0.0233949336737091,0.0,1.0,0.0,0.06599038072076849,0.06599038072076849,0.03130158373242626,0.05287467958837826,0.03652718589173865,0.01758038000018002,0.03137540358336728,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.03130158373242626,True,
26,optimized,nelder_mead_seed_2_coordinate_refined,x1_shifted_stribeck_peak_slope,0.18796079624306505,14.893116163952024,1.1323283225829974,0.8831707729962109,0.003112767248243599,0.0,1.0,0.0,0.06557751660995628,0.06557751660995628,0.031303282236716024,0.05296711186099041,0.03650174694213471,0.01768297229529135,0.031393329411184265,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.031303282236716024,True,
27,optimized,nelder_mead_seed_11_coordinate_refined,x1_shifted_stribeck_peak_slope,0.02236312594445513,3.6792295788542346,1.0103043950191204,0.9897985295649016,0.0010351134970391883,0.0,1.0,0.0,0.06556828467446243,0.06556828467446243,0.031303308216551605,0.052427328800188557,0.0365419827102498,0.01771660948582131,0.0314248771805874,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.031303308216551605,True,
28,optimized,nelder_mead_seed_11_coordinate_refined,line_maintains_peak,0.03797612896061314,2.1833335802037914,1.0100826962313332,0.990035739391651,0.0027227124729095223,0.0,1.0,0.0,0.06557083337731276,0.06557083337731276,0.03130615088549137,0.05246080005804718,0.03655907716747453,0.017768232625764734,0.03143175748551139,0.0655679942044966,0.0803622442044966,0.6460000000000002,-0.6460000000000002,0.6460000000000002,2.220446049250313e-16,0.031306153440099606,True,
29,optimized,nelder_mead_seed_2_coordinate_refined,line_maintains_peak,0.04747524958847895,8.54591707918356,1.1320901284585505,0.8832820964323005,0.0013095678250990104,0.0,1.0,0.0,0.06563624424016695,0.06563624424016695,0.031310122829787436,0.05272695269699549,0.036493342373127936,0.017749681394479768,0.03142183763069831,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.031310122829787436,True,
30,optimized,nelder_mead_seed_0_coordinate_refined,x1_shifted_stribeck_peak_slope,0.0005868208805123769,18.67126940327877,1.0303323709452639,0.9691079136272001,0.030104295403042946,0.0,1.0,0.0,0.06572257907955606,0.06572257907955606,0.03132235398758297,0.052939634519424184,0.03656458169154715,0.017562776934891326,0.031380459391072084,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03132235398758297,True,
