rank,branch,source,interpretation,k1,k2,k3,peak_frac,decay0,decay_v,vf_fade,slide_nm,peak_delta_nm,peak_extra_nm,train_rmse_nm,validation_non_authoritative_rmse_nm,primary_rmse_nm,open_floor_validation_rmse_nm,latest_may4_rmse_nm,launch_extra_nm,launch_total_nm,launch_left_command,launch_right_command,launch_max_abs_command,launch_target_abs_error,selected_score,acceptable,boundary_status
selected_latest_weighted,optimized,best_full_objective_polished,line_reaches_x2,1.4189127668321047,1.4741352249857351,1.01089774874899,0.9910399238088304,0.008546989811892735,0.0,1.0,0.010633871208947297,0.05760369444536152,0.06823756565430882,0.030908482817330864,0.05437609047253439,0.03660952469664448,0.017267949082073037,0.03070445207008378,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.030910645700387207,True,k2:low;peak_frac:high;decay0:low
1,optimized,best_full_objective_polished,line_reaches_x2,1.4189127668321047,1.4741352249857351,1.01089774874899,0.9910399238088304,0.008546989811892735,0.0,1.0,0.010633871208947297,0.05760369444536152,0.06823756565430882,0.030908482817330864,0.05437609047253439,0.03660952469664448,0.017267949082073037,0.03070445207008378,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.030910645700387207,True,k2:low;peak_frac:high;decay0:low
2,optimized,nelder_mead_seed_3_coordinate_refined,line_reaches_x2,1.4266919192638516,1.4796367118399696,1.01089774874899,0.9910836109445905,0.008546989811892735,0.0,1.0,0.010595285095289765,0.05777484066519822,0.06837012576048798,0.030908531179392212,0.05437394697460689,0.03660885183728922,0.017270618126151542,0.030704822642601264,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.030910879604750686,True,
3,optimized,nelder_mead_seed_0_coordinate_refined,line_reaches_x2,0.002922976310235724,5.3610731894909405,1.0243504934817338,0.9779118602894195,0.007518224785014923,0.0,1.0,0.01445269932636209,0.05397814928161474,0.06843084860797682,0.030911007813124097,0.05486748580451007,0.03675283351375809,0.017081739177554418,0.030542334476161948,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.030911007813124097,True,
4,optimized,nelder_mead_seed_9_coordinate_refined,line_reaches_x2,0.000551051206624162,6.088414913861393,1.1054652654807882,0.9061409323377109,0.006033812192888545,0.0,1.0,0.014706745907992792,0.05534032247179114,0.07004706837978393,0.030913581560154973,0.05485914167572646,0.03676856998710666,0.01706266657976762,0.03055186032625794,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.030913581560154973,True,
5,optimized,nelder_mead_seed_1_coordinate_refined,line_reaches_x2,0.02195576771307212,10.489923536177187,1.0375922555796888,0.9656055258449141,0.00660432299100573,0.0,1.0,0.015063021572251749,0.05501203763376468,0.07007505920601642,0.03091390180828876,0.05487348844745294,0.036781492943610224,0.017078639186155584,0.030545070374031983,0.0655679942044966,0.0803622442044966,0.6460000000000002,-0.6460000000000002,0.6460000000000002,2.220446049250313e-16,0.03091390180828876,True,
6,optimized,nelder_mead_seed_5_coordinate_refined,line_reaches_x2,0.009190374796372044,10.509983967966539,1.0401264790447315,0.963290486606516,0.007197605555471761,0.0,1.0,0.015062372914168152,0.05445717568543543,0.06951954859960358,0.03091414580176901,0.05487534728076549,0.03678298756155201,0.01707757321425822,0.030543564707970292,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03091414580176901,True,
7,optimized,nelder_mead_seed_10_coordinate_refined,line_reaches_x2,0.0005033038967202737,10.970332757894854,1.0696449755346942,0.9346226585835867,0.0074742220825835945,0.0,1.0,0.015144739760942195,0.05054677469640281,0.065691514457345,0.030915533822095914,0.05485873497220033,0.036787083527891395,0.01707026861449376,0.030543095651298268,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.030915533822095914,True,
8,optimized,nelder_mead_seed_12_coordinate_refined,line_reaches_x2,0.0032920969400536443,7.243464024817544,1.1149016618259167,0.8968655846484311,0.0023633747472143482,0.0,1.0,0.014951039395857513,0.050834300076173705,0.06578533947203122,0.030916903848435782,0.05485708097388187,0.03677572684347766,0.017061632141929794,0.030558629367269205,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.030916903848435782,True,
9,optimized,nelder_mead_seed_8_coordinate_refined,line_reaches_x2,0.1491780453270519,6.111538418412267,1.1146728110878295,0.8988488999951209,0.006863668535119363,0.0,1.0,0.014704062334822243,0.05528926123445796,0.0699933235692802,0.03092026594160704,0.054845575240247614,0.03677815449569825,0.017057837660590346,0.030553259109030947,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.03092026594160704,True,
10,optimized,nelder_mead_seed_4_coordinate_refined,line_reaches_x2,0.2987598596038389,3.2845616002120983,1.1377977846481298,0.8776477465827569,0.002442755350508337,0.0,1.0,0.014422484390438826,0.07170925245538019,0.08613173684581901,0.03092651873606175,0.054823609635374096,0.036761964944982316,0.017049245789522022,0.030591426057826474,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03092651873606175,True,
11,optimized,nelder_mead_seed_11_coordinate_refined,line_reaches_x2,0.0005020865610610704,44.46459478569564,1.1269834438453867,0.8938473227336029,0.03833525367887169,0.0,1.0,0.016438837315835748,0.05156210062256723,0.06800093793840298,0.030942201650576,0.05459279120304614,0.03682972344158173,0.017066038831335943,0.0305485398139684,0.0655679942044966,0.0803622442044966,0.6460000000000002,-0.6460000000000002,0.6460000000000002,2.220446049250313e-16,0.030942201650576,True,
12,optimized,nelder_mead_seed_7_coordinate_refined,line_reaches_x2,0.0005000622406550919,43.3880277774209,1.1846879420770369,0.8524346385596847,0.02521368417230367,0.0,1.0,0.016759081950298953,0.05793086231317508,0.07468994426347403,0.03095368380763836,0.054622381987296645,0.036836518303877824,0.017058593701585013,0.03058674014326684,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03095368380763836,True,
