parameter,value
search_status,unresolved_no_accepted_interior_candidate
branch,optimized
interpretation,line_reaches_x2
k1,0.05561090887738511
k2,6.1964119846596715
k3,1.0154800222791405
peak_frac,0.9904063985682378
decay0,0.019658967757622183
decay_v,0.0
vf_fade,1.0
slide_nm,0.0036605851430880146
peak_delta_nm,0.0674333537239055
peak_extra_nm,0.07109393886699353
linear_slope_policy,derived from selected interpretation; no independent slope fitted
boundary_status,k1:low;peak_frac:high;decay0:low
