rank,branch,source,interpretation,k1,k2,k3,peak_frac,decay0,decay_v,vf_fade,slide_nm,peak_delta_nm,peak_extra_nm,train_rmse_nm,validation_non_authoritative_rmse_nm,primary_rmse_nm,open_floor_validation_rmse_nm,latest_may4_rmse_nm,launch_extra_nm,launch_total_nm,launch_left_command,launch_right_command,launch_max_abs_command,launch_target_abs_error,selected_score,acceptable,boundary_status
best_unresolved_boundary_base,base,iteration2_local,line_maintains_peak,0.28736394078867655,14.8,1.0611396357940581,0.96,0.12,0.0,0.016200000000000003,0.01834219829706491,0.0412835642838121,0.05962576258087701,0.02854031056966869,0.032635782917199235,0.03197597694913791,0.014292616570998225,0.035412086772524415,0.058629915899531135,0.07342416589953113,0.6053399435105726,-0.6053399435105726,0.6053399435105726,0.04066005648942739,0.03870532469202553,True,unresolved_boundary:k2:high;peak_frac:high;decay0:low;decay_v:low;vf_fade:low
1,base,iteration2_local,line_maintains_peak,0.28736394078867655,14.8,1.0611396357940581,0.96,0.12,0.0,0.016200000000000003,0.01834219829706491,0.0412835642838121,0.05962576258087701,0.02854031056966869,0.032635782917199235,0.03197597694913791,0.014292616570998225,0.035412086772524415,0.058629915899531135,0.07342416589953113,0.6053399435105726,-0.6053399435105726,0.6053399435105726,0.04066005648942739,0.03870532469202553,True,unresolved_boundary:k2:high;peak_frac:high;decay0:low;decay_v:low;vf_fade:low
2,base,iteration2_local,line_reaches_x2,1.5618780155189245,14.8,1.0546301546253065,0.96,0.12,0.0,0.016200000000000003,0.02160059944056461,0.03741153894229818,0.05901213838286279,0.028658294624549795,0.03231147963067324,0.03203864589357071,0.014286049220577262,0.035338726118769974,0.05848470853759966,0.07327895853759966,0.6044889673066012,-0.6044889673066012,0.6044889673066012,0.04151103269339884,0.039036052797899505,True,
3,base,iteration2_local,line_maintains_peak,1.9725087667414622,14.8,1.0435415687597382,0.96,0.12,0.0005149118603037846,0.016200000000000003,0.018434827586051552,0.03932332298602154,0.05775815057207309,0.028552562300898192,0.032632840823599255,0.03198564385722406,0.01417943331316524,0.03545654910362947,0.057745343948193376,0.07253959394819337,0.6001559798927771,-0.6001559798927771,0.6001559798927771,0.04584402010722288,0.04001356732770391,True,
4,base,iteration1_local,line_meets_x1,1.2,4.982286125910964,2.9600000000000004,0.9260738810288878,1.3444793656348868,4.17327137271306,0.036000000000000004,0.0,0.02006033414927146,0.02006033414927146,0.028644207778090607,0.03314575283344797,0.03196858083539325,0.017061180306037843,0.0356135405448191,0.06553045268081974,0.08032470268081973,0.6457799908841749,-0.6457799908841749,0.6457799908841749,0.00022000911582509275,0.03866904298241115,False,k1:high;k3:high;vf_fade:low
5,base,iteration1_local,line_meets_x1,0.8156151269046941,14.8,2.9600000000000004,0.925665750548341,1.1821857787522227,6.0,0.036000000000000004,0.0,0.02008549243937254,0.02008549243937254,0.028850611413139986,0.032650649134233656,0.032215543664903416,0.017674780343290616,0.03640935662594164,0.06523682064499933,0.08003107064499933,0.6440591836752078,-0.6440591836752078,0.6440591836752078,0.0019408163247922605,0.03929306927465178,False,
6,base,iteration1_local,line_meets_x1,1.0087458070698772,4.726616844080032,2.079856007682387,0.9232818261733932,0.9020157596380233,0.6285680250591477,0.40083745901336404,0.0,0.01867552945224003,0.01867552945224003,0.028819301526797406,0.032392518005583786,0.03211879520400596,0.018378458859617496,0.036337213383023384,0.06578092064295728,0.08057517064295727,0.6472478384698696,-0.6472478384698696,0.6472478384698696,0.0012478384698695333,0.03979349641814477,False,
7,base,iteration1_local,line_meets_x1,1.2,4.116718457157694,2.9600000000000004,0.9350248376638826,1.2133731859330947,0.0,2.9703636228179073,0.0,0.017822008876234113,0.017822008876234113,0.028889036941104014,0.0326203482294622,0.03216913169073426,0.017935607844702724,0.036699833517192804,0.065562167415678,0.08035641741567799,0.6459658525672235,-0.6459658525672235,0.6459658525672235,3.4147432776521214e-05,0.039986569361181085,False,
8,base,iteration2_local,line_meets_x1,0.18204700917883235,0.25,3.7069789331639074,0.939472797362966,1.3940648378101577,0.0,0.01803069641919598,0.0,0.019157950949453266,0.019157950949453266,0.02878575683924234,0.03289579864034587,0.03205089182065838,0.0171554310305737,0.03605553504840775,0.06621706998930063,0.08101131998930063,0.6498038570503253,-0.6498038570503253,0.6498038570503253,0.0038038570503252656,0.04015774562709702,False,
9,base,iteration1_local,line_meets_x1,0.7390167266219225,11.880711906290287,2.9600000000000004,0.9182969513079203,1.1442344891119594,5.171099162440571,0.3104317374169704,0.0,0.0215254795362022,0.0215254795362022,0.02884089901153663,0.03277052616210967,0.03220067340144958,0.017553755760085235,0.03636606942560381,0.06410677210634966,0.07890102210634965,0.6374366240271845,-0.6374366240271845,0.6374366240271845,0.008563375972815535,0.04021900323663941,False,
