rank,branch,source,interpretation,k1,k2,k3,peak_frac,decay0,decay_v,vf_fade,slide_nm,peak_delta_nm,peak_extra_nm,train_rmse_nm,validation_non_authoritative_rmse_nm,primary_rmse_nm,open_floor_validation_rmse_nm,latest_may4_rmse_nm,launch_extra_nm,launch_total_nm,launch_left_command,launch_right_command,launch_max_abs_command,launch_target_abs_error,selected_score,acceptable,boundary_status
selected_latest_weighted,latest_weighted,iteration2_local,line_reaches_x2,0.14698494366120918,7.3142500409971785,1.084536875803204,0.9128678034700127,0.05916159624262611,1.231928254043641,0.016200000000000003,0.0225819967753694,0.03551957148542316,0.05810156826079256,0.028863081637694972,0.0306476782701282,0.031493349149174475,0.02314327826403149,0.029956313162300727,0.05730017913696805,0.07209442913696805,0.5975471268969017,-0.5975471268969017,0.5975471268969017,0.048452873103098315,0.06550503094445229,False,unresolved_boundary:decay0:low;vf_fade:low
1,latest_weighted,iteration2_local,line_reaches_x2,0.14698494366120918,7.3142500409971785,1.084536875803204,0.9128678034700127,0.05916159624262611,1.231928254043641,0.016200000000000003,0.0225819967753694,0.03551957148542316,0.05810156826079256,0.028863081637694972,0.0306476782701282,0.031493349149174475,0.02314327826403149,0.029956313162300727,0.05730017913696805,0.07209442913696805,0.5975471268969017,-0.5975471268969017,0.5975471268969017,0.048452873103098315,0.06550503094445229,False,unresolved_boundary:decay0:low;vf_fade:low
2,latest_weighted,iteration2_local,line_reaches_x2,0.025,14.8,1.1047490986622597,0.9128290973102632,0.06283393365647995,5.708031716455188,0.016200000000000003,0.02037726703037282,0.03714805686875829,0.05752532389913111,0.028765912474824316,0.03064529498713372,0.03157426623066261,0.023018463685215547,0.02980802741619019,0.05640330156479526,0.07119755156479526,0.5922910471662152,-0.5922910471662152,0.5922910471662152,0.05370895283378485,0.11928267902111864,False,
3,latest_weighted,iteration2_local,line_reaches_x2,1.1544809918234482,14.8,1.0934618141259436,0.9231521204574398,0.054,5.888300397236358,0.01853365719575549,0.02003414841944129,0.036855204359799665,0.056889352779240954,0.0287374302014902,0.030642444578532928,0.03155278905149244,0.023027299532772456,0.029771471678281956,0.055336864566773517,0.07013111456677351,0.5860412778963947,-0.5860412778963947,0.5860412778963947,0.05995872210360531,0.18331433176344422,False,
4,latest_weighted,iteration2_local,line_reaches_x2,0.03379547635879178,14.8,1.1160362385139855,0.9101041011669679,0.06267678188769403,6.0,0.016200000000000003,0.020557625398207845,0.03720359721285298,0.05776122261106083,0.02875671175662579,0.030641393936646662,0.03157948418365902,0.023005432019175646,0.029790232976641833,0.05478827122540389,0.06958252122540388,0.5828262902197856,-0.5828262902197856,0.5828262902197856,0.06317370978021442,0.21628723700382313,False,
5,latest_weighted,iteration2_local,line_reaches_x2,0.025,12.28349490936169,1.1576252472427113,0.8586905690217009,0.07528921229210397,6.0,0.016200000000000003,0.022580664807757223,0.030973499826668097,0.05355416463442532,0.0287958133849342,0.03067702534472825,0.031554242834950536,0.02296184036694205,0.029840490343225765,0.053125454445486,0.06791970444548599,0.5730814846365678,-0.5730814846365678,0.5730814846365678,0.07291851536343219,0.31621059586011374,False,
6,latest_weighted,iteration2_local,line_reaches_x2,0.12396866056330823,14.8,1.241040983557328,0.8073206413449242,0.054,5.86932103106079,0.016200000000000003,0.025010763696108496,0.029091081775671886,0.05410184547178038,0.028852741410506644,0.03062692728788626,0.031633009742255844,0.022985609592769893,0.0298741305399656,0.05306606022976049,0.06786031022976048,0.5727334095557756,-0.5727334095557756,0.5727334095557756,0.07326659044422446,0.3198352934638069,False,
7,latest_weighted,iteration2_local,line_reaches_x2,1.0012726793555122,13.449048656440285,1.1378761721495643,0.8923996603080914,0.054,6.0,0.022621764129024786,0.021872829712428595,0.03362230345216388,0.05549513316459248,0.028705874177563075,0.030634612680751915,0.03153026246877422,0.02294599778481762,0.029708008860267678,0.0520676603810534,0.0668619103810534,0.5668823665921335,-0.5668823665921335,0.5668823665921335,0.07911763340786648,0.37966161660819414,False,
8,latest_weighted,iteration2_local,line_reaches_x2,0.29011196114288995,14.8,1.1888675471285426,0.8686175575441817,0.09970324374405644,4.474985022949838,0.016200000000000003,0.021513205101853065,0.03532334405012457,0.05683654915197764,0.028783929565961583,0.030594269311249898,0.031581585610137464,0.02295834136738687,0.029810720694575004,0.051812205429568894,0.06660645542956889,0.5653852931517213,-0.5653852931517213,0.5653852931517213,0.08061470684827876,0.3950846747608185,False,
9,latest_weighted,iteration2_local,line_reaches_x2,0.20335568166827753,7.099758429933439,1.0953936613123119,0.9253526418445059,0.054,0.43230363769843033,0.01988503311628739,0.02342968237006639,0.030394563631309178,0.05382424600137557,0.028869766360625066,0.030528947646120744,0.0315548046076355,0.02315262217452909,0.029883230508287346,0.05143959699608439,0.0662338469960844,0.5632016510410415,-0.5632016510410415,0.5632016510410415,0.08279834895895855,0.41755284318994973,False,
