group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_corrected_rmse_nm,median_support_nm,rmse_improvement_pct
primary_open_floor_fit_authoritative:entry,9719,15,0.045837011822076036,0.04529532850412168,0.03356303268350653,0.03298552728336418,0.024289024,0.023843980197594032,0.002079796,0.0021797503035110013,0.043939588930818604,0.0008050973024558264,1.1817596663085108
primary_open_floor_fit_authoritative:plateau,26778,15,0.02877127129678063,0.02830504506137964,0.01901283047434461,0.018678146504357205,0.011055656,0.010858161071368343,0.001152246,0.0012772427399985404,0.02692210924203336,0.0003128618180509348,1.6204575411068438
primary_open_floor_fit_authoritative:exit,10820,15,0.044806900200245255,0.044245257349474106,0.03422566844436229,0.03354359209283364,0.0273970075,0.02636528741269076,0.004929683,0.004918942062723245,0.046626292681492494,0.0013532663058161845,1.2534740146297263
open_floor_fit_downweighted:entry,8341,9,0.05617769021464853,0.0582178872716811,0.0415421622455341,0.04262667729404312,0.030788281,0.03016709358349559,0.001756669,0.0019138324375960404,0.05179596845344183,0.001380461316617105,-3.6316855485464195
open_floor_fit_downweighted:plateau,14651,9,0.024365235700422493,0.024461653974004894,0.013101952217527814,0.012980788517763778,0.005601714,0.005684532909951623,0.000276839,0.0003290874687261159,0.029935386539241066,0.0002444700507819865,-0.39572066844700704
open_floor_fit_downweighted:exit,8173,9,0.053191308370772995,0.05489579803265649,0.04031268236816347,0.04116956500097306,0.031938671,0.03149844742206907,0.002346486,0.0022242012058213225,0.050086359450255566,0.0015675465265911981,-3.204451467901965
open_floor_validation_only:entry,2104,9,0.022224834525144614,0.02299559139627576,0.014874971672053231,0.015390554503669295,0.008434416,0.008750303157053356,-0.0029512495,-0.0020032645412748954,0.019529051929685647,0.0013083426705082358,-3.467998244302483
open_floor_validation_only:plateau,10533,9,0.013256838243914581,0.014281108139053719,0.007978205793411184,0.008373028631527231,0.004279471,0.004387068765927665,-0.000330051,-0.00019475165378883162,0.014675228659778721,0.000563981599927379,-7.726351308610999
open_floor_validation_only:exit,1905,9,0.025901922754757487,0.02846857336738891,0.01860998364776903,0.0201132349321492,0.012153925,0.012295147922956193,-0.004435259,-0.0034777871251061333,0.024318320232733035,0.002540626005654139,-9.909112296151838
diag_validation_only:entry,3215,3,0.10590823322237675,0.12089479583109253,0.10058718607029549,0.11454622276934279,0.110339143,0.12661653097214579,-0.026745843,-0.029496827007542824,0.12149335517015245,0.01696070971179786,-14.15051705871471
diag_validation_only:plateau,4712,3,0.06448450059620303,0.07276258956344193,0.05078566537882003,0.05682360979367027,0.0456507775,0.05093442296206118,-0.0027473784999999997,-0.0028484357747826728,0.07264897301159184,0.0028818873772753374,-12.837331282249759
diag_validation_only:exit,3181,3,0.08665455675983383,0.10064927064730365,0.08083872540270355,0.09309238244120226,0.087034652,0.09795225291292795,-0.03620564,-0.04025350505378112,0.09951456325528939,0.011220159400979373,-16.15000342827518
aux_downweighted_validation:entry,2710,13,0.07408321980038726,0.08029177017206736,0.05146439698413284,0.05575029326229369,0.027799833,0.029516702652953086,-0.0034258485,-0.0036509911084069277,0.08338783641171382,0.0005639474543807494,-8.380508282993988
aux_downweighted_validation:plateau,8708,13,0.03722139915039368,0.04024459463365818,0.02327004260450161,0.025086302773364936,0.011437506,0.011857179233068026,-0.000406586,-0.0004938859008033219,0.049614153855003895,0.00046774769935736766,-8.122197317326071
aux_downweighted_validation:exit,3030,13,0.06034861345329037,0.06593589037527835,0.044717655678217824,0.04912039242124777,0.030535899,0.033820518404753336,-0.0065930465,-0.007382443133026634,0.07044945750139557,0.0017778633149504296,-9.2583351998841
