variant,round_index,run_label,method,interpretation,start_json,finish_json,objective_nm,optimizer_evaluations,convergence_status,bounds_json
standard,1,round1_seed00_reach_x2,bounded_coordinate_pattern_search,reach_x2,"{""delta_k"": 0.029037126845960208, ""k1"": 0.0013401173219229781, ""k3_radps"": 1.4026663838613915, ""load_exponent"": 1.0, ""rel_weight"": -0.5454115899763452, ""speed_fade_mps"": 0.029239726865380816, ""stribeck_speed_mps"": 0.009994407474637675}","{""delta_k"": 0.00012, ""k1"": 0.00012, ""k3_radps"": 1.2280278355602834, ""load_exponent"": 1.0, ""rel_weight"": -0.5363683246841577, ""speed_fade_mps"": 0.052646158654792934, ""stribeck_speed_mps"": 0.008607498433969898}",0.03756966358549445,222,step_tolerance,"{""delta_k"": [0.00012, 5.0], ""k1"": [0.00012, 2.5], ""k3_radps"": [0.004, 2.0], ""load_exponent"": [0.0, 1.5], ""rel_weight"": [-3.0, 3.0], ""speed_fade_mps"": [0.01, 5.0], ""stribeck_speed_mps"": [0.00016, 0.65]}"
standard,1,round1_seed01_reach_x2,bounded_coordinate_pattern_search,reach_x2,"{""delta_k"": 0.0006, ""k1"": 0.0006, ""k3_radps"": 1.2556479123954565, ""load_exponent"": 1.0, ""rel_weight"": -0.023863804533446446, ""speed_fade_mps"": 0.04975416899692402, ""stribeck_speed_mps"": 0.0007593924270789436}","{""delta_k"": 0.00012, ""k1"": 0.00012, ""k3_radps"": 0.397320526369823, ""load_exponent"": 1.0, ""rel_weight"": -0.018392629031673, ""speed_fade_mps"": 0.06106651614413577, ""stribeck_speed_mps"": 0.0007054955713298584}",0.037561193773421035,466,max_iterations,"{""delta_k"": [0.00012, 5.0], ""k1"": [0.00012, 2.5], ""k3_radps"": [0.004, 2.0], ""load_exponent"": [0.0, 1.5], ""rel_weight"": [-3.0, 3.0], ""speed_fade_mps"": [0.01, 5.0], ""stribeck_speed_mps"": [0.00016, 0.65]}"
standard,1,round1_seed02_reach_x2,bounded_coordinate_pattern_search,reach_x2,"{""delta_k"": 0.019784104433548354, ""k1"": 0.007426275106090721, ""k3_radps"": 1.3250581125819563, ""load_exponent"": 1.0, ""rel_weight"": 0.5256769933909364, ""speed_fade_mps"": 0.1765598892843722, ""stribeck_speed_mps"": 0.019041475617081884}","{""delta_k"": 0.00012, ""k1"": 0.00012, ""k3_radps"": 1.2185766874934454, ""load_exponent"": 1.0, ""rel_weight"": 0.5092346928596865, ""speed_fade_mps"": 0.052097713503078756, ""stribeck_speed_mps"": 0.008081018659088085}",0.03756964725441364,270,step_tolerance,"{""delta_k"": [0.00012, 5.0], ""k1"": [0.00012, 2.5], ""k3_radps"": [0.004, 2.0], ""load_exponent"": [0.0, 1.5], ""rel_weight"": [-3.0, 3.0], ""speed_fade_mps"": [0.01, 5.0], ""stribeck_speed_mps"": [0.00016, 0.65]}"
standard,1,round1_seed03_reach_x2,bounded_coordinate_pattern_search,reach_x2,"{""delta_k"": 0.00059260802334185, ""k1"": 0.0003668334200434091, ""k3_radps"": 1.2307267040893417, ""load_exponent"": 1.0, ""rel_weight"": -1.0438709068429235, ""speed_fade_mps"": 0.16667363003419675, ""stribeck_speed_mps"": 0.0296662009627805}","{""delta_k"": 4.999999999999999, ""k1"": 0.00012, ""k3_radps"": 1.3538033634513869, ""load_exponent"": 1.0, ""rel_weight"": -0.8641859068429234, ""speed_fade_mps"": 0.020288621869620372, ""stribeck_speed_mps"": 0.02028258769502869}",0.03757427157845122,233,step_tolerance,"{""delta_k"": [0.00012, 5.0], ""k1"": [0.00012, 2.5], ""k3_radps"": [0.004, 2.0], ""load_exponent"": [0.0, 1.5], ""rel_weight"": [-3.0, 3.0], ""speed_fade_mps"": [0.01, 5.0], ""stribeck_speed_mps"": [0.00016, 0.65]}"
standard,1,round1_seed04_reach_x2,bounded_coordinate_pattern_search,reach_x2,"{""delta_k"": 1.6035661427498937, ""k1"": 0.15886803537024607, ""k3_radps"": 1.103295849049268, ""load_exponent"": 1.0, ""rel_weight"": 0.06358088022451414, ""speed_fade_mps"": 1.0738710396015134, ""stribeck_speed_mps"": 0.0010661649926863989}","{""delta_k"": 0.00012, ""k1"": 0.0001234611209624425, ""k3_radps"": 0.4273042061340697, ""load_exponent"": 1.0, ""rel_weight"": 0.02572248325131099, ""speed_fade_mps"": 0.061274524460518405, ""stribeck_speed_mps"": 0.0010107539179545779}",0.037564297237182694,576,max_iterations,"{""delta_k"": [0.00012, 5.0], ""k1"": [0.00012, 2.5], ""k3_radps"": [0.004, 2.0], ""load_exponent"": [0.0, 1.5], ""rel_weight"": [-3.0, 3.0], ""speed_fade_mps"": [0.01, 5.0], ""stribeck_speed_mps"": [0.00016, 0.65]}"
standard,1,round1_seed05_reach_x2,bounded_coordinate_pattern_search,reach_x2,"{""delta_k"": 2.06102889893647, ""k1"": 0.0001665446345425818, ""k3_radps"": 1.9163908912289036, ""load_exponent"": 1.0, ""rel_weight"": 0.03590007309057608, ""speed_fade_mps"": 0.014982549188631324, ""stribeck_speed_mps"": 0.0015861966429296344}","{""delta_k"": 0.00012, ""k1"": 0.00012, ""k3_radps"": 0.4036272445367743, ""load_exponent"": 1.0, ""rel_weight"": 0.021883011887685447, ""speed_fade_mps"": 0.06111067669886501, ""stribeck_speed_mps"": 0.0008097536910957264}",0.03756228840566527,461,max_iterations,"{""delta_k"": [0.00012, 5.0], ""k1"": [0.00012, 2.5], ""k3_radps"": [0.004, 2.0], ""load_exponent"": [0.0, 1.5], ""rel_weight"": [-3.0, 3.0], ""speed_fade_mps"": [0.01, 5.0], ""stribeck_speed_mps"": [0.00016, 0.65]}"
standard,1,round1_seed06_reach_x2,bounded_coordinate_pattern_search,reach_x2,"{""delta_k"": 0.002687233727184777, ""k1"": 1.2379481981144174, ""k3_radps"": 1.2236163478928306, ""load_exponent"": 1.0, ""rel_weight"": 0.013601708111958377, ""speed_fade_mps"": 0.7804618513575652, ""stribeck_speed_mps"": 0.0011682269259969482}","{""delta_k"": 0.00012, ""k1"": 0.00012, ""k3_radps"": 0.38145937868462704, ""load_exponent"": 1.0, ""rel_weight"": 0.013601708111958377, ""speed_fade_mps"": 0.06064029720626789, ""stribeck_speed_mps"": 0.0005506333830171529}",0.0375598438142799,242,step_tolerance,"{""delta_k"": [0.00012, 5.0], ""k1"": [0.00012, 2.5], ""k3_radps"": [0.004, 2.0], ""load_exponent"": [0.0, 1.5], ""rel_weight"": [-3.0, 3.0], ""speed_fade_mps"": [0.01, 5.0], ""stribeck_speed_mps"": [0.00016, 0.65]}"
standard,1,round1_seed07_reach_x2,bounded_coordinate_pattern_search,reach_x2,"{""delta_k"": 0.0015505810043717988, ""k1"": 0.0028826811872551487, ""k3_radps"": 1.0271854207471103, ""load_exponent"": 1.0, ""rel_weight"": 1.1232416774870044, ""speed_fade_mps"": 3.4486691702182424, ""stribeck_speed_mps"": 0.033389320752141134}","{""delta_k"": 4.999999999999999, ""k1"": 0.00012, ""k3_radps"": 1.3549401723928491, ""load_exponent"": 1.0, ""rel_weight"": 0.8652288427629145, ""speed_fade_mps"": 0.020365705055453896, ""stribeck_speed_mps"": 0.02031119959067839}",0.03757427150136808,446,step_tolerance,"{""delta_k"": [0.00012, 5.0], ""k1"": [0.00012, 2.5], ""k3_radps"": [0.004, 2.0], ""load_exponent"": [0.0, 1.5], ""rel_weight"": [-3.0, 3.0], ""speed_fade_mps"": [0.01, 5.0], ""stribeck_speed_mps"": [0.00016, 0.65]}"
standard,1,round1_seed08_reach_x2,bounded_coordinate_pattern_search,reach_x2,"{""delta_k"": 0.011098210061351284, ""k1"": 0.08420980820620251, ""k3_radps"": 1.844918697325676, ""load_exponent"": 1.0, ""rel_weight"": 0.9389134345205492, ""speed_fade_mps"": 0.5575372571236553, ""stribeck_speed_mps"": 0.02753744177753304}","{""delta_k"": 4.999999999999999, ""k1"": 0.00012, ""k3_radps"": 1.356096075619539, ""load_exponent"": 1.0, ""rel_weight"": 0.8651061895676585, ""speed_fade_mps"": 0.020391847731526434, ""stribeck_speed_mps"": 0.020280701190804058}",0.03757427170779813,385,step_tolerance,"{""delta_k"": [0.00012, 5.0], ""k1"": [0.00012, 2.5], ""k3_radps"": [0.004, 2.0], ""load_exponent"": [0.0, 1.5], ""rel_weight"": [-3.0, 3.0], ""speed_fade_mps"": [0.01, 5.0], ""stribeck_speed_mps"": [0.00016, 0.65]}"
standard,1,round1_seed09_reach_x2,bounded_coordinate_pattern_search,reach_x2,"{""delta_k"": 0.0022819528812905664, ""k1"": 0.07137947282270748, ""k3_radps"": 0.17340121075964024, ""load_exponent"": 1.0, ""rel_weight"": 0.1537000250434275, ""speed_fade_mps"": 0.03460739493333468, ""stribeck_speed_mps"": 0.0037727582918547532}","{""delta_k"": 0.00012, ""k1"": 0.00012, ""k3_radps"": 1.0745541942717474, ""load_exponent"": 1.0, ""rel_weight"": 0.1713943039957539, ""speed_fade_mps"": 0.05095055856502148, ""stribeck_speed_mps"": 0.0024900984655701315}",0.03757853798423306,481,step_tolerance,"{""delta_k"": [0.00012, 5.0], ""k1"": [0.00012, 2.5], ""k3_radps"": [0.004, 2.0], ""load_exponent"": [0.0, 1.5], ""rel_weight"": [-3.0, 3.0], ""speed_fade_mps"": [0.01, 5.0], ""stribeck_speed_mps"": [0.00016, 0.65]}"
