variant,run_label,iteration,event,dimension,objective,step_norm,interpretation
standard,round1_seed00_reach_x2,0,coordinate_accept,delta_k,0.037583430974092676,3.5744219003882423,reach_x2
standard,round1_seed00_reach_x2,1,coordinate_accept,delta_k,0.037583427880803544,3.5744219003882423,reach_x2
standard,round1_seed00_reach_x2,2,coordinate_accept,delta_k,0.03758342744778677,3.5744219003882423,reach_x2
standard,round1_seed00_reach_x2,3,coordinate_accept,k1,0.03758341604659776,3.5744219003882423,reach_x2
standard,round1_seed00_reach_x2,4,coordinate_accept,k1,0.037583414987049396,3.5744219003882423,reach_x2
standard,round1_seed00_reach_x2,5,shrink,,0.037583414987049396,1.9659320452135336,reach_x2
standard,round1_seed00_reach_x2,6,shrink,,0.037583414987049396,1.0812626248674435,reach_x2
standard,round1_seed00_reach_x2,7,coordinate_accept,speed_fade_mps,0.03757879447185505,1.0812626248674435,reach_x2
standard,round1_seed00_reach_x2,8,shrink,,0.03757879447185505,0.594694443677094,reach_x2
standard,round1_seed00_reach_x2,9,coordinate_accept,k3_radps,0.037574988425470336,0.594694443677094,reach_x2
standard,round1_seed00_reach_x2,10,coordinate_accept,speed_fade_mps,0.03757325162190676,0.594694443677094,reach_x2
standard,round1_seed00_reach_x2,11,coordinate_accept,speed_fade_mps,0.037573207326285614,0.594694443677094,reach_x2
standard,round1_seed00_reach_x2,12,shrink,,0.037573207326285614,0.32708194402240176,reach_x2
standard,round1_seed00_reach_x2,13,coordinate_accept,stribeck_speed_mps,0.03757229964563917,0.32708194402240176,reach_x2
standard,round1_seed00_reach_x2,14,coordinate_accept,speed_fade_mps,0.037571760992251096,0.32708194402240176,reach_x2
standard,round1_seed00_reach_x2,15,shrink,,0.037571760992251096,0.17989506921232096,reach_x2
standard,round1_seed00_reach_x2,16,coordinate_accept,speed_fade_mps,0.037571757099531346,0.17989506921232096,reach_x2
standard,round1_seed00_reach_x2,17,shrink,,0.037571757099531346,0.09894228806677655,reach_x2
standard,round1_seed00_reach_x2,18,coordinate_accept,k3_radps,0.03757026880801656,0.09894228806677655,reach_x2
standard,round1_seed00_reach_x2,19,coordinate_accept,speed_fade_mps,0.037570236782131956,0.09894228806677655,reach_x2
standard,round1_seed00_reach_x2,20,shrink,,0.037570236782131956,0.0544182584367271,reach_x2
standard,round1_seed00_reach_x2,21,coordinate_accept,k3_radps,0.03756979865485046,0.0544182584367271,reach_x2
standard,round1_seed00_reach_x2,22,shrink,,0.03756979865485046,0.029930042140199908,reach_x2
standard,round1_seed00_reach_x2,23,coordinate_accept,rel_weight,0.03756977424163188,0.029930042140199908,reach_x2
standard,round1_seed00_reach_x2,24,coordinate_accept,stribeck_speed_mps,0.03756973459612469,0.029930042140199908,reach_x2
standard,round1_seed00_reach_x2,25,shrink,,0.03756973459612469,0.016461523177109954,reach_x2
standard,round1_seed00_reach_x2,26,coordinate_accept,k3_radps,0.03756966413129207,0.016461523177109954,reach_x2
standard,round1_seed00_reach_x2,27,coordinate_accept,speed_fade_mps,0.03756966358549445,0.016461523177109954,reach_x2
standard,round1_seed00_reach_x2,28,shrink,,0.03756966358549445,0.009053837747410474,reach_x2
standard,round1_seed00_reach_x2,29,shrink,,0.03756966358549445,0.004979610761075761,reach_x2
standard,round1_seed00_reach_x2,30,shrink,,0.03756966358549445,0.002738785918591669,reach_x2
standard,round1_seed01_reach_x2,0,coordinate_accept,delta_k,0.03760464895672269,3.5744219003882423,reach_x2
standard,round1_seed01_reach_x2,1,coordinate_accept,k1,0.03760464281775794,3.5744219003882423,reach_x2
standard,round1_seed01_reach_x2,2,coordinate_accept,k3_radps,0.037567599775330064,3.5744219003882423,reach_x2
standard,round1_seed01_reach_x2,3,shrink,,0.037567599775330064,1.9659320452135336,reach_x2
standard,round1_seed01_reach_x2,4,shrink,,0.037567599775330064,1.0812626248674435,reach_x2
standard,round1_seed01_reach_x2,5,coordinate_accept,speed_fade_mps,0.03756579267158862,1.0812626248674435,reach_x2
standard,round1_seed01_reach_x2,6,shrink,,0.03756579267158862,0.594694443677094,reach_x2
standard,round1_seed01_reach_x2,7,coordinate_accept,stribeck_speed_mps,0.037565130587361925,0.594694443677094,reach_x2
standard,round1_seed01_reach_x2,8,coordinate_accept,speed_fade_mps,0.037564043165475694,0.594694443677094,reach_x2
standard,round1_seed01_reach_x2,9,shrink,,0.037564043165475694,0.32708194402240176,reach_x2
standard,round1_seed01_reach_x2,10,coordinate_accept,stribeck_speed_mps,0.03756322465082738,0.32708194402240176,reach_x2
standard,round1_seed01_reach_x2,11,coordinate_accept,speed_fade_mps,0.03756321291167202,0.32708194402240176,reach_x2
standard,round1_seed01_reach_x2,12,shrink,,0.03756321291167202,0.17989506921232096,reach_x2
standard,round1_seed01_reach_x2,13,coordinate_accept,speed_fade_mps,0.03756297378019105,0.17989506921232096,reach_x2
standard,round1_seed01_reach_x2,14,shrink,,0.03756297378019105,0.09894228806677655,reach_x2
standard,round1_seed01_reach_x2,15,shrink,,0.03756297378019105,0.0544182584367271,reach_x2
standard,round1_seed01_reach_x2,16,coordinate_accept,stribeck_speed_mps,0.037562958809929936,0.0544182584367271,reach_x2
standard,round1_seed01_reach_x2,17,shrink,,0.037562958809929936,0.029930042140199908,reach_x2
standard,round1_seed01_reach_x2,18,coordinate_accept,k3_radps,0.03756295700893125,0.029930042140199908,reach_x2
standard,round1_seed01_reach_x2,19,coordinate_accept,speed_fade_mps,0.03756295118343705,0.029930042140199908,reach_x2
standard,round1_seed01_reach_x2,20,shrink,,0.03756295118343705,0.016461523177109954,reach_x2
standard,round1_seed01_reach_x2,21,shrink,,0.03756295118343705,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,22,coordinate_accept,rel_weight,0.03756253327789832,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,23,coordinate_accept,stribeck_speed_mps,0.03756249799689457,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,24,coordinate_accept,stribeck_speed_mps,0.03756246404182456,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,25,coordinate_accept,stribeck_speed_mps,0.03756243141580967,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,26,coordinate_accept,stribeck_speed_mps,0.03756240012206164,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,27,coordinate_accept,stribeck_speed_mps,0.03756237016388264,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,28,coordinate_accept,stribeck_speed_mps,0.03756234154466541,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,29,coordinate_accept,stribeck_speed_mps,0.037562314267893256,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,30,coordinate_accept,stribeck_speed_mps,0.037562288337140204,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,31,coordinate_accept,stribeck_speed_mps,0.037562263756071045,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,32,coordinate_accept,stribeck_speed_mps,0.03756224052844144,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,33,coordinate_accept,stribeck_speed_mps,0.037562218658098064,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,34,coordinate_accept,stribeck_speed_mps,0.03756219814897869,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,35,coordinate_accept,stribeck_speed_mps,0.0375621790051123,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,36,coordinate_accept,stribeck_speed_mps,0.03756216123061927,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,37,coordinate_accept,stribeck_speed_mps,0.03756214482971146,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,38,coordinate_accept,stribeck_speed_mps,0.03756212980669238,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,39,coordinate_accept,stribeck_speed_mps,0.037562116165957365,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,40,coordinate_accept,stribeck_speed_mps,0.03756210391199371,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,41,coordinate_accept,stribeck_speed_mps,0.03756209304938086,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,42,coordinate_accept,stribeck_speed_mps,0.03756208358279059,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,43,coordinate_accept,stribeck_speed_mps,0.037562075516987196,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,44,coordinate_accept,stribeck_speed_mps,0.03756206885682772,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,45,coordinate_accept,stribeck_speed_mps,0.037562063607262094,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,46,coordinate_accept,stribeck_speed_mps,0.03756205977333345,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,47,coordinate_accept,stribeck_speed_mps,0.03756205736017827,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,48,coordinate_accept,stribeck_speed_mps,0.03756205637302666,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,49,coordinate_accept,k3_radps,0.03756205216996714,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,50,coordinate_accept,k3_radps,0.037562048792450495,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,51,coordinate_accept,k3_radps,0.037562046251320126,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,52,coordinate_accept,k3_radps,0.03756204454972782,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,53,coordinate_accept,stribeck_speed_mps,0.037562044160758874,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,54,coordinate_accept,k3_radps,0.03756204294109431,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,55,coordinate_accept,k3_radps,0.037562042538359625,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,56,coordinate_accept,speed_fade_mps,0.03756204140025791,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,57,coordinate_accept,rel_weight,0.03756178097841005,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,58,coordinate_accept,stribeck_speed_mps,0.037561743923533016,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,59,coordinate_accept,stribeck_speed_mps,0.037561708054633165,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,60,coordinate_accept,stribeck_speed_mps,0.037561673375201346,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,61,coordinate_accept,stribeck_speed_mps,0.0375616398888088,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,62,coordinate_accept,stribeck_speed_mps,0.03756160759910719,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,63,coordinate_accept,stribeck_speed_mps,0.03756157650982868,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,64,coordinate_accept,stribeck_speed_mps,0.03756154662478592,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,65,coordinate_accept,stribeck_speed_mps,0.03756151794787221,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,66,coordinate_accept,stribeck_speed_mps,0.037561490483061497,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,67,coordinate_accept,stribeck_speed_mps,0.037561464234408475,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,68,coordinate_accept,stribeck_speed_mps,0.03756143920604871,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,69,coordinate_accept,stribeck_speed_mps,0.03756141540219865,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,70,coordinate_accept,stribeck_speed_mps,0.03756139282715583,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,71,coordinate_accept,stribeck_speed_mps,0.03756137148529892,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,72,coordinate_accept,stribeck_speed_mps,0.03756135138108786,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,73,coordinate_accept,stribeck_speed_mps,0.03756133251906396,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,74,coordinate_accept,stribeck_speed_mps,0.0375613149038501,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,75,coordinate_accept,stribeck_speed_mps,0.037561298540150785,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,76,coordinate_accept,stribeck_speed_mps,0.03756128343275239,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,77,coordinate_accept,stribeck_speed_mps,0.03756126958652326,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,78,coordinate_accept,stribeck_speed_mps,0.03756125700641388,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,79,coordinate_accept,stribeck_speed_mps,0.03756124569745706,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,80,coordinate_accept,stribeck_speed_mps,0.037561235664768135,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,81,coordinate_accept,stribeck_speed_mps,0.03756122691354516,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,82,coordinate_accept,stribeck_speed_mps,0.03756121944906908,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,83,coordinate_accept,stribeck_speed_mps,0.03756121327670397,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,84,coordinate_accept,stribeck_speed_mps,0.03756120840189724,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,85,coordinate_accept,stribeck_speed_mps,0.03756120483017989,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,86,coordinate_accept,stribeck_speed_mps,0.03756120256716672,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,87,coordinate_accept,stribeck_speed_mps,0.037561201618556576,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,88,coordinate_accept,k3_radps,0.037561197287900604,0.009053837747410474,reach_x2
standard,round1_seed01_reach_x2,89,coordinate_accept,k3_radps,0.037561193773421035,0.009053837747410474,reach_x2
standard,round1_seed02_reach_x2,0,coordinate_accept,delta_k,0.03764406174972096,3.5744219003882423,reach_x2
standard,round1_seed02_reach_x2,1,coordinate_accept,delta_k,0.03764406089466661,3.5744219003882423,reach_x2
