variant,interpretation,k1,delta_k,k3_radps,stribeck_speed_mps,speed_fade_mps,rel_weight,load_exponent,k2,coarse_exact_launch_rmse_nm,peak_nm,launch_max_abs_command,gate_pass,round_index
standard,reach_x2,0.0013401173219229781,0.029037126845960208,1.4026663838613915,0.009994407474637675,0.029239726865380816,-0.5454115899763452,1.0,0.030377244167883188,0.037560990529261255,0.1186472639181085,0.6459999999999998,True,1
standard,reach_x2,0.0006,0.0006,1.2556479123954565,0.0007593924270789436,0.04975416899692402,-0.023863804533446446,1.0,0.0012,0.037593086719003924,0.0809154584180279,0.6459999999999998,True,1
standard,reach_x2,0.007426275106090721,0.019784104433548354,1.3250581125819563,0.019041475617081884,0.1765598892843722,0.5256769933909364,1.0,0.027210379539639076,0.03762306258036735,0.08310206043757339,0.6459999999999998,True,1
standard,reach_x2,0.0003668334200434091,0.00059260802334185,1.2307267040893417,0.0296662009627805,0.16667363003419675,-1.0438709068429235,1.0,0.0009594414433852592,0.0376482504802973,0.08842733057340586,0.6459999999999998,True,1
standard,reach_x2,0.15886803537024607,1.6035661427498937,1.103295849049268,0.0010661649926863989,1.0738710396015134,0.06358088022451414,1.0,1.7624341781201398,0.03773910942792064,0.11600418532712477,0.6459999999999998,True,1
standard,reach_x2,0.0001665446345425818,2.06102889893647,1.9163908912289036,0.0015861966429296344,0.014982549188631324,0.03590007309057608,1.0,2.0611954435710125,0.037742342427393355,0.09846653059314033,0.6459999999999998,True,1
standard,reach_x2,1.2379481981144174,0.002687233727184777,1.2236163478928306,0.0011682269259969482,0.7804618513575652,0.013601708111958377,1.0,1.2406354318416022,0.0377853561458755,0.06989830495122093,0.646,True,1
standard,reach_x2,0.0028826811872551487,0.0015505810043717988,1.0271854207471103,0.033389320752141134,3.4486691702182424,1.1232416774870044,1.0,0.004433262191626947,0.0377882569497869,0.08179372661698407,0.6459999999999998,True,1
standard,reach_x2,0.08420980820620251,0.011098210061351284,1.844918697325676,0.02753744177753304,0.5575372571236553,0.9389134345205492,1.0,0.09530801826755379,0.03780950015576653,0.11595485693496603,0.6459999999999998,True,1
standard,reach_x2,0.07137947282270748,0.0022819528812905664,0.17340121075964024,0.0037727582918547532,0.03460739493333468,0.1537000250434275,1.0,0.07366142570399806,0.03788409599933026,0.08413781226373418,0.6459999999999998,True,1
standard,reach_x2,1.4339074033866266,0.011842729581766357,0.45263084041035323,0.1136495637317824,0.019736705496129714,-0.5558781881462656,1.0,1.445750132968393,0.037963166390917,0.0772839786651522,0.6459999999999998,True,1
standard,reach_x2,0.1879334663381983,0.250772381462438,1.0450377922707532,0.23415054825941414,0.05069772296178223,1.8316134254897598,1.0,0.4387058478006363,0.037980353623253395,0.08554166959788248,0.6459999999999998,True,1
standard,reach_x2,0.241869736599932,0.00020549073801436223,0.6201125120053775,0.04921173310018018,0.03890956395033154,0.9836896754904725,1.0,0.24207522733794637,0.03799842933132051,0.08117788721832331,0.6459999999999998,True,1
standard,reach_x2,1.923008639340765,0.02820564394659673,0.70405592187741,0.03248930545763292,0.723828401415682,-1.3792732955096383,1.0,1.9512142832873618,0.03812376565551678,0.09134972613561641,0.6459999999999998,True,1
standard,reach_x2,0.02009977911089818,0.015855357557173846,0.05055699200431959,0.004759560153516363,4.328222918853227,0.05625260071750127,1.0,0.03595513666807203,0.03817498603468246,0.06750468763519539,0.6459999999999998,True,1
standard,reach_x2,0.0004083544520515189,0.014073532918669442,0.8803223601131597,0.0003631847177962791,0.04340442532294978,2.0810517230888994,1.0,0.014481887370720961,0.03825173269883008,0.09836042923697283,0.6459999999999998,True,1
standard,reach_x2,0.0029778734083747652,0.07153248696313248,0.45409179586994036,0.07095212161448164,0.03914405251680182,-0.7818406874849915,1.0,0.07451036037150725,0.03828200908096506,0.07314136706702887,0.6459999999999998,True,1
standard,reach_x2,0.1085020032554903,0.0042303220394645565,0.7260558231707794,0.024016362673126547,0.04941475729666036,1.6095235404164825,1.0,0.11273232529495485,0.03830418204012379,0.1178702726284844,0.6459999999999998,True,1
standard,reach_x2,1.5576637302223697,0.006035397350977008,0.24556574156910418,0.009855190549871091,0.11586322366822137,0.4898932173796613,1.0,1.5636991275733467,0.038305940029910515,0.09827785660482205,0.646,True,1
standard,meet_x1,0.00027054485531112,0.11564412763773067,0.02041707490721647,0.0034310317396421047,0.5511906777987643,0.03929433345020428,1.0,0.1159146724930418,0.038352675762326253,0.06736754434514852,0.646,True,1
