group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_corrected_rmse_nm,median_support_nm,rmse_improvement_pct
primary_open_floor_fit_authoritative:entry,9719,15,0.045837011822076036,0.04526698354017953,0.03356303268350653,0.032933152323165425,0.024289024,0.023775696513824492,0.002079796,0.002128998230405567,0.04384624624731844,0.0020037916242195853,1.2435982609624852
primary_open_floor_fit_authoritative:plateau,26778,15,0.02877127129678063,0.028264179907919153,0.01901283047434461,0.01874678504759817,0.011055656,0.01093834625710162,0.001152246,0.0014059481330863596,0.026905743575107242,0.000914748249920142,1.7624921180254438
primary_open_floor_fit_authoritative:exit,10820,15,0.044806900200245255,0.044085179248805735,0.03422566844436229,0.03336369364221974,0.0273970075,0.026184602864872068,0.004929683,0.004830846680645375,0.04642303506815378,0.003121285471044485,1.6107361772720201
open_floor_fit_downweighted:entry,8341,9,0.05617769021464853,0.058041448294522485,0.0415421622455341,0.04261162564042739,0.030788281,0.030280508845801576,0.001756669,0.0018537744922944403,0.0517179446311689,0.0023476705153839404,-3.317612512641136
open_floor_fit_downweighted:plateau,14651,9,0.024365235700422493,0.02471079322590587,0.013101952217527814,0.013370175543384799,0.005601714,0.006017829281834681,0.000276839,0.00037400589961734975,0.03014545155877672,0.00071777429034354,-1.4182400274395186
open_floor_fit_downweighted:exit,8173,9,0.053191308370772995,0.05483155115510449,0.04031268236816347,0.04119616688184662,0.031938671,0.03164495428866174,0.002346486,0.0022869577960366056,0.05010587172082671,0.0025496449899136374,-3.083666927119167
open_floor_validation_only:entry,2104,9,0.022224834525144614,0.025760852687976326,0.014874971672053231,0.017286130303321125,0.008434416,0.009873664143960199,-0.0029512495,-0.0017657578907299654,0.023433956161108747,0.0035413298686588672,-15.910211429611097
open_floor_validation_only:plateau,10533,9,0.013256838243914581,0.01636016639468804,0.007978205793411184,0.00951982866277565,0.004279471,0.005292490947592044,-0.000330051,-6.253238753745852e-05,0.019194102744643584,0.0016459490326290365,-23.40926315668076
open_floor_validation_only:exit,1905,9,0.025901922754757487,0.031982470704111296,0.01860998364776903,0.022383559203642937,0.012153925,0.013438308257277048,-0.004435259,-0.0035685303673455323,0.028277283033297098,0.006367854132524488,-23.47527636046624
diag_validation_only:entry,3215,3,0.10590823322237675,0.11849061039103957,0.10058718607029549,0.11266627205811673,0.110339143,0.12324175160553578,-0.026745843,-0.0312938737369641,0.11887498865555253,0.013622350341680207,-11.880452336735202
diag_validation_only:plateau,4712,3,0.06448450059620303,0.07500835588101219,0.05078566537882003,0.05957654938521608,0.0456507775,0.05768831005255905,-0.0027473784999999997,-0.0032440680777723017,0.07471584668612793,0.006281996746840811,-16.319976409073448
diag_validation_only:exit,3181,3,0.08665455675983383,0.10076546812616512,0.08083872540270355,0.09399670120591089,0.087034652,0.09887469527287782,-0.03620564,-0.043351800690003356,0.09949869078746279,0.01313492147494611,-16.284096179085168
aux_downweighted_validation:entry,2710,13,0.07408321980038726,0.07959339612953899,0.05146439698413284,0.05579230381240053,0.027799833,0.031063606560067635,-0.0034258485,-0.0038952376650673534,0.08282047963417198,0.0012091408986654054,-7.437819716797625
aux_downweighted_validation:plateau,8708,13,0.03722139915039368,0.041673316693358955,0.02327004260450161,0.026535876169511034,0.011437506,0.012526231784203201,-0.000406586,-0.0007081456901299151,0.05128555897215092,0.0012824515313684163,-11.960639966749316
aux_downweighted_validation:exit,3030,13,0.06034861345329037,0.06618864982445818,0.044717655678217824,0.05034008308730062,0.030535899,0.03710158084516254,-0.0065930465,-0.00840405925867887,0.0706908469887709,0.004027011180560073,-9.67716743929499
