group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_corrected_rmse_nm,median_support_nm,rmse_improvement_pct
straightish_abs_yaw_lt_0p05,35367,49,0.025841853669827997,0.025670648432691987,0.014403131442389798,0.014229261618716795,0.006082492,0.0059222304191897555,0.000224911,0.00026194459482803466,0.03249175324225058,5.449103649860868e-05,0.6625114410267805
straightish_forward_abs_yaw_lt_0p05_vf_ge_0p05,21746,47,0.024100230475114524,0.02387496073133761,0.012090499429458293,0.011896239285975396,0.005326237,0.005216152668902766,0.000309861,0.00031486660504207717,0.027097781355942055,2.1445338738865925e-05,0.9347202882956859
low_speed_yaw_vf_lt_0p05_yaw_ge_0p2,19704,49,0.07350293824740096,0.08508070283581978,0.06093638546954933,0.0689812775045017,0.054369194499999995,0.05783342068634834,-0.007716965,-0.006040820530040913,0.07311431109394209,0.012572725311076817,-15.751430982867141
low_speed_yaw_vf_lt_0p15_yaw_ge_0p5,20694,45,0.0728316980229981,0.08296510843357409,0.06032932463143907,0.06663558285812449,0.052169427500000004,0.05286213605360515,-0.003849287,-0.00223942944170088,0.08077243031035546,0.009941788465217129,-13.913461700942566
high_forward_vf_ge_0p5,3120,35,0.0464149473391518,0.046379384179820564,0.027171509688461538,0.027092775956075746,0.0127547745,0.012705407173411329,0.0015737250000000002,0.0015696340813514285,0.05948246243105568,4.494796024743913e-06,0.07662005748143964
high_speed_abs_vf_ge_0p7,144,17,0.08879277130149174,0.08879988008094492,0.055096948680555556,0.05510204505258882,0.0279539725,0.027959024212409225,-0.0061936149999999995,-0.006192712119528506,0.08950202300461513,4.417725300421207e-06,-0.008006033992380765
limiter_active,30265,43,0.07473562868724314,0.08084026645603615,0.06146764182725921,0.06506173570597146,0.053030135,0.053031024095393856,0.002856139,0.00295320817851674,0.0835341868570603,0.003031600792009936,-8.168309915930408
hardware_saturation_evidence,5017,24,0.06367306128234744,0.06485996866489012,0.05109065278532988,0.05176971716953765,0.043237809,0.043456870222074485,0.003758487,0.0035831599283221265,0.06135444568524714,0.0015061317530470665,-1.8640652084867393
may4_latest_logs,5217,2,0.032157544166236535,0.03155959085171789,0.02518525240540541,0.0237970383658624,0.020284213,0.017781499408742924,0.005072003,0.004126199504900424,0.030379157801300224,0.004657415766624244,1.859449563149353
april_rows,87807,31,0.0371567051200026,0.03760728592485571,0.0238360699141868,0.023939498308358776,0.012086683,0.012035638451445936,0.000549932,0.0007324504225122948,0.03427623328177251,0.0002625774241130794,-1.2126500544057799
