group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_corrected_rmse_nm,median_support_nm,rmse_improvement_pct
primary_open_floor_fit_authoritative:entry,9719,15,0.045837011822076036,0.04546004899185717,0.03356303268350653,0.033149596338189175,0.024289024,0.023880991933999233,0.002079796,0.002169161196292855,0.04409354912521966,0.0007994124863795018,0.8223983528466279
primary_open_floor_fit_authoritative:plateau,26778,15,0.02877127129678063,0.02846933742450966,0.01901283047434461,0.018788575717466387,0.011055656,0.010963392623776998,0.001152246,0.0012649593689697137,0.027068937692287437,0.0001606093438555101,1.049428331325606
primary_open_floor_fit_authoritative:exit,10820,15,0.044806900200245255,0.04451543785294188,0.03422566844436229,0.033871227725903584,0.0273970075,0.02694970056997821,0.004929683,0.004934660499715719,0.04666511532781241,0.0011474610701930335,0.6504854073832528
open_floor_fit_downweighted:entry,8341,9,0.05617769021464853,0.0571415758065677,0.0415421622455341,0.04186120138254849,0.030788281,0.029898745335696836,0.001756669,0.001805576240291882,0.05105572825050736,0.0009106976176683433,-1.7157800333838475
open_floor_fit_downweighted:plateau,14651,9,0.024365235700422493,0.024325885197675277,0.013101952217527814,0.012936478593212637,0.005601714,0.005631717574071711,0.000276839,0.00033062972582480557,0.029862642111895578,0.00012823317487778676,0.1615026557963219
open_floor_fit_downweighted:exit,8173,9,0.053191308370772995,0.054227374065665045,0.04031268236816347,0.04075803247873186,0.031938671,0.03129117156372232,0.002346486,0.0020885268756147476,0.049703694015727315,0.0009273123488255721,-1.9478101340732124
open_floor_validation_only:entry,2104,9,0.022224834525144614,0.024491787634913526,0.014874971672053231,0.01629950191313593,0.008434416,0.009015001704129829,-0.0029512495,-0.0018736023530266357,0.020744662991781286,0.0005159013129264032,-10.200089936346378
open_floor_validation_only:plateau,10533,9,0.013256838243914581,0.014859179356253468,0.007978205793411184,0.008579352275569966,0.004279471,0.004378381486933936,-0.000330051,-0.00018899685158455437,0.015371902112718596,0.0002384624361142103,-12.086902494072637
open_floor_validation_only:exit,1905,9,0.025901922754757487,0.030571920400468564,0.01860998364776903,0.02108640534784422,0.012153925,0.012154059969360862,-0.004435259,-0.0032177299163945383,0.025579103452201827,0.001319599150777071,-18.029540470517095
diag_validation_only:entry,3215,3,0.10590823322237675,0.11604818775471369,0.10058718607029549,0.10995301036473487,0.110339143,0.11925700519553205,-0.026745843,-0.029163575176597692,0.11667152569198064,0.006688306790135046,-9.574283531900646
diag_validation_only:plateau,4712,3,0.06448450059620303,0.07237344858046556,0.05078566537882003,0.05692707085304406,0.0456507775,0.05297663316880537,-0.0027473784999999997,-0.002851157760589136,0.07231717182912381,0.0028954181126903183,-12.233866915807429
diag_validation_only:exit,3181,3,0.08665455675983383,0.1004219345926015,0.08083872540270355,0.09278664850621675,0.087034652,0.09698649091148709,-0.03620564,-0.03978943974969392,0.09949261664763275,0.007155794736934709,-15.88765593819197
aux_downweighted_validation:entry,2710,13,0.07408321980038726,0.07737453576098968,0.05146439698413284,0.05402215475249395,0.027799833,0.030099860866595253,-0.0034258485,-0.0037689571402084532,0.08033408780703476,0.0007687141370376777,-4.442728015157375
aux_downweighted_validation:plateau,8708,13,0.03722139915039368,0.040230912921897545,0.02327004260450161,0.02537462257154477,0.011437506,0.011819563358252731,-0.000406586,-0.0005672283214245529,0.049701182012665365,0.00040229686019995696,-8.085439666961136
aux_downweighted_validation:exit,3030,13,0.06034861345329037,0.0649357940007722,0.044717655678217824,0.04877964026250969,0.030535899,0.03604026004867343,-0.0065930465,-0.007326001042747079,0.06959491074406614,0.001401578713883574,-7.601136604459515
