group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_corrected_rmse_nm,median_support_nm,rmse_improvement_pct
straightish_abs_yaw_lt_0p05,35367,49,0.025841853669827997,0.025687484707520365,0.014403131442389798,0.014248282682616194,0.006082492,0.005932330341608662,0.000224911,0.0002598406046770802,0.03249999855878788,6.619722658274703e-05,0.5973602524027405
straightish_forward_abs_yaw_lt_0p05_vf_ge_0p05,21746,47,0.024100230475114524,0.023874975394380604,0.012090499429458293,0.01189594267551745,0.005326237,0.005213457870038009,0.000309861,0.00031604935865248325,0.02709845112848448,3.992936975099659e-05,0.93465944637548
low_speed_yaw_vf_lt_0p05_yaw_ge_0p2,19704,49,0.07350293824740096,0.08163548622235837,0.06093638546954933,0.06681871133106546,0.054369194499999995,0.05791838910633368,-0.007716965,-0.006534837631759986,0.07050929154262899,0.006126142569412223,-11.064248816264122
low_speed_yaw_vf_lt_0p15_yaw_ge_0p5,20694,45,0.0728316980229981,0.07942433600492475,0.06032932463143907,0.06445189358662745,0.052169427500000004,0.05276147455095967,-0.003849287,-0.0028080312524219374,0.07746944222104252,0.003215505675705467,-9.051880102870717
high_forward_vf_ge_0p5,3120,35,0.0464149473391518,0.04645703902450776,0.027171509688461538,0.027143981088662547,0.0127547745,0.0127047553680253,0.0015737250000000002,0.0016174659832486442,0.05957803992846467,9.615705825427955e-05,-0.09068562557746451
high_speed_abs_vf_ge_0p7,144,17,0.08879277130149174,0.08891100239609727,0.055096948680555556,0.05519446302505812,0.0279539725,0.028077950322715275,-0.0061936149999999995,-0.006168807466755296,0.08959266635170479,0.0001460719167840199,-0.133153963855999
limiter_active,30265,43,0.07473562868724314,0.07847315241475405,0.06146764182725921,0.06364639242179339,0.053030135,0.052931245757021954,0.002856139,0.002808071771882645,0.08141103120924861,0.0014134175557404,-5.000993225268592
hardware_saturation_evidence,5017,24,0.06367306128234744,0.06427916790203009,0.05109065278532988,0.05141078652853497,0.043237809,0.043311893604673884,0.003758487,0.0036582965488606415,0.06134165975766372,0.001065865486687656,-0.951904317895083
may4_latest_logs,5217,2,0.032157544166236535,0.032117989160032986,0.02518525240540541,0.024222523645033352,0.020284213,0.017880327788009687,0.005072003,0.004356186612056138,0.030964674839839015,0.004073022929665621,0.12300381521384518
april_rows,87807,31,0.0371567051200026,0.03745080016914937,0.0238360699141868,0.02393956387637026,0.012086683,0.012141753355336229,0.000549932,0.0007104144834450606,0.034227702640805595,0.00029102449860599636,-0.7914992682934197
